"Disease.primaryIdentifier","Disease.name","Disease.genes.primaryIdentifier","Disease.genes.symbol","Disease.genes.homologues.homologue.primaryIdentifier","Disease.genes.homologues.homologue.symbol"
"OMIM:181500","SCHIZOPHRENIA","3356","HTR2A","RGD:61800","Htr2a"
"OMIM:181500","SCHIZOPHRENIA","3356","HTR2A","WBGene00006459",""
"OMIM:181500","SCHIZOPHRENIA","3356","HTR2A","WBGene00016037",""
"OMIM:181500","SCHIZOPHRENIA","3356","HTR2A","ZDB-GENE-070912-500",""
"OMIM:181500","SCHIZOPHRENIA","3356","HTR2A","ZDB-GENE-120215-60",""
"OMIM:181500","SCHIZOPHRENIA","4524","MTHFR","FBgn0036157",""
"OMIM:181500","SCHIZOPHRENIA","4524","MTHFR","MGI:106639","Mthfr"
"OMIM:181500","SCHIZOPHRENIA","4524","MTHFR","RGD:1309952","Mthfr"
"OMIM:181500","SCHIZOPHRENIA","4524","MTHFR","S000003093",""
"OMIM:181500","SCHIZOPHRENIA","4524","MTHFR","S000005944",""
"OMIM:181500","SCHIZOPHRENIA","4524","MTHFR","WBGene00015512",""
"OMIM:181500","SCHIZOPHRENIA","4524","MTHFR","ZDB-GENE-041111-215",""
"OMIM:181500","SCHIZOPHRENIA","65078","RTN4R","FBgn0034718",""
"OMIM:181500","SCHIZOPHRENIA","65078","RTN4R","FBgn0267435",""
"OMIM:181500","SCHIZOPHRENIA","6854","SYN2","FBgn0004575",""
"OMIM:181500","SCHIZOPHRENIA","6854","SYN2","MGI:103020","Syn2"
"OMIM:181500","SCHIZOPHRENIA","6854","SYN2","RGD:3798","Syn2"
"OMIM:181500","SCHIZOPHRENIA","6854","SYN2","WBGene00004913",""
"OMIM:181500","SCHIZOPHRENIA","6854","SYN2","ZDB-GENE-040718-341",""
"OMIM:181500","SCHIZOPHRENIA","6854","SYN2","ZDB-GENE-051127-49",""
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:1919148","Apol9b"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:1920912","Apol7c"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:1923011","Apol7a"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:2444921","Apol8"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:3036238","Apol10a"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:3036248","Apol11b"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:3043522","Apol10b"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:3583950","Apol7b"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:3606001","Apol9a"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:3649094","Apol11a"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","MGI:3704456","Apol7e"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","RGD:11460844","LOC108351606"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","RGD:1306480","Apol3"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","RGD:1309591","Apol2"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","RGD:1562332","Apol9a"
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","WBGene00017219",""
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","WBGene00017220",""
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","ZDB-GENE-030131-3217",""
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","ZDB-GENE-040724-111",""
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","ZDB-GENE-120215-22",""
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","ZDB-GENE-160113-35",""
"OMIM:181500","SCHIZOPHRENIA","80832","APOL4","ZDB-GENE-160728-30",""
"OMIM:181600","HURIEZ SYNDROME","56916","SMARCAD1","FBgn0032157",""
"OMIM:181600","HURIEZ SYNDROME","56916","SMARCAD1","MGI:95453","Smarcad1"
"OMIM:181600","HURIEZ SYNDROME","56916","SMARCAD1","RGD:1309640","Smarcad1"
"OMIM:181600","HURIEZ SYNDROME","56916","SMARCAD1","S000000017",""
"OMIM:181600","HURIEZ SYNDROME","56916","SMARCAD1","WBGene00000803",""
"OMIM:181600","HURIEZ SYNDROME","56916","SMARCAD1","WBGene00010845",""
"OMIM:181600","HURIEZ SYNDROME","56916","SMARCAD1","ZDB-GENE-050522-499",""
"OMIM:181600","HURIEZ SYNDROME","56916","SMARCAD1","ZDB-GENE-091113-61",""
"OMIM:182000","KERATOSIS, SEBORRHEIC","5290","PIK3CA","MGI:1206581","Pik3ca"
"OMIM:182000","KERATOSIS, SEBORRHEIC","5290","PIK3CA","RGD:620916","Pik3ca"
"OMIM:182000","KERATOSIS, SEBORRHEIC","5290","PIK3CA","ZDB-GENE-130409-1",""
"OMIM:182170","ANEMIA, SIDEROBLASTIC, 4","3313","HSPA9","FBgn0001220",""
"OMIM:182170","ANEMIA, SIDEROBLASTIC, 4","3313","HSPA9","MGI:96245","Hspa9"
"OMIM:182170","ANEMIA, SIDEROBLASTIC, 4","3313","HSPA9","RGD:1311806","Hspa9"
"OMIM:182170","ANEMIA, SIDEROBLASTIC, 4","3313","HSPA9","S000000756",""
"OMIM:182170","ANEMIA, SIDEROBLASTIC, 4","3313","HSPA9","S000003806",""
"OMIM:182170","ANEMIA, SIDEROBLASTIC, 4","3313","HSPA9","S000004361",""
"OMIM:182170","ANEMIA, SIDEROBLASTIC, 4","3313","HSPA9","WBGene00002010",""
"OMIM:182170","ANEMIA, SIDEROBLASTIC, 4","3313","HSPA9","ZDB-GENE-030828-12",""
"OMIM:182212","SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME","6497","SKI","FBgn0085450",""
"OMIM:182212","SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME","6497","SKI","MGI:98310","Ski"
"OMIM:182212","SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME","6497","SKI","RGD:1565591","Ski"
"OMIM:182212","SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME","6497","SKI","WBGene00000901",""
"OMIM:182212","SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME","6497","SKI","ZDB-GENE-990715-10",""
"OMIM:182212","SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME","6497","SKI","ZDB-GENE-990715-9",""
"OMIM:182230","SEPTOOPTIC DYSPLASIA","8820","HESX1","MGI:96071","Hesx1"
"OMIM:182230","SEPTOOPTIC DYSPLASIA","8820","HESX1","RGD:1563858","Hesx1"
"OMIM:182230","SEPTOOPTIC DYSPLASIA","8820","HESX1","ZDB-GENE-990415-130",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","MGI:1918836","Ifih1"
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","RGD:1560496","Ifih1"
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","S000001042",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","S000001439",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","S000002153",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","S000003760",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","S000003989",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","S000003990",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","S000004602",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","S000005283",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","WBGene00001090",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","WBGene00008400",""
"OMIM:182250","SINGLETON-MERTEN SYNDROME 1","64135","IFIH1","ZDB-GENE-081104-438",""
"OMIM:182280","SMALL CELL CANCER OF THE LUNG","5925","RB1","FBgn0015799",""
"OMIM:182280","SMALL CELL CANCER OF THE LUNG","5925","RB1","FBgn0038390",""
"OMIM:182280","SMALL CELL CANCER OF THE LUNG","5925","RB1","MGI:97874","Rb1"
"OMIM:182280","SMALL CELL CANCER OF THE LUNG","5925","RB1","RGD:3540","Rb1"
"OMIM:182280","SMALL CELL CANCER OF THE LUNG","5925","RB1","WBGene00003020",""
"OMIM:182280","SMALL CELL CANCER OF THE LUNG","5925","RB1","ZDB-GENE-040428-1",""
"OMIM:182290","SMITH-MAGENIS SYNDROME","10743","RAI1","FBgn0034300",""
"OMIM:182290","SMITH-MAGENIS SYNDROME","10743","RAI1","MGI:103291","Rai1"
"OMIM:182290","SMITH-MAGENIS SYNDROME","10743","RAI1","RGD:1308500","Rai1"
"OMIM:182410","SNEDDON SYNDROME","51816","ADA2","FBgn0033952",""
"OMIM:182410","SNEDDON SYNDROME","51816","ADA2","FBgn0036751",""
"OMIM:182410","SNEDDON SYNDROME","51816","ADA2","FBgn0036752",""
"OMIM:182410","SNEDDON SYNDROME","51816","ADA2","FBgn0038172",""
"OMIM:182410","SNEDDON SYNDROME","51816","ADA2","FBgn0038173",""
"OMIM:182410","SNEDDON SYNDROME","51816","ADA2","FBgn0043025",""
"OMIM:182410","SNEDDON SYNDROME","51816","ADA2","ZDB-GENE-030902-4",""
"OMIM:182410","SNEDDON SYNDROME","51816","ADA2","ZDB-GENE-041210-77",""
"OMIM:182600","SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT","51062","ATL1","FBgn0039213",""
"OMIM:182600","SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT","51062","ATL1","MGI:1921241","Atl1"
"OMIM:182600","SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT","51062","ATL1","RGD:1359232","Atl1"
"OMIM:182600","SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT","51062","ATL1","WBGene00012763",""
"OMIM:182600","SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT","51062","ATL1","WBGene00021868",""
"OMIM:182600","SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT","51062","ATL1","ZDB-GENE-030131-8003",""
"OMIM:182601","SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT","6683","SPAST","FBgn0039141",""
"OMIM:182601","SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT","6683","SPAST","MGI:1858896","Spast"
"OMIM:182601","SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT","6683","SPAST","RGD:1308494","Spast"
"OMIM:182601","SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT","6683","SPAST","S000000849",""
"OMIM:182601","SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT","6683","SPAST","S000005995",""
"OMIM:182601","SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT","6683","SPAST","WBGene00016045",""
"OMIM:182601","SPASTIC PARAPLEGIA 4, AUTOSOMAL DOMINANT","6683","SPAST","ZDB-GENE-040426-2331",""
"OMIM:182900","SPHEROCYTOSIS, TYPE 1","286","ANK1","FBgn0011747",""
"OMIM:182900","SPHEROCYTOSIS, TYPE 1","286","ANK1","MGI:88024","Ank1"
"OMIM:182900","SPHEROCYTOSIS, TYPE 1","286","ANK1","RGD:1309620","Ank1"
"OMIM:182900","SPHEROCYTOSIS, TYPE 1","286","ANK1","ZDB-GENE-091113-6",""
"OMIM:182920","MYOPATHY, SPHEROID BODY","9499","MYOT","FBgn0017590",""
"OMIM:182920","MYOPATHY, SPHEROID BODY","9499","MYOT","FBgn0025878",""
"OMIM:182920","MYOPATHY, SPHEROID BODY","9499","MYOT","FBgn0034723",""
"OMIM:182920","MYOPATHY, SPHEROID BODY","9499","MYOT","FBgn0037107",""
"OMIM:182920","MYOPATHY, SPHEROID BODY","9499","MYOT","ZDB-GENE-131127-340",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","57216","VANGL2","MGI:2135272","Vangl2"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","57216","VANGL2","RGD:1309442","Vangl2"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","57216","VANGL2","WBGene00015171",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","57216","VANGL2","ZDB-GENE-020507-3",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","MGI:103576","Ccl11"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","MGI:108224","Ccl12"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","MGI:98259","Ccl2"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","RGD:1309255","Ccl12"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","RGD:3644","Ccl11"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","RGD:3645","Ccl2"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","ZDB-GENE-041014-163",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","ZDB-GENE-041014-165",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","ZDB-GENE-041014-167",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","ZDB-GENE-041014-320",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","ZDB-GENE-081022-33",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","ZDB-GENE-140718-1",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6347","CCL2","ZDB-GENE-140718-2",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6862","TBXT","FBgn0011723",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6862","TBXT","MGI:98472","T"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6862","TBXT","RGD:1310141","Tbxt"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6862","TBXT","ZDB-GENE-081028-48",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","6862","TBXT","ZDB-GENE-980526-437",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","80199","FUZ","FBgn0001084",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","80199","FUZ","MGI:1917550","Fuz"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","80199","FUZ","RGD:1310608","Fuz"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","80199","FUZ","ZDB-GENE-090609-2",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","81839","VANGL1","MGI:2159344","Vangl1"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","81839","VANGL1","RGD:1597324","Vangl1"
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","81839","VANGL1","WBGene00015171",""
"OMIM:182940","NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO","81839","VANGL1","ZDB-GENE-040621-2",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","FBgn0028379",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","FBgn0029687",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","MGI:1928744","Vapb"
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","RGD:68326","Vapb"
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","S000000922",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","S000007228",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","WBGene00010254",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","WBGene00012345",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","WBGene00018008",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","WBGene00018354",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","WBGene00018840",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","WBGene00021428",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","WBGene00022546",""
"OMIM:182980","SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE","9217","VAPB","ZDB-GENE-030131-2348",""
"OMIM:183086","SPINOCEREBELLAR ATAXIA 6","773","CACNA1A","FBgn0263111",""
"OMIM:183086","SPINOCEREBELLAR ATAXIA 6","773","CACNA1A","MGI:109482","Cacna1a"
"OMIM:183086","SPINOCEREBELLAR ATAXIA 6","773","CACNA1A","RGD:2244","Cacna1a"
"OMIM:183086","SPINOCEREBELLAR ATAXIA 6","773","CACNA1A","S000003449",""
"OMIM:183086","SPINOCEREBELLAR ATAXIA 6","773","CACNA1A","WBGene00006742",""
"OMIM:183086","SPINOCEREBELLAR ATAXIA 6","773","CACNA1A","ZDB-GENE-040724-26",""
"OMIM:183086","SPINOCEREBELLAR ATAXIA 6","773","CACNA1A","ZDB-GENE-090514-3",""
"OMIM:183090","SPINOCEREBELLAR ATAXIA 2","6311","ATXN2","FBgn0041188",""
"OMIM:183090","SPINOCEREBELLAR ATAXIA 2","6311","ATXN2","MGI:1277223","Atxn2"
"OMIM:183090","SPINOCEREBELLAR ATAXIA 2","6311","ATXN2","RGD:1306637","Atxn2"
"OMIM:183090","SPINOCEREBELLAR ATAXIA 2","6311","ATXN2","S000003410",""
"OMIM:183090","SPINOCEREBELLAR ATAXIA 2","6311","ATXN2","WBGene00000231",""
"OMIM:183090","SPINOCEREBELLAR ATAXIA 2","6311","ATXN2","ZDB-GENE-060526-217",""
"OMIM:183600","SPLIT-HAND/FOOT MALFORMATION 1","1749","DLX5","FBgn0000157",""
"OMIM:183600","SPLIT-HAND/FOOT MALFORMATION 1","1749","DLX5","MGI:101926","Dlx5"
"OMIM:183600","SPLIT-HAND/FOOT MALFORMATION 1","1749","DLX5","RGD:2506","Dlx5"
"OMIM:183600","SPLIT-HAND/FOOT MALFORMATION 1","1749","DLX5","WBGene00000463",""
"OMIM:183600","SPLIT-HAND/FOOT MALFORMATION 1","1749","DLX5","WBGene00013583",""
"OMIM:183600","SPLIT-HAND/FOOT MALFORMATION 1","1749","DLX5","ZDB-GENE-990415-49",""
"OMIM:183900","SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA","1280","COL2A1","MGI:88452","Col2a1"
"OMIM:183900","SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA","1280","COL2A1","RGD:2375","Col2a1"
"OMIM:183900","SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA","1280","COL2A1","ZDB-GENE-050302-9",""
"OMIM:183900","SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA","1280","COL2A1","ZDB-GENE-980526-192",""
"OMIM:184095","SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE","59341","TRPV4","FBgn0036414",""
"OMIM:184095","SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE","59341","TRPV4","MGI:1926945","Trpv4"
"OMIM:184095","SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE","59341","TRPV4","RGD:69337","Trpv4"
"OMIM:184095","SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE","59341","TRPV4","S000005613",""
"OMIM:184095","SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE","59341","TRPV4","WBGene00003838",""
"OMIM:184095","SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE","59341","TRPV4","WBGene00003839",""
"OMIM:184095","SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE","59341","TRPV4","WBGene00003840",""
"OMIM:184095","SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE","59341","TRPV4","WBGene00003841",""
"OMIM:184095","SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE","59341","TRPV4","ZDB-GENE-030912-7",""
"OMIM:184250","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, STRUDWICK TYPE","1280","COL2A1","MGI:88452","Col2a1"
"OMIM:184250","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, STRUDWICK TYPE","1280","COL2A1","RGD:2375","Col2a1"
"OMIM:184250","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, STRUDWICK TYPE","1280","COL2A1","ZDB-GENE-050302-9",""
"OMIM:184250","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, STRUDWICK TYPE","1280","COL2A1","ZDB-GENE-980526-192",""
"OMIM:184252","SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE","59341","TRPV4","FBgn0036414",""
"OMIM:184252","SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE","59341","TRPV4","MGI:1926945","Trpv4"
"OMIM:184252","SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE","59341","TRPV4","RGD:69337","Trpv4"
"OMIM:184252","SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE","59341","TRPV4","S000005613",""
"OMIM:184252","SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE","59341","TRPV4","WBGene00003838",""
"OMIM:184252","SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE","59341","TRPV4","WBGene00003839",""
"OMIM:184252","SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE","59341","TRPV4","WBGene00003840",""
"OMIM:184252","SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE","59341","TRPV4","WBGene00003841",""
"OMIM:184252","SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE","59341","TRPV4","ZDB-GENE-030912-7",""
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","1280","COL2A1","MGI:88452","Col2a1"
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","1280","COL2A1","RGD:2375","Col2a1"
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","1280","COL2A1","ZDB-GENE-050302-9",""
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","1280","COL2A1","ZDB-GENE-980526-192",""
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","2335","FN1","FBgn0003326",""
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","2335","FN1","FBgn0036929",""
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","2335","FN1","FBgn0038365",""
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","2335","FN1","FBgn0050281",""
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","2335","FN1","MGI:95566","Fn1"
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","2335","FN1","RGD:2624","Fn1"
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","2335","FN1","WBGene00012782",""
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","2335","FN1","WBGene00016769",""
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","2335","FN1","ZDB-GENE-000426-1",""
"OMIM:184255","SPONDYLOMETAPHYSEAL DYSPLASIA, CORNER FRACTURE TYPE","2335","FN1","ZDB-GENE-030131-6545",""
"OMIM:184260","ODONTOCHONDRODYSPLASIA 1","9321","TRIP11","FBgn0027287",""
"OMIM:184260","ODONTOCHONDRODYSPLASIA 1","9321","TRIP11","MGI:1924393","Trip11"
"OMIM:184260","ODONTOCHONDRODYSPLASIA 1","9321","TRIP11","RGD:1586166","Trip11"
"OMIM:184260","ODONTOCHONDRODYSPLASIA 1","9321","TRIP11","S000005742",""
"OMIM:184260","ODONTOCHONDRODYSPLASIA 1","9321","TRIP11","WBGene00013730",""
"OMIM:184260","ODONTOCHONDRODYSPLASIA 1","9321","TRIP11","ZDB-GENE-030131-9833",""
"OMIM:184450","STUTTERING, FAMILIAL PERSISTENT, 1","23431","AP4E1","MGI:1336993","Ap4e1"
"OMIM:184450","STUTTERING, FAMILIAL PERSISTENT, 1","23431","AP4E1","RGD:1562199","Ap4e1"
"OMIM:184450","STUTTERING, FAMILIAL PERSISTENT, 1","23431","AP4E1","ZDB-GENE-061221-3",""
"OMIM:184460","STAPES ANKYLOSIS WITH BROAD THUMBS AND TOES","9241","NOG","MGI:104327","Nog"
"OMIM:184460","STAPES ANKYLOSIS WITH BROAD THUMBS AND TOES","9241","NOG","ZDB-GENE-990714-8",""
"OMIM:184460","STAPES ANKYLOSIS WITH BROAD THUMBS AND TOES","9241","NOG","ZDB-GENE-991206-8",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","MGI:96691","Krt17"
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","RGD:1303181","Krt17"
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-030131-221",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-030131-7018",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-040426-2931",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-040718-78",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-040718-88",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-040801-181",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-050417-363",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-050417-50",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-050506-95",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-060316-1",""
"OMIM:184500","STEATOCYSTOMA MULTIPLEX","3872","KRT17","ZDB-GENE-060421-4592",""
