"Disease.genes.primaryIdentifier","Disease.genes.symbol","Disease.name","Disease.primaryIdentifier","Disease.genes.organism.name","Disease.dataSets.name"
"23414","ZFPM2","DIAPHRAGMATIC HERNIA 3","OMIM:610187","Homo sapiens","clinvar"
"23414","ZFPM2","DIAPHRAGMATIC HERNIA 3","OMIM:610187","Homo sapiens","hpo-annotation"
"4507","MTAP","DIAPHYSEAL MEDULLARY STENOSIS WITH MALIGNANT FIBROUS HISTIOCYTOMA","OMIM:112250","Homo sapiens","OMIM diseases"
"4507","MTAP","DIAPHYSEAL MEDULLARY STENOSIS WITH MALIGNANT FIBROUS HISTIOCYTOMA","OMIM:112250","Homo sapiens","clinvar"
"4507","MTAP","DIAPHYSEAL MEDULLARY STENOSIS WITH MALIGNANT FIBROUS HISTIOCYTOMA","OMIM:112250","Homo sapiens","hpo-annotation"
"1811","SLC26A3","DIARRHEA 1, SECRETORY CHLORIDE, CONGENITAL","OMIM:214700","Homo sapiens","OMIM diseases"
"1811","SLC26A3","DIARRHEA 1, SECRETORY CHLORIDE, CONGENITAL","OMIM:214700","Homo sapiens","clinvar"
"1811","SLC26A3","DIARRHEA 1, SECRETORY CHLORIDE, CONGENITAL","OMIM:214700","Homo sapiens","hpo-annotation"
"83483","PLVAP","DIARRHEA 10, PROTEIN-LOSING ENTEROPATHY TYPE","OMIM:618183","Homo sapiens","OMIM diseases"
"83483","PLVAP","DIARRHEA 10, PROTEIN-LOSING ENTEROPATHY TYPE","OMIM:618183","Homo sapiens","clinvar"
"83483","PLVAP","DIARRHEA 10, PROTEIN-LOSING ENTEROPATHY TYPE","OMIM:618183","Homo sapiens","hpo-annotation"
"105371045","PERCC1","DIARRHEA 11, MALABSORPTIVE, CONGENITAL","OMIM:618662","Homo sapiens","OMIM diseases"
"105371045","PERCC1","DIARRHEA 11, MALABSORPTIVE, CONGENITAL","OMIM:618662","Homo sapiens","hpo-annotation"
"6809","STX3","DIARRHEA 12, WITH MICROVILLUS ATROPHY","OMIM:619445","Homo sapiens","OMIM diseases"
"6809","STX3","DIARRHEA 12, WITH MICROVILLUS ATROPHY","OMIM:619445","Homo sapiens","clinvar"
"4645","MYO5B","DIARRHEA 2, WITH MICROVILLUS ATROPHY","OMIM:251850","Homo sapiens","OMIM diseases"
"4645","MYO5B","DIARRHEA 2, WITH MICROVILLUS ATROPHY","OMIM:251850","Homo sapiens","clinvar"
"4645","MYO5B","DIARRHEA 2, WITH MICROVILLUS ATROPHY","OMIM:251850","Homo sapiens","hpo-annotation"
"10653","SPINT2","DIARRHEA 3, SECRETORY SODIUM, CONGENITAL, WITH OR WITHOUT OTHER CONGENITAL ANOMALIES","OMIM:270420","Homo sapiens","OMIM diseases"
"10653","SPINT2","DIARRHEA 3, SECRETORY SODIUM, CONGENITAL, WITH OR WITHOUT OTHER CONGENITAL ANOMALIES","OMIM:270420","Homo sapiens","clinvar"
"10653","SPINT2","DIARRHEA 3, SECRETORY SODIUM, CONGENITAL, WITH OR WITHOUT OTHER CONGENITAL ANOMALIES","OMIM:270420","Homo sapiens","hpo-annotation"
"50674","NEUROG3","DIARRHEA 4, MALABSORPTIVE, CONGENITAL","OMIM:610370","Homo sapiens","OMIM diseases"
"50674","NEUROG3","DIARRHEA 4, MALABSORPTIVE, CONGENITAL","OMIM:610370","Homo sapiens","clinvar"
"50674","NEUROG3","DIARRHEA 4, MALABSORPTIVE, CONGENITAL","OMIM:610370","Homo sapiens","hpo-annotation"
"4072","EPCAM","DIARRHEA 5, WITH TUFTING ENTEROPATHY, CONGENITAL","OMIM:613217","Homo sapiens","OMIM diseases"
"4072","EPCAM","DIARRHEA 5, WITH TUFTING ENTEROPATHY, CONGENITAL","OMIM:613217","Homo sapiens","clinvar"
"4072","EPCAM","DIARRHEA 5, WITH TUFTING ENTEROPATHY, CONGENITAL","OMIM:613217","Homo sapiens","hpo-annotation"
"2984","GUCY2C","DIARRHEA 6","OMIM:614616","Homo sapiens","OMIM diseases"
"2984","GUCY2C","DIARRHEA 6","OMIM:614616","Homo sapiens","clinvar"
"2984","GUCY2C","DIARRHEA 6","OMIM:614616","Homo sapiens","hpo-annotation"
"8694","DGAT1","DIARRHEA 7, PROTEIN-LOSING ENTEROPATHY TYPE","OMIM:615863","Homo sapiens","OMIM diseases"
"8694","DGAT1","DIARRHEA 7, PROTEIN-LOSING ENTEROPATHY TYPE","OMIM:615863","Homo sapiens","clinvar"
"8694","DGAT1","DIARRHEA 7, PROTEIN-LOSING ENTEROPATHY TYPE","OMIM:615863","Homo sapiens","hpo-annotation"
"6550","SLC9A3","DIARRHEA 8, SECRETORY SODIUM, CONGENITAL","OMIM:616868","Homo sapiens","OMIM diseases"
"6550","SLC9A3","DIARRHEA 8, SECRETORY SODIUM, CONGENITAL","OMIM:616868","Homo sapiens","clinvar"
"6550","SLC9A3","DIARRHEA 8, SECRETORY SODIUM, CONGENITAL","OMIM:616868","Homo sapiens","hpo-annotation"
"7482","WNT2B","DIARRHEA 9","OMIM:618168","Homo sapiens","OMIM diseases"
"7482","WNT2B","DIARRHEA 9","OMIM:618168","Homo sapiens","clinvar"
"7482","WNT2B","DIARRHEA 9","OMIM:618168","Homo sapiens","hpo-annotation"
"1836","SLC26A2","DIASTROPHIC DYSPLASIA","OMIM:222600","Homo sapiens","OMIM diseases"
"1836","SLC26A2","DIASTROPHIC DYSPLASIA","OMIM:222600","Homo sapiens","clinvar"
"1836","SLC26A2","DIASTROPHIC DYSPLASIA","OMIM:222600","Homo sapiens","hpo-annotation"
"6505","SLC1A1","DICARBOXYLIC AMINOACIDURIA","OMIM:222730","Homo sapiens","OMIM diseases"
"6505","SLC1A1","DICARBOXYLIC AMINOACIDURIA","OMIM:222730","Homo sapiens","clinvar"
"6505","SLC1A1","DICARBOXYLIC AMINOACIDURIA","OMIM:222730","Homo sapiens","hpo-annotation"
"51294","PCDH12","DIENCEPHALIC-MESENCEPHALIC JUNCTION DYSPLASIA SYNDROME 1","OMIM:251280","Homo sapiens","OMIM diseases"
"51294","PCDH12","DIENCEPHALIC-MESENCEPHALIC JUNCTION DYSPLASIA SYNDROME 1","OMIM:251280","Homo sapiens","clinvar"
"51294","PCDH12","DIENCEPHALIC-MESENCEPHALIC JUNCTION DYSPLASIA SYNDROME 1","OMIM:251280","Homo sapiens","hpo-annotation"
"170825","GSX2","DIENCEPHALIC-MESENCEPHALIC JUNCTION DYSPLASIA SYNDROME 2","OMIM:618646","Homo sapiens","OMIM diseases"
"170825","GSX2","DIENCEPHALIC-MESENCEPHALIC JUNCTION DYSPLASIA SYNDROME 2","OMIM:618646","Homo sapiens","clinvar"
"170825","GSX2","DIENCEPHALIC-MESENCEPHALIC JUNCTION DYSPLASIA SYNDROME 2","OMIM:618646","Homo sapiens","hpo-annotation"
"51780","KDM3B","DIETS-JONGMANS SYNDROME","OMIM:618846","Homo sapiens","OMIM diseases"
"51780","KDM3B","DIETS-JONGMANS SYNDROME","OMIM:618846","Homo sapiens","clinvar"
"51780","KDM3B","DIETS-JONGMANS SYNDROME","OMIM:618846","Homo sapiens","hpo-annotation"
"3553","IL1B","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","OMIM diseases"
"3553","IL1B","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","clinvar"
"3553","IL1B","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","hpo-annotation"
"3557","IL1RN","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","OMIM diseases"
"3557","IL1RN","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","clinvar"
"3557","IL1RN","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","hpo-annotation"
"3845","KRAS","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","OMIM diseases"
"3845","KRAS","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","clinvar"
"3845","KRAS","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","hpo-annotation"
"999","CDH1","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","OMIM diseases"
"999","CDH1","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","clinvar"
"999","CDH1","DIFFUSE GASTRIC AND LOBULAR BREAST CANCER SYNDROME","OMIM:137215","Homo sapiens","hpo-annotation"
"6899","TBX1","DIGEORGE SYNDROME","OMIM:188400","Homo sapiens","OMIM diseases"
"6899","TBX1","DIGEORGE SYNDROME","OMIM:188400","Homo sapiens","clinvar"
"6899","TBX1","DIGEORGE SYNDROME","OMIM:188400","Homo sapiens","hpo-annotation"
"59341","TRPV4","DIGITAL ARTHROPATHY-BRACHYDACTYLY, FAMILIAL","OMIM:606835","Homo sapiens","OMIM diseases"
"59341","TRPV4","DIGITAL ARTHROPATHY-BRACHYDACTYLY, FAMILIAL","OMIM:606835","Homo sapiens","clinvar"
"59341","TRPV4","DIGITAL ARTHROPATHY-BRACHYDACTYLY, FAMILIAL","OMIM:606835","Homo sapiens","hpo-annotation"
"3248","HPGD","DIGITAL CLUBBING, ISOLATED CONGENITAL","OMIM:119900","Homo sapiens","OMIM diseases"
"3248","HPGD","DIGITAL CLUBBING, ISOLATED CONGENITAL","OMIM:119900","Homo sapiens","clinvar"
"3248","HPGD","DIGITAL CLUBBING, ISOLATED CONGENITAL","OMIM:119900","Homo sapiens","hpo-annotation"
"1738","DLD","DIHYDROLIPOAMIDE DEHYDROGENASE DEFICIENCY","OMIM:246900","Homo sapiens","OMIM diseases"
"1738","DLD","DIHYDROLIPOAMIDE DEHYDROGENASE DEFICIENCY","OMIM:246900","Homo sapiens","clinvar"
"1738","DLD","DIHYDROLIPOAMIDE DEHYDROGENASE DEFICIENCY","OMIM:246900","Homo sapiens","hpo-annotation"
"1807","DPYS","DIHYDROPYRIMIDINASE DEFICIENCY","OMIM:222748","Homo sapiens","OMIM diseases"
"1807","DPYS","DIHYDROPYRIMIDINASE DEFICIENCY","OMIM:222748","Homo sapiens","clinvar"
"1807","DPYS","DIHYDROPYRIMIDINASE DEFICIENCY","OMIM:222748","Homo sapiens","hpo-annotation"
"1806","DPYD","DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY","OMIM:274270","Homo sapiens","OMIM diseases"
"1806","DPYD","DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY","OMIM:274270","Homo sapiens","clinvar"
"1806","DPYD","DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY","OMIM:274270","Homo sapiens","hpo-annotation"
"29958","DMGDH","DIMETHYLGLYCINE DEHYDROGENASE DEFICIENCY","OMIM:605850","Homo sapiens","OMIM diseases"
"29958","DMGDH","DIMETHYLGLYCINE DEHYDROGENASE DEFICIENCY","OMIM:605850","Homo sapiens","clinvar"
"29958","DMGDH","DIMETHYLGLYCINE DEHYDROGENASE DEFICIENCY","OMIM:605850","Homo sapiens","hpo-annotation"
"5447","POR","DISORDERED STEROIDOGENESIS DUE TO CYTOCHROME P450 OXIDOREDUCTASE DEFICIENCY","OMIM:613571","Homo sapiens","OMIM diseases"
"5447","POR","DISORDERED STEROIDOGENESIS DUE TO CYTOCHROME P450 OXIDOREDUCTASE DEFICIENCY","OMIM:613571","Homo sapiens","clinvar"
"5447","POR","DISORDERED STEROIDOGENESIS DUE TO CYTOCHROME P450 OXIDOREDUCTASE DEFICIENCY","OMIM:613571","Homo sapiens","hpo-annotation"
"4036","LRP2","DONNAI-BARROW SYNDROME","OMIM:222448","Homo sapiens","OMIM diseases"
"4036","LRP2","DONNAI-BARROW SYNDROME","OMIM:222448","Homo sapiens","clinvar"
"4036","LRP2","DONNAI-BARROW SYNDROME","OMIM:222448","Homo sapiens","hpo-annotation"
"3643","INSR","DONOHUE SYNDROME","OMIM:246200","Homo sapiens","OMIM diseases"
"3643","INSR","DONOHUE SYNDROME","OMIM:246200","Homo sapiens","clinvar"
"3643","INSR","DONOHUE SYNDROME","OMIM:246200","Homo sapiens","hpo-annotation"
"3852","KRT5","DOWLING-DEGOS DISEASE 1","OMIM:179850","Homo sapiens","OMIM diseases"
"3852","KRT5","DOWLING-DEGOS DISEASE 1","OMIM:179850","Homo sapiens","clinvar"
"3852","KRT5","DOWLING-DEGOS DISEASE 1","OMIM:179850","Homo sapiens","hpo-annotation"
"23509","POFUT1","DOWLING-DEGOS DISEASE 2","OMIM:615327","Homo sapiens","OMIM diseases"
"23509","POFUT1","DOWLING-DEGOS DISEASE 2","OMIM:615327","Homo sapiens","clinvar"
"23509","POFUT1","DOWLING-DEGOS DISEASE 2","OMIM:615327","Homo sapiens","hpo-annotation"
"56983","POGLUT1","DOWLING-DEGOS DISEASE 4","OMIM:615696","Homo sapiens","OMIM diseases"
"56983","POGLUT1","DOWLING-DEGOS DISEASE 4","OMIM:615696","Homo sapiens","clinvar"
"56983","POGLUT1","DOWLING-DEGOS DISEASE 4","OMIM:615696","Homo sapiens","hpo-annotation"
"2623","GATA1","DOWN SYNDROME","OMIM:190685","Homo sapiens","OMIM diseases"
"2623","GATA1","DOWN SYNDROME","OMIM:190685","Homo sapiens","clinvar"
"2623","GATA1","DOWN SYNDROME","OMIM:190685","Homo sapiens","hpo-annotation"
"2202","EFEMP1","DOYNE HONEYCOMB RETINAL DYSTROPHY","OMIM:126600","Homo sapiens","OMIM diseases"
"2202","EFEMP1","DOYNE HONEYCOMB RETINAL DYSTROPHY","OMIM:126600","Homo sapiens","clinvar"
"2202","EFEMP1","DOYNE HONEYCOMB RETINAL DYSTROPHY","OMIM:126600","Homo sapiens","hpo-annotation"
"6323","SCN1A","DRAVET SYNDROME","OMIM:607208","Homo sapiens","OMIM diseases"
"6323","SCN1A","DRAVET SYNDROME","OMIM:607208","Homo sapiens","clinvar"
"6323","SCN1A","DRAVET SYNDROME","OMIM:607208","Homo sapiens","hpo-annotation"
"1066","CES1","DRUG METABOLISM, ALTERED, CES1-RELATED","OMIM:618057","Homo sapiens","OMIM diseases"
"1066","CES1","DRUG METABOLISM, ALTERED, CES1-RELATED","OMIM:618057","Homo sapiens","clinvar"
"1558","CYP2C8","DRUG METABOLISM, ALTERED, CYP2C8-RELATED","OMIM:618018","Homo sapiens","OMIM diseases"
"1558","CYP2C8","DRUG METABOLISM, ALTERED, CYP2C8-RELATED","OMIM:618018","Homo sapiens","clinvar"
"1557","CYP2C19","DRUG METABOLISM, POOR, CYP2C19-RELATED","OMIM:609535","Homo sapiens","OMIM diseases"
"1557","CYP2C19","DRUG METABOLISM, POOR, CYP2C19-RELATED","OMIM:609535","Homo sapiens","hpo-annotation"
"1565","CYP2D6","DRUG METABOLISM, POOR, CYP2D6-RELATED","OMIM:608902","Homo sapiens","OMIM diseases"
"1565","CYP2D6","DRUG METABOLISM, POOR, CYP2D6-RELATED","OMIM:608902","Homo sapiens","hpo-annotation"
"1123","CHN1","DUANE RETRACTION SYNDROME 2","OMIM:604356","Homo sapiens","OMIM diseases"
"1123","CHN1","DUANE RETRACTION SYNDROME 2","OMIM:604356","Homo sapiens","clinvar"
"1123","CHN1","DUANE RETRACTION SYNDROME 2","OMIM:604356","Homo sapiens","hpo-annotation"
"9935","MAFB","DUANE RETRACTION SYNDROME 3 WITH OR WITHOUT DEAFNESS","OMIM:617041","Homo sapiens","OMIM diseases"
"9935","MAFB","DUANE RETRACTION SYNDROME 3 WITH OR WITHOUT DEAFNESS","OMIM:617041","Homo sapiens","hpo-annotation"
"57167","SALL4","DUANE-RADIAL RAY SYNDROME","OMIM:607323","Homo sapiens","OMIM diseases"
"57167","SALL4","DUANE-RADIAL RAY SYNDROME","OMIM:607323","Homo sapiens","clinvar"
"57167","SALL4","DUANE-RADIAL RAY SYNDROME","OMIM:607323","Homo sapiens","hpo-annotation"
"1244","ABCC2","DUBIN-JOHNSON SYNDROME","OMIM:237500","Homo sapiens","OMIM diseases"
"1244","ABCC2","DUBIN-JOHNSON SYNDROME","OMIM:237500","Homo sapiens","clinvar"
"1244","ABCC2","DUBIN-JOHNSON SYNDROME","OMIM:237500","Homo sapiens","hpo-annotation"
"54808","DYM","DYGGVE-MELCHIOR-CLAUSEN DISEASE","OMIM:223800","Homo sapiens","OMIM diseases"
"54808","DYM","DYGGVE-MELCHIOR-CLAUSEN DISEASE","OMIM:223800","Homo sapiens","clinvar"
"54808","DYM","DYGGVE-MELCHIOR-CLAUSEN DISEASE","OMIM:223800","Homo sapiens","hpo-annotation"
"103","ADAR","DYSCHROMATOSIS SYMMETRICA HEREDITARIA","OMIM:127400","Homo sapiens","OMIM diseases"
"103","ADAR","DYSCHROMATOSIS SYMMETRICA HEREDITARIA","OMIM:127400","Homo sapiens","clinvar"
"103","ADAR","DYSCHROMATOSIS SYMMETRICA HEREDITARIA","OMIM:127400","Homo sapiens","hpo-annotation"
"23328","SASH1","DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 1","OMIM:127500","Homo sapiens","OMIM diseases"
"23328","SASH1","DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 1","OMIM:127500","Homo sapiens","clinvar"
"23328","SASH1","DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 1","OMIM:127500","Homo sapiens","hpo-annotation"
"10058","ABCB6","DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3","OMIM:615402","Homo sapiens","OMIM diseases"
"10058","ABCB6","DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3","OMIM:615402","Homo sapiens","clinvar"
"10058","ABCB6","DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3","OMIM:615402","Homo sapiens","hpo-annotation"
"2243","FGA","DYSFIBRINOGENEMIA, CONGENITAL","OMIM:616004","Homo sapiens","OMIM diseases"
"2243","FGA","DYSFIBRINOGENEMIA, CONGENITAL","OMIM:616004","Homo sapiens","clinvar"
"2244","FGB","DYSFIBRINOGENEMIA, CONGENITAL","OMIM:616004","Homo sapiens","OMIM diseases"
"2244","FGB","DYSFIBRINOGENEMIA, CONGENITAL","OMIM:616004","Homo sapiens","clinvar"
"2266","FGG","DYSFIBRINOGENEMIA, CONGENITAL","OMIM:616004","Homo sapiens","OMIM diseases"
"2266","FGG","DYSFIBRINOGENEMIA, CONGENITAL","OMIM:616004","Homo sapiens","clinvar"
"26277","TINF2","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1","OMIM:127550","Homo sapiens","OMIM diseases"
"26277","TINF2","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1","OMIM:127550","Homo sapiens","clinvar"
"26277","TINF2","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1","OMIM:127550","Homo sapiens","hpo-annotation"
"7012","TERC","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1","OMIM:127550","Homo sapiens","OMIM diseases"
"7012","TERC","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1","OMIM:127550","Homo sapiens","clinvar"
"7012","TERC","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1","OMIM:127550","Homo sapiens","hpo-annotation"
"7015","TERT","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1","OMIM:127550","Homo sapiens","OMIM diseases"
"7015","TERT","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1","OMIM:127550","Homo sapiens","clinvar"
"7015","TERT","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1","OMIM:127550","Homo sapiens","hpo-annotation"
"7015","TERT","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 2","OMIM:613989","Homo sapiens","OMIM diseases"
"7015","TERT","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 2","OMIM:613989","Homo sapiens","clinvar"
"7015","TERT","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 2","OMIM:613989","Homo sapiens","hpo-annotation"
"26277","TINF2","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 3","OMIM:613990","Homo sapiens","OMIM diseases"
"26277","TINF2","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 3","OMIM:613990","Homo sapiens","clinvar"
"26277","TINF2","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 3","OMIM:613990","Homo sapiens","hpo-annotation"
"65057","ACD","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 6","OMIM:616553","Homo sapiens","OMIM diseases"
"65057","ACD","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 6","OMIM:616553","Homo sapiens","clinvar"
"65057","ACD","DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 6","OMIM:616553","Homo sapiens","hpo-annotation"
"55505","NOP10","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1","OMIM:224230","Homo sapiens","OMIM diseases"
"55505","NOP10","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1","OMIM:224230","Homo sapiens","clinvar"
"55505","NOP10","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1","OMIM:224230","Homo sapiens","hpo-annotation"
"55651","NHP2","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1","OMIM:224230","Homo sapiens","OMIM diseases"
"55651","NHP2","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1","OMIM:224230","Homo sapiens","clinvar"
"55651","NHP2","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 1","OMIM:224230","Homo sapiens","hpo-annotation"
"55651","NHP2","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2","OMIM:613987","Homo sapiens","OMIM diseases"
"55651","NHP2","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2","OMIM:613987","Homo sapiens","clinvar"
"55651","NHP2","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2","OMIM:613987","Homo sapiens","hpo-annotation"
"55135","WRAP53","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 3","OMIM:613988","Homo sapiens","OMIM diseases"
"55135","WRAP53","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 3","OMIM:613988","Homo sapiens","clinvar"
"55135","WRAP53","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 3","OMIM:613988","Homo sapiens","hpo-annotation"
"51750","RTEL1","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 5","OMIM:615190","Homo sapiens","OMIM diseases"
"51750","RTEL1","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 5","OMIM:615190","Homo sapiens","clinvar"
"51750","RTEL1","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 5","OMIM:615190","Homo sapiens","hpo-annotation"
"5073","PARN","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 6","OMIM:616353","Homo sapiens","OMIM diseases"
"5073","PARN","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 6","OMIM:616353","Homo sapiens","clinvar"
"5073","PARN","DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 6","OMIM:616353","Homo sapiens","hpo-annotation"
"1736","DKC1","DYSKERATOSIS CONGENITA, X-LINKED","OMIM:305000","Homo sapiens","OMIM diseases"
"1736","DKC1","DYSKERATOSIS CONGENITA, X-LINKED","OMIM:305000","Homo sapiens","clinvar"
"1736","DKC1","DYSKERATOSIS CONGENITA, X-LINKED","OMIM:305000","Homo sapiens","hpo-annotation"
"111","ADCY5","DYSKINESIA WITH OROFACIAL INVOLVEMENT, AUTOSOMAL DOMINANT","OMIM:606703","Homo sapiens","OMIM diseases"
"111","ADCY5","DYSKINESIA WITH OROFACIAL INVOLVEMENT, AUTOSOMAL DOMINANT","OMIM:606703","Homo sapiens","clinvar"
"111","ADCY5","DYSKINESIA WITH OROFACIAL INVOLVEMENT, AUTOSOMAL DOMINANT","OMIM:606703","Homo sapiens","hpo-annotation"
"111","ADCY5","DYSKINESIA WITH OROFACIAL INVOLVEMENT, AUTOSOMAL RECESSIVE","OMIM:619647","Homo sapiens","OMIM diseases"
"111","ADCY5","DYSKINESIA WITH OROFACIAL INVOLVEMENT, AUTOSOMAL RECESSIVE","OMIM:619647","Homo sapiens","clinvar"
"10846","PDE10A","DYSKINESIA, LIMB AND OROFACIAL, INFANTILE-ONSET","OMIM:616921","Homo sapiens","OMIM diseases"
"10846","PDE10A","DYSKINESIA, LIMB AND OROFACIAL, INFANTILE-ONSET","OMIM:616921","Homo sapiens","clinvar"
"10846","PDE10A","DYSKINESIA, LIMB AND OROFACIAL, INFANTILE-ONSET","OMIM:616921","Homo sapiens","hpo-annotation"
"161582","DNAAF4","DYSLEXIA, SUSCEPTIBILITY TO, 1","OMIM:127700","Homo sapiens","OMIM diseases"
"161582","DNAAF4","DYSLEXIA, SUSCEPTIBILITY TO, 1","OMIM:127700","Homo sapiens","hpo-annotation"
"26175","TMEM251","DYSOSTOSIS MULTIPLEX, AIN-NAZ TYPE","OMIM:619345","Homo sapiens","OMIM diseases"
"26175","TMEM251","DYSOSTOSIS MULTIPLEX, AIN-NAZ TYPE","OMIM:619345","Homo sapiens","clinvar"
"3339","HSPG2","DYSSEGMENTAL DYSPLASIA, SILVERMAN-HANDMAKER TYPE","OMIM:224410","Homo sapiens","OMIM diseases"
"3339","HSPG2","DYSSEGMENTAL DYSPLASIA, SILVERMAN-HANDMAKER TYPE","OMIM:224410","Homo sapiens","clinvar"
"3339","HSPG2","DYSSEGMENTAL DYSPLASIA, SILVERMAN-HANDMAKER TYPE","OMIM:224410","Homo sapiens","hpo-annotation"
"1861","TOR1A","DYSTONIA 1, TORSION, AUTOSOMAL DOMINANT","OMIM:128100","Homo sapiens","OMIM diseases"
"1861","TOR1A","DYSTONIA 1, TORSION, AUTOSOMAL DOMINANT","OMIM:128100","Homo sapiens","clinvar"
"1861","TOR1A","DYSTONIA 1, TORSION, AUTOSOMAL DOMINANT","OMIM:128100","Homo sapiens","hpo-annotation"
"8910","SGCE","DYSTONIA 11, MYOCLONIC","OMIM:159900","Homo sapiens","OMIM diseases"
"8910","SGCE","DYSTONIA 11, MYOCLONIC","OMIM:159900","Homo sapiens","clinvar"
"8910","SGCE","DYSTONIA 11, MYOCLONIC","OMIM:159900","Homo sapiens","hpo-annotation"
"478","ATP1A3","DYSTONIA 12","OMIM:128235","Homo sapiens","OMIM diseases"
"478","ATP1A3","DYSTONIA 12","OMIM:128235","Homo sapiens","clinvar"
"478","ATP1A3","DYSTONIA 12","OMIM:128235","Homo sapiens","hpo-annotation"
"8575","PRKRA","DYSTONIA 16","OMIM:612067","Homo sapiens","OMIM diseases"
"8575","PRKRA","DYSTONIA 16","OMIM:612067","Homo sapiens","clinvar"
"8575","PRKRA","DYSTONIA 16","OMIM:612067","Homo sapiens","hpo-annotation"
"3208","HPCA","DYSTONIA 2, TORSION, AUTOSOMAL RECESSIVE","OMIM:224500","Homo sapiens","OMIM diseases"
"3208","HPCA","DYSTONIA 2, TORSION, AUTOSOMAL RECESSIVE","OMIM:224500","Homo sapiens","clinvar"
"3208","HPCA","DYSTONIA 2, TORSION, AUTOSOMAL RECESSIVE","OMIM:224500","Homo sapiens","hpo-annotation"
"63982","ANO3","DYSTONIA 24","OMIM:615034","Homo sapiens","OMIM diseases"
"63982","ANO3","DYSTONIA 24","OMIM:615034","Homo sapiens","clinvar"
