Protein Accession,Transcript Accession
NP_788904.1,NM_176731.2
NP_572998.1,NM_132770.2
NP_572999.1,NM_132771.3
NP_573000.1,NM_132772.4
NP_001334680.1,NM_001347810.1
NP_001334679.1,NM_001347809.1
NP_001096983.2,NM_001103513.3
NP_001259560.1,NM_001272631.1
NP_001303564.1,NM_001316635.1
NP_001259559.1,NM_001272630.1
NP_573001.2,NM_132773.3
NP_001245675.1,NM_001258746.2
NP_001334681.1,NM_001347811.1
NP_001245676.1,NM_001258747.1
NP_573002.1,NM_132774.2
NP_573003.2,NM_132775.3
NP_001033845.1,NM_001038756.2
NP_573005.1,NM_132777.3
NP_001259561.1,NM_001272632.2
NP_573006.1,NM_132778.2
NP_001259562.1,NM_001272633.2
NP_001285265.1,NM_001298336.1
NP_001096984.1,NM_001103514.2
NP_001096985.2,NM_001103515.2
NP_573007.3,NM_132779.3
NP_727833.1,NM_167432.2
NP_001285266.1,NM_001298337.1
NP_573009.1,NM_132781.2
NP_001245677.1,NM_001258748.2
NP_001245678.1,NM_001258749.2
NP_573011.1,NM_132783.3
NP_573012.1,NM_132784.2
NP_573013.1,NM_132785.2
NP_727838.1,NM_167433.2
NP_573014.2,NM_132786.4
NP_001259563.2,NM_001272634.2
NP_727839.2,NM_167434.3
NP_001259566.1,NM_001272637.2
NP_511160.2,NM_078605.3
NP_001259564.1,NM_001272635.2
NP_001188593.1,NM_001201664.2
NP_511161.2,NM_078606.4
NP_001014742.1,NM_001014742.2
NP_001245679.1,NM_001258750.2
NP_727841.1,NM_167435.3
NP_001285267.1,NM_001298338.1
NP_511162.1,NM_078607.3
NP_001259568.1,NM_001272639.2
NP_573016.1,NM_132788.4
NP_573017.2,NM_132789.4
NP_001259569.1,NM_001272640.1
NP_001245680.1,NM_001258751.1
NP_727843.1,NM_167437.2
NP_727842.1,NM_167436.3
NP_001245681.1,NM_001258752.1
NP_001162760.1,NM_001169289.2
NP_573018.1,NM_132790.3
NP_573019.1,NM_132791.4
NP_573020.2,NM_132792.3
NP_001245684.1,NM_001258755.2
NP_001014743.1,NM_001014743.3
NP_001245683.1,NM_001258754.2
NP_001245685.1,NM_001258756.2
NP_001138198.1,NM_001144726.2
NP_001245687.1,NM_001258758.2
NP_001245689.1,NM_001258760.2
NP_001245688.1,NM_001258759.2
NP_001014744.1,NM_001014744.2
NP_001245686.1,NM_001258757.2
NP_727845.1,NM_167438.2
NP_001245682.1,NM_001258753.2
NP_524876.1,NM_080137.3
NP_524921.1,NM_080182.3
NP_727847.1,NM_167440.3
NP_573021.1,NM_132793.3
NP_727846.1,NM_167439.2
NP_001245690.1,NM_001258761.3
NP_001245691.1,NM_001258762.3
NP_727848.3,NM_167441.5
NP_001356908.1,NM_001370020.1
NP_001259571.2,NM_001272642.2
NP_573022.2,NM_132794.5
NP_001259572.1,NM_001272643.1
NP_573023.2,NM_132795.4
NP_727850.1,NM_167442.2
NP_001285268.1,NM_001298339.1
NP_511164.2,NM_078609.4
NP_001259573.1,NM_001272644.1
NP_573024.1,NM_132796.3
NP_573025.2,NM_132797.3
NP_788906.1,NM_176733.4
NP_001285270.1,NM_001298341.1
NP_001285269.1,NM_001298340.1
NP_788905.1,NM_176732.2
NP_001285271.1,NM_001298342.1
NP_727854.2,NM_167445.4
NP_573026.1,NM_132798.3
NP_001285272.1,NM_001298343.1
NP_573028.1,NM_132800.2
NP_573029.1,NM_132801.2
NP_573030.2,NM_132802.4
NP_573031.1,NM_132803.2
NP_573032.1,NM_132804.2
NP_001285273.1,NM_001298344.1
NP_573033.1,NM_132805.3
NP_001259574.1,NM_001272645.2
NP_727861.1,NM_167447.3
NP_573034.1,NM_132806.4
NP_727862.1,NM_167448.2
NP_001356946.1,NM_001370008.1
NP_788907.1,NM_176734.2
NP_001285274.1,NM_001298345.1
NP_788908.1,NM_176735.3
NP_001014745.1,NM_001014745.2
NP_001259575.1,NM_001272646.2
NP_477299.1,NM_057951.3
NP_727865.2,NM_167451.3
NP_573039.1,NM_132811.3
NP_001285275.1,NM_001298346.1
NP_788909.1,NM_176736.2
NP_001285276.1,NM_001298347.1
NP_788910.1,NM_176737.3
NP_001285277.1,NM_001298348.1
NP_727866.2,NM_167452.2
NP_001285278.1,NM_001298349.1
NP_727868.1,NM_167453.3
NP_573043.1,NM_132815.3
NP_573044.1,NM_132816.4
NP_573045.1,NM_132817.2
NP_001285279.1,NM_001298350.1
NP_573046.1,NM_132818.4
NP_996440.2,NM_206717.3
NP_001285280.1,NM_001298351.1
NP_573047.1,NM_132819.3
NP_001259578.1,NM_001272649.2
NP_001259576.1,NM_001272647.2
NP_476736.1,NM_057388.4
NP_573049.2,NM_132821.2
NP_573050.1,NM_132822.1
NP_001285281.1,NM_001298352.1
NP_573051.1,NM_132823.2
NP_001138199.1,NM_001144727.2
NP_727875.1,NM_167455.2
NP_573052.4,NM_132824.4
NP_573053.2,NM_132825.4
NP_001285282.1,NM_001298353.1
NP_573054.2,NM_132826.4
NP_001245694.1,NM_001258765.2
NP_573055.1,NM_132827.3
NP_727878.1,NM_167456.3
NP_001285283.1,NM_001298354.1
NP_573056.1,NM_132828.2
NP_573057.1,NM_132829.3
NP_727881.1,NM_167458.2
NP_001285284.1,NM_001298355.1
NP_001285285.1,NM_001298356.1
NP_001285287.1,NM_001298358.1
NP_573058.1,NM_132830.3
NP_001285286.1,NM_001298357.1
NP_001285290.1,NM_001298361.1
NP_001285292.1,NM_001298363.1
NP_001285291.1,NM_001298362.1
NP_001285288.1,NM_001298359.1
NP_001285293.1,NM_001298364.1
NP_573059.1,NM_132831.2
NP_001285289.1,NM_001298360.1
NP_573060.1,NM_132832.3
NP_573061.2,NM_132833.3
NP_001259579.1,NM_001272650.1
NP_573062.1,NM_132834.2
NP_511165.1,NM_078610.3
NP_573063.1,NM_132835.3
NP_001285294.1,NM_001298365.1
NP_573064.1,NM_132836.3
NP_573065.1,NM_132837.3
NP_573066.1,NM_132838.3
NP_001285295.1,NM_001298366.1
NP_573068.3,NM_132840.5
NP_996445.1,NM_206722.2
NP_573070.2,NM_132842.3
NP_001285296.1,NM_001298367.1
NP_996443.1,NM_206720.2
NP_996441.2,NM_206718.2
NP_996442.1,NM_206719.2
NP_996444.2,NM_206721.2
NP_573069.1,NM_132841.2
NP_996446.1,NM_206723.2
NP_511166.2,NM_078611.4
NP_001096987.2,NM_001103517.3
NP_573072.1,NM_132844.3
NP_788911.2,NM_176738.2
NP_788912.3,NM_176739.3
NP_001259580.1,NM_001272651.2
NP_573075.1,NM_132847.2
NP_525089.2,NM_080350.4
NP_727895.1,NM_167461.2
NP_001285297.1,NM_001298368.1
NP_511167.1,NM_078612.4
NP_996447.1,NM_206724.2
NP_511168.3,NM_078613.4
NP_996449.1,NM_206726.2
NP_996448.1,NM_206725.2
NP_727897.1,NM_167463.3
NP_573076.1,NM_132848.4
NP_727896.1,NM_167462.3
NP_001096988.2,NM_001103518.3
NP_727898.2,NM_167464.4
NP_001285298.1,NM_001298369.1
NP_573077.2,NM_132849.3
NP_001245695.1,NM_001258766.3
NP_573078.1,NM_132850.4
NP_001303566.1,NM_001316637.1
NP_001245696.1,NM_001258767.2
NP_001245701.1,NM_001258772.2
NP_001245702.1,NM_001258773.2
NP_001096989.1,NM_001103519.3
NP_001245697.1,NM_001258768.1
NP_001285299.1,NM_001298370.1
NP_001368984.1,NM_001382196.1
NP_001245699.1,NM_001258770.3
NP_001245700.1,NM_001258771.3
NP_511169.1,NM_078614.5
NP_001096990.1,NM_001103520.3
NP_001162761.1,NM_001169290.2
NP_001096992.1,NM_001103522.3
NP_727900.1,NM_167465.3
NP_001162762.1,NM_001169291.2
NP_001096991.1,NM_001103521.3
NP_001259583.1,NM_001272654.2
NP_001259582.1,NM_001272653.2
NP_001245698.1,NM_001258769.2
NP_001259581.1,NM_001272652.1
NP_996450.1,NM_206727.3
NP_573079.1,NM_132851.3
NP_001096994.1,NM_001103524.2
NP_001096993.1,NM_001103523.2
NP_477042.1,NM_057694.3
NP_001285300.1,NM_001298371.1
NP_996452.1,NM_206729.2
NP_996451.1,NM_206728.2
NP_727901.1,NM_167466.2
NP_573080.1,NM_132852.2
NP_573081.1,NM_132853.3
NP_001285303.1,NM_001298374.1
NP_573082.1,NM_132854.3
NP_001285302.1,NM_001298373.1
NP_524682.1,NM_079943.4
NP_727905.1,NM_167468.3
NP_001162763.1,NM_001169292.2
NP_573083.2,NM_132855.4
NP_996453.1,NM_206730.3
NP_573084.1,NM_132856.2
NP_996456.1,NM_206733.2
NP_996457.1,NM_206734.2
NP_511170.1,NM_078615.4
NP_996454.1,NM_206731.2
NP_001368985.1,NM_001382157.1
NP_001334682.1,NM_001347758.1
NP_996458.1,NM_206735.2
NP_996462.1,NM_206739.2
NP_996459.1,NM_206736.2
NP_996460.1,NM_206737.2
NP_996461.1,NM_206738.3
NP_525090.1,NM_080351.7
NP_001303567.1,NM_001316638.2
NP_542445.1,NM_080714.4
NP_001259584.1,NM_001272655.1
NP_001285304.1,NM_001298375.1
NP_996463.1,NM_206740.3
NP_001162764.1,NM_001169293.2
NP_001356947.1,NM_001369984.1
NP_573085.2,NM_132857.4
NP_996464.1,NM_206741.3
NP_001259585.1,NM_001272656.2
NP_001259586.1,NM_001272657.2
NP_001285305.1,NM_001298376.1
NP_573086.2,NM_132858.3
NP_001162765.1,NM_001169294.2
NP_573087.1,NM_132859.4
NP_001259587.1,NM_001272658.1
NP_573088.1,NM_132860.4
NP_996465.1,NM_206742.1
NP_996468.1,NM_206745.3
NP_001259588.1,NM_001272659.2
NP_001285306.1,NM_001298377.1
NP_001162766.1,NM_001169295.1
NP_727910.1,NM_167470.3
NP_996466.1,NM_206743.2
NP_001259589.1,NM_001272660.2
NP_001036279.1,NM_001042814.2
NP_001036278.1,NM_001042813.2
NP_001162768.1,NM_001169297.2
NP_727911.1,NM_167471.5
NP_996467.1,NM_206744.3
NP_001162767.1,NM_001169296.1
NP_524853.2,NM_080114.4
NP_523355.2,NM_078631.4
NP_727912.2,NM_167472.3
NP_727913.2,NM_167473.2
NP_001162769.1,NM_001169298.2
NP_727914.1,NM_167474.3
NP_001285307.1,NM_001298378.1
NP_573090.3,NM_132862.3
NP_001162770.1,NM_001169299.2
NP_996469.1,NM_206746.2
NP_001188595.1,NM_001201666.2
NP_001285308.1,NM_001298379.1
NP_788913.2,NM_176740.4
NP_001188596.1,NM_001201667.2
NP_001188594.1,NM_001201665.2
NP_001188597.1,NM_001201668.2
NP_996470.2,NM_206747.3
NP_523357.2,NM_078633.4
NP_001245703.1,NM_001258774.2
NP_001285309.1,NM_001298380.1
NP_573091.1,NM_132863.4
NP_001285310.1,NM_001298381.1
NP_573092.1,NM_132864.2
NP_001245705.1,NM_001258776.2
NP_001259591.1,NM_001272662.2
NP_001259590.1,NM_001272661.2
NP_523358.5,NM_078634.7
NP_001285311.1,NM_001298382.1
NP_001138200.1,NM_001144728.3
NP_001245704.1,NM_001258775.3
NP_996475.2,NM_206752.3
NP_523359.2,NM_078635.3
NP_001188599.1,NM_001201670.2
NP_001188598.1,NM_001201669.2
NP_001285312.1,NM_001298383.1
NP_996476.1,NM_206753.3
NP_573095.1,NM_132867.3
NP_573096.1,NM_132868.5
NP_001285313.1,NM_001298384.1
NP_573097.1,NM_132869.4
NP_727921.1,NM_167476.2
NP_996480.1,NM_206757.2
NP_996479.1,NM_206756.2
NP_727922.1,NM_167477.2
NP_996478.1,NM_206755.2
NP_573098.1,NM_132870.4
NP_996481.1,NM_206758.2
NP_996477.1,NM_206754.2
NP_001334683.1,NM_001347790.1
NP_523360.1,NM_078636.5
NP_001259592.1,NM_001272663.2
NP_727923.1,NM_167478.3
NP_001259593.1,NM_001272664.1
NP_573099.1,NM_132871.3
NP_001285314.1,NM_001298385.1
NP_523361.1,NM_078637.3
NP_727925.1,NM_167480.2
NP_996482.1,NM_206759.2
NP_727926.2,NM_167481.3
NP_001285315.1,NM_001298386.1
NP_573100.1,NM_132872.2
NP_727928.3,NM_167482.4
NP_573101.1,NM_132873.3
NP_573102.1,NM_132874.2
NP_727932.1,NM_167484.3
NP_573103.1,NM_132875.4
NP_727931.1,NM_167483.3
NP_001285316.1,NM_001298387.1
NP_001162771.1,NM_001169300.3
NP_001162772.1,NM_001169301.2
NP_573104.1,NM_132876.5
NP_996483.2,NM_206760.3
NP_573105.1,NM_132877.2
NP_001138201.1,NM_001144729.3
NP_001138202.1,NM_001144730.3
NP_727937.1,NM_167486.3
NP_001259597.1,NM_001272668.2
NP_001259595.1,NM_001272666.1
NP_001259596.1,NM_001272667.1
NP_727936.2,NM_167485.4
NP_573106.2,NM_132878.4
NP_001259599.1,NM_001272670.2
NP_001259598.1,NM_001272669.1
NP_727938.1,NM_167487.3
NP_001259600.1,NM_001272671.1
NP_523362.2,NM_078638.4
NP_001033847.1,NM_001038758.2
NP_573108.2,NM_132880.3
NP_523363.2,NM_078639.3
NP_001285317.1,NM_001298388.1
NP_727940.1,NM_167488.2
NP_573109.1,NM_132881.3
NP_001285318.1,NM_001298389.1
NP_525092.1,NM_080353.5
NP_001245706.1,NM_001258777.1
NP_001285319.1,NM_001298390.1
NP_727941.2,NM_167489.2
NP_001245707.1,NM_001258778.2
NP_727942.1,NM_167490.3
NP_788914.2,NM_176741.3
NP_523364.2,NM_078640.4
NP_727943.1,NM_167491.2
NP_001014746.1,NM_001014746.3
NP_727945.1,NM_167492.4
NP_573110.1,NM_132882.3
NP_523365.2,NM_078641.4
NP_001259602.1,NM_001272673.1
NP_727946.2,NM_167493.2
NP_001259601.1,NM_001272672.1
NP_727948.1,NM_167495.3
NP_727947.1,NM_167494.3
NP_573111.1,NM_132883.4
NP_727949.1,NM_167496.3
NP_727950.3,NM_167497.3
NP_727952.3,NM_167499.3
NP_001096999.1,NM_001103529.3
NP_001096998.1,NM_001103528.3
NP_001096996.1,NM_001103526.3
NP_001096997.1,NM_001103527.2
NP_001259603.1,NM_001272674.1
NP_573113.1,NM_132885.4
NP_001285320.1,NM_001298391.1
NP_573114.2,NM_132886.3
NP_001259604.1,NM_001272675.1
NP_001097000.1,NM_001103530.2
NP_573116.2,NM_132888.2
NP_523366.2,NM_078642.4
NP_001259605.1,NM_001272676.1
NP_573117.2,NM_132889.3
NP_001259607.1,NM_001272678.1
NP_001259606.1,NM_001272677.2
NP_727957.1,NM_167501.2
NP_573118.2,NM_132890.3
NP_001285321.1,NM_001298392.1
NP_573119.1,NM_132891.2
NP_001259609.1,NM_001272680.2
NP_001259608.1,NM_001272679.2
NP_996485.1,NM_206762.3
NP_542446.2,NM_080715.4
NP_727960.1,NM_167503.3
NP_727961.1,NM_167504.2
NP_001285322.1,NM_001298393.1
NP_727959.2,NM_167502.3
NP_001138203.1,NM_001144731.3
NP_476726.2,NM_057378.3
NP_476891.1,NM_057543.4
NP_001245710.1,NM_001258781.2
NP_001245709.1,NM_001258780.1
NP_001245708.1,NM_001258779.1
NP_001285323.1,NM_001298394.1
NP_652730.4,NM_144473.5
NP_727962.1,NM_167505.2
NP_001285324.1,NM_001298395.1
NP_001014747.1,NM_001014747.2
NP_523367.2,NM_078643.3
NP_996486.1,NM_206763.2
NP_727967.1,NM_167510.3
NP_727963.1,NM_167506.3
NP_001162773.1,NM_001169302.2
NP_523368.2,NM_078644.4
NP_001162774.1,NM_001169303.2
NP_727964.1,NM_167507.3
NP_727965.1,NM_167508.2
NP_727966.1,NM_167509.3
NP_727971.1,NM_167514.2
NP_727968.1,NM_167511.2
NP_573121.1,NM_132893.3
NP_727970.1,NM_167513.2
NP_727969.1,NM_167512.2
NP_727972.1,NM_167515.2
NP_573122.1,NM_132894.3
NP_727973.1,NM_167516.2
NP_001285325.1,NM_001298396.1
NP_573123.1,NM_132895.3
NP_001285326.1,NM_001298397.1
NP_523369.2,NM_078645.3
NP_001259611.1,NM_001272682.2
NP_001259610.1,NM_001272681.1
NP_573124.1,NM_132896.2
NP_001245712.1,NM_001258783.2
NP_001245711.1,NM_001258782.2
NP_573125.1,NM_132897.3
NP_573126.1,NM_132898.4
NP_727976.1,NM_167517.3
NP_001245714.1,NM_001258785.2
NP_001259612.1,NM_001272683.1
NP_001259613.1,NM_001272684.1
NP_001245713.1,NM_001258784.2
NP_727977.1,NM_167518.3
NP_001259615.1,NM_001272686.1
NP_001259618.1,NM_001272689.1
NP_001259616.1,NM_001272687.1
NP_001259617.1,NM_001272688.1
NP_001259614.1,NM_001272685.1
NP_523370.1,NM_078646.3
NP_727978.1,NM_167519.2
NP_001138204.1,NM_001144732.2
NP_727979.3,NM_167520.3
NP_727980.2,NM_167521.3
NP_001285327.1,NM_001298398.2
NP_573128.2,NM_132900.3
NP_573129.1,NM_132901.3
NP_001285328.1,NM_001298399.1
NP_001285329.1,NM_001298400.1
NP_573130.1,NM_132902.4
NP_001033848.1,NM_001038759.2
NP_524959.1,NM_080220.5
NP_727982.1,NM_167522.5
NP_001285330.1,NM_001298401.1
NP_996487.1,NM_206764.3
NP_001285331.1,NM_001298402.1
NP_001285332.1,NM_001298403.1
NP_001188632.1,NM_001201703.3
NP_001188624.1,NM_001201695.2
NP_001285333.1,NM_001298404.1
NP_001188639.1,NM_001201710.1
NP_001188643.1,NM_001201714.1
NP_001188642.1,NM_001201713.1
NP_001188641.1,NM_001201712.1
NP_001188640.1,NM_001201711.1
NP_001188650.1,NM_001201721.1
NP_001188644.1,NM_001201715.1
NP_001188634.1,NM_001201705.1
NP_001188630.1,NM_001201701.1
NP_001188625.1,NM_001201696.1
NP_001188633.1,NM_001201704.1
NP_001188647.1,NM_001201718.1
NP_001188628.1,NM_001201699.1
NP_001188652.1,NM_001201723.1
NP_001188645.1,NM_001201716.1
NP_001138205.1,NM_001144733.2
NP_001188651.1,NM_001201722.1
NP_001188603.1,NM_001201674.1
NP_001188649.1,NM_001201720.1
NP_001188629.1,NM_001201700.1
NP_001188631.1,NM_001201702.1
NP_001188646.1,NM_001201717.1
NP_001188627.1,NM_001201698.1
NP_001188648.1,NM_001201719.1
NP_001188612.1,NM_001201683.1
NP_001188606.1,NM_001201677.1
NP_001188623.1,NM_001201694.1
NP_001188621.1,NM_001201692.1
NP_001188622.1,NM_001201693.1
NP_001188604.1,NM_001201675.1
NP_001188638.1,NM_001201709.1
NP_001188610.1,NM_001201681.1
NP_001188618.1,NM_001201689.1
NP_001188613.1,NM_001201684.1
NP_001188602.1,NM_001201673.1
NP_001188617.1,NM_001201688.1
NP_001188637.1,NM_001201708.1
NP_001188609.1,NM_001201680.1
NP_001188607.1,NM_001201678.1
NP_001188614.1,NM_001201685.1
NP_001188608.1,NM_001201679.1
NP_001188615.1,NM_001201686.1
NP_001188636.1,NM_001201707.1
NP_001188605.1,NM_001201676.1
NP_001188619.1,NM_001201690.1
NP_001188620.1,NM_001201691.1
NP_001188600.1,NM_001201671.1
NP_001188626.1,NM_001201697.1
NP_001188616.1,NM_001201687.1
NP_001188635.1,NM_001201706.1
NP_001188611.1,NM_001201682.1
NP_523371.2,NM_078647.4
NP_001259619.1,NM_001272690.1
NP_001036280.1,NM_001042815.2
NP_001188601.1,NM_001201672.1
NP_001036281.1,NM_001042816.2
NP_573131.1,NM_132903.3
NP_573132.1,NM_132904.2
NP_001259620.1,NM_001272691.2
NP_573133.2,NM_132905.3
NP_001097001.1,NM_001103531.2
NP_523372.2,NM_078648.4
NP_001259621.1,NM_001272692.1
NP_001245715.1,NM_001258786.3
NP_001245716.1,NM_001258787.2
NP_523373.2,NM_078649.4
NP_001245717.1,NM_001258788.2
NP_727986.2,NM_167524.3
NP_001259622.1,NM_001272693.2
NP_727985.2,NM_167523.3
NP_573134.1,NM_132906.3
NP_523374.2,NM_078650.3
NP_001285334.1,NM_001298405.1
NP_524684.2,NM_079945.4
NP_573135.1,NM_132907.3
NP_001259624.1,NM_001272695.2
NP_001259623.1,NM_001272694.2
NP_001138206.1,NM_001144734.2
NP_001097002.1,NM_001103532.3
NP_573136.3,NM_132908.5
NP_523375.2,NM_078651.4
NP_573137.1,NM_132909.3
NP_001285336.1,NM_001298407.1
NP_001285335.1,NM_001298406.1
NP_536796.2,NM_080535.3
NP_001285337.1,NM_001298408.1
NP_573138.1,NM_132910.3
NP_001285338.1,NM_001298409.1
NP_727993.1,NM_167527.3
NP_727992.1,NM_167526.3
NP_523376.1,NM_078652.4
NP_001285339.1,NM_001298410.1
NP_573139.1,NM_132911.3
NP_001138209.1,NM_001144737.2
NP_001285340.1,NM_001298411.1
NP_573140.1,NM_132912.2
NP_727997.1,NM_167529.2
NP_001162775.1,NM_001169304.1
NP_001162776.1,NM_001169305.1
NP_001285341.1,NM_001298412.1
NP_573142.1,NM_132914.4
NP_523377.1,NM_078653.2
NP_996488.2,NM_206765.3
NP_001285343.1,NM_001298414.1
NP_573143.1,NM_132915.2
NP_001259627.1,NM_001272698.1
NP_001259625.1,NM_001272696.1
NP_573144.2,NM_132916.4
NP_001259626.1,NM_001272697.1
NP_573145.1,NM_132917.2
NP_573146.1,NM_132918.2
NP_476777.1,NM_057429.3
NP_728003.1,NM_167530.2
NP_728004.1,NM_167531.2
NP_728007.1,NM_167534.2
NP_573147.2,NM_132919.3
NP_728006.1,NM_167533.2
NP_728005.1,NM_167532.2
NP_996489.1,NM_206766.2
NP_001138210.1,NM_001144738.2
NP_001138211.1,NM_001144739.2
NP_001285344.1,NM_001298415.1
NP_001033850.2,NM_001038761.2
NP_001245718.1,NM_001258789.2
NP_001285345.1,NM_001298416.1
NP_728012.2,NM_167536.4
NP_573152.2,NM_132924.4
NP_728008.1,NM_167535.2
NP_573148.2,NM_132920.3
NP_001285346.1,NM_001298417.1
NP_573149.1,NM_132921.3
NP_573150.2,NM_132922.3
NP_573151.1,NM_132923.3
NP_573154.1,NM_132926.2
NP_001285348.1,NM_001298419.1
NP_001097003.1,NM_001103533.2
NP_001285347.1,NM_001298418.1
NP_728015.1,NM_167538.2
NP_001285349.1,NM_001298420.1
NP_573160.1,NM_132932.3
NP_001285350.1,NM_001298421.1
NP_728016.1,NM_167539.2
NP_728017.1,NM_167540.4
NP_728018.2,NM_167541.3
NP_001285351.1,NM_001298422.1
NP_728019.3,NM_167542.3
NP_728020.1,NM_167543.3
NP_728021.2,NM_167544.2
NP_523378.2,NM_078654.2
NP_001162777.1,NM_001169306.2
NP_001162778.1,NM_001169307.1
NP_523379.2,NM_078655.4
NP_573161.1,NM_132933.3
NP_001285352.1,NM_001298423.1
NP_573162.1,NM_132934.4
NP_001285353.1,NM_001298424.1
NP_573163.1,NM_132935.3
NP_001303562.1,NM_001316633.1
NP_001245719.1,NM_001258790.2
NP_573164.2,NM_132936.4
NP_996491.1,NM_206768.3
NP_996490.1,NM_206767.3
NP_001245720.1,NM_001258791.1
NP_573166.1,NM_132938.4
NP_996492.1,NM_206769.3
NP_573168.1,NM_132940.4
NP_573169.2,NM_132941.3
NP_728030.2,NM_167550.2
NP_001097005.1,NM_001103535.2
NP_001259628.1,NM_001272699.1
NP_728029.1,NM_167549.2
NP_001097004.1,NM_001103534.2
NP_573170.2,NM_132942.3
NP_001097006.1,NM_001103536.3
NP_001245721.1,NM_001258792.2
NP_573171.1,NM_132943.3
NP_001188653.1,NM_001201724.1
NP_001334684.1,NM_001347784.1
NP_001245722.1,NM_001258793.3
NP_523380.2,NM_078656.4
NP_001162779.1,NM_001169308.3
NP_001259629.1,NM_001272700.2
NP_573172.2,NM_132944.3
NP_573173.2,NM_132945.3
NP_573174.1,NM_132946.3
NP_573175.2,NM_132947.5
NP_996493.1,NM_206770.2
NP_001259630.1,NM_001272701.1
NP_573176.1,NM_132948.4
NP_573177.1,NM_132949.2
NP_001259631.1,NM_001272702.1
NP_573178.1,NM_132950.1
NP_996494.1,NM_206771.2
NP_728035.1,NM_167552.2
NP_573179.1,NM_132951.3
NP_001285354.1,NM_001298425.1
NP_001285355.1,NM_001298426.1
NP_573180.1,NM_132952.3
NP_573181.1,NM_132953.3
NP_573183.2,NM_132955.4
NP_001036282.1,NM_001042817.3
NP_573182.1,NM_132954.2
NP_001285356.1,NM_001298427.1
NP_001245723.1,NM_001258794.2
NP_573184.1,NM_132956.3
NP_001285358.1,NM_001298429.1
NP_001285357.1,NM_001298428.1
NP_001259632.1,NM_001272703.1
NP_573185.3,NM_132957.3
NP_001138212.1,NM_001144740.2
NP_728041.3,NM_167553.2
NP_001259633.1,NM_001272704.1
NP_001138213.1,NM_001144741.1
NP_001259634.1,NM_001272705.1
NP_001245724.1,NM_001258795.1
NP_001245725.1,NM_001258796.2
NP_573187.2,NM_132959.3
NP_001259637.1,NM_001272708.1
NP_001097008.2,NM_001103538.4
NP_001259635.1,NM_001272706.2
NP_001259636.1,NM_001272707.1
NP_573188.1,NM_132960.3
NP_728044.2,NM_167554.2
NP_573190.1,NM_132962.2
NP_573189.1,NM_132961.3
NP_001138214.2,NM_001144742.2
NP_728048.1,NM_167555.3
NP_001259639.1,NM_001272710.2
NP_001259638.1,NM_001272709.2
NP_573192.1,NM_132964.3
NP_573191.1,NM_132963.2
NP_573193.1,NM_132965.2
NP_001259640.1,NM_001272711.1
NP_001097009.1,NM_001103539.2
NP_573195.1,NM_132967.3
NP_001188655.1,NM_001201726.1
NP_001188654.1,NM_001201725.2
NP_001303563.1,NM_001316634.1
NP_001188656.1,NM_001201727.1
NP_001285359.1,NM_001298430.1
NP_001138215.1,NM_001144743.2
NP_001027068.1,NM_001031897.3
NP_001188657.1,NM_001201728.1
NP_728052.2,NM_167557.3
NP_001027069.3,NM_001031898.3
NP_523382.1,NM_078658.3
NP_001285360.1,NM_001298431.1
NP_001285361.1,NM_001298432.1
NP_001285362.1,NM_001298433.1
NP_573196.1,NM_132968.2
NP_001285363.1,NM_001298434.1
NP_001356948.1,NM_001370033.1
NP_524773.2,NM_080034.3
NP_728054.1,NM_167558.2
NP_001334669.1,NM_001347807.1
NP_001036283.1,NM_001042818.4
NP_001285365.1,NM_001298436.2
NP_001285364.1,NM_001298435.2
NP_573197.2,NM_132969.3
NP_573198.1,NM_132970.3
NP_728056.1,NM_167559.3
NP_728057.1,NM_167560.2
NP_001285366.1,NM_001298437.1
NP_728059.1,NM_167561.2
NP_573201.1,NM_132973.3
NP_001285367.1,NM_001298438.1
NP_573202.1,NM_132974.2
NP_001285368.1,NM_001298439.1
NP_573203.2,NM_132975.3
NP_573204.2,NM_132976.3
NP_996495.2,NM_206772.3
NP_001097010.1,NM_001103540.2
NP_728065.2,NM_167562.2
NP_573206.1,NM_132978.4
NP_001138216.1,NM_001144744.2
NP_001188658.1,NM_001201729.1
NP_523384.3,NM_078660.2
NP_001036284.1,NM_001042819.3
NP_001188660.1,NM_001201731.2
NP_788918.1,NM_176745.1
NP_001188659.1,NM_001201730.1
NP_788919.1,NM_176746.1
NP_728070.1,NM_167563.2
NP_788920.2,NM_176747.1
NP_001285369.1,NM_001298440.1
NP_573208.1,NM_132980.3
NP_001188661.1,NM_001201732.2
NP_573209.1,NM_132981.3
NP_001285370.1,NM_001298441.1
NP_573211.1,NM_132983.3
NP_001285371.1,NM_001298442.1
NP_788921.1,NM_176748.2
NP_573213.1,NM_132985.4
NP_728077.1,NM_167568.3
NP_728076.1,NM_167567.2
NP_573212.1,NM_132984.2
NP_523385.1,NM_078661.4
NP_728073.1,NM_167564.2
NP_728074.1,NM_167565.2
NP_001259641.1,NM_001272712.1
NP_523386.1,NM_078662.3
NP_001259642.1,NM_001272713.1
NP_523387.1,NM_078663.3
NP_788922.1,NM_176749.2
NP_573214.1,NM_132986.5
NP_001285372.1,NM_001298443.1
NP_652488.1,NM_144231.2
NP_001368986.1,NM_001382168.1
NP_573215.1,NM_132987.2
NP_788923.1,NM_176750.2
NP_573216.1,NM_132988.3
NP_573217.1,NM_132989.3
NP_001259644.1,NM_001272715.2
