NCBI GeneID,Protein Accession,Protein_length
36978,NP_001261052.1,1674
36978,NP_001261053.1,1680
36978,NP_001261054.1,1538
36978,NP_001261055.1,1504
36978,NP_001261056.1,1439
36978,NP_788398.1,1517
36978,NP_995875.1,1630
36978,NP_995876.1,1540
36999,NP_001261061.1,1061
36999,NP_523779.1,1061
37100,NP_611319.1,45
37517,NP_001246454.1,1218
37517,NP_569729.1,1218
37517,NP_726155.1,1218
3771890,NP_001027571.3,2176
3771890,NP_001259924.2,2176
37785,NP_523833.1,601
38248,NP_476610.2,1122
38248,NP_728686.2,1083
38622,NP_647968.3,542
38669,NP_523943.1,547
38669,NP_729118.1,547
38669,NP_729119.1,547
38766,NP_523950.2,676
38884,NP_648164.1,525
38895,NP_001036594.1,1360
38895,NP_001097541.1,1637
38895,NP_001097544.1,1562
38895,NP_001097545.1,1386
38895,NP_001246662.1,1730
38895,NP_001246663.1,1059
38895,NP_001261556.1,1704
38895,NP_001369041.1,1178
38895,NP_729327.1,1052
38982,NP_648241.1,280
39004,NP_001163387.2,2528
39004,NP_001189071.1,1387
39004,NP_001189072.1,1509
39004,NP_001246682.1,1205
39004,NP_001246683.1,1152
39004,NP_001246684.1,1744
39004,NP_001261599.1,2528
39004,NP_729410.1,1393
39004,NP_729411.1,1294
39014,NP_523984.1,720
39038,NP_648282.1,469
39064,NP_648299.3,369
39071,NP_523994.1,199
39157,NP_536735.2,454
39266,NP_648452.1,973
39368,NP_001261736.1,1669
39368,NP_001261737.1,1799
39368,NP_001261738.1,1568
39368,NP_001261739.1,1798
39368,NP_648542.1,1569
39368,NP_729778.1,1900
39368,NP_729779.1,1569
39368,NP_729780.1,1670
39368,NP_729781.1,1670
39615,NP_648726.1,240
40034,NP_524142.2,492
40081,NP_001262031.1,497
40081,NP_001262032.1,411
40081,NP_649087.1,411
40081,NP_730385.1,241
40092,NP_001262040.1,481
40092,NP_001287113.1,481
40092,NP_524156.1,481
40148,NP_523720.2,346
40348,NP_001014599.2,670
40348,NP_524196.2,524
40348,NP_730611.1,670
40367,NP_649311.1,275
40382,NP_001262163.1,1107
40382,NP_788563.1,1103
40633,NP_001287171.1,478
40633,NP_649525.1,325
40633,NP_730906.1,478
40633,NP_730908.1,278
40861,NP_001262336.1,1348
40861,NP_001262337.1,1693
40861,NP_476611.1,1348
40861,NP_731141.1,1693
40863,NP_001138019.2,758
40863,NP_001163538.1,788
40863,NP_001246958.1,572
40863,NP_001246959.1,685
40863,NP_001246960.1,673
40863,NP_001262338.1,704
40863,NP_001262339.1,776
40863,NP_001262340.1,678
40863,NP_524252.2,468
41339,NP_001097745.1,449
41339,NP_001097746.1,642
41339,NP_001097747.1,446
41339,NP_001262471.1,419
41339,NP_731539.2,481
41339,NP_731540.2,441
41432,NP_001262488.1,149
41432,NP_001303486.1,149
41432,NP_477217.1,149
41432,NP_731641.1,149
41531,NP_524328.1,234
41850,NP_001262588.1,429
41850,NP_650442.1,424
42126,NP_001262677.1,672
42126,NP_650644.1,630
42358,NP_001097839.1,1074
42366,NP_477089.3,1363
42366,NP_996240.1,1196
42696,NP_651093.1,237
42934,NP_001287506.1,541
42934,NP_651274.1,541
42934,NP_733020.1,541
42986,NP_001163716.1,1046
42986,NP_001163717.1,1045
42986,NP_524492.2,1192
42986,NP_733063.1,1193
42993,NP_524493.1,723
43087,NP_001247303.1,634
43087,NP_001247304.1,605
43087,NP_001262959.1,618
43087,NP_001262960.1,634
43087,NP_001262961.1,567
43087,NP_524577.1,606
43087,NP_733108.2,634
43190,NP_001287543.1,384
43190,NP_524516.2,384
43232,NP_651510.1,184
43551,NP_001163772.1,517
43551,NP_001263092.1,564
43551,NP_524556.2,519
43572,NP_524581.1,433
43709,NP_001263141.1,1589
43709,NP_001263142.1,1591
43709,NP_477230.1,1589
43758,NP_001163785.1,1191
43758,NP_001163786.1,1866
43758,NP_001247394.1,1856
43758,NP_001247395.1,1200
43758,NP_001247396.1,1853
43758,NP_001247397.2,1297
43758,NP_001287629.1,1825
43758,NP_651902.2,1855
43765,NP_001263154.1,1109
43765,NP_524615.1,1163
43765,NP_733465.1,1185
43775,NP_001245411.1,263
43775,NP_001245412.1,184
43775,NP_001284710.1,84
43775,NP_001284711.1,64
43775,NP_651908.1,271
43775,NP_726549.1,271
43775,NP_726550.1,253
43791,NP_651922.1,1469
44258,NP_001036691.1,519
44258,NP_001036692.1,572
44258,NP_001036695.1,550
44258,NP_001036697.1,539
44258,NP_001189199.1,572
44258,NP_001189200.1,758
44258,NP_001189201.1,550
44258,NP_001189202.1,550
44258,NP_001189203.1,572
44258,NP_001262414.1,517
44258,NP_001262415.1,780
44258,NP_001287252.1,594
44258,NP_001287253.1,616
44258,NP_731351.3,572
44258,NP_731352.3,572
44258,NP_731354.1,475
44258,NP_731355.1,583
44258,NP_731356.1,561
44531,NP_001036261.3,3719
44531,NP_001138157.2,3400
44531,NP_001138158.2,3466
44531,NP_001138159.2,3203
44531,NP_001284878.1,3446
44531,NP_001284879.1,3785
44531,NP_726978.2,3239
44747,NP_524780.1,1049
44786,NP_524783.1,469
44855,NP_001261084.1,661
44855,NP_001261085.1,680
44855,NP_536795.1,661
44870,NP_001286548.1,628
44870,NP_611260.1,628
45269,NP_652014.1,282
45269,NP_724974.1,282
45432,NP_524827.1,942
45973,NP_569901.1,2118
46068,NP_001014507.1,707
46068,NP_001014508.1,715
46068,NP_001014509.1,707
46068,NP_001014510.1,707
46068,NP_001014511.1,715
46068,NP_001014512.1,717
46068,NP_001260810.1,728
46068,NP_652034.2,715
46068,NP_724695.1,715
46068,NP_724696.1,707
53561,NP_001260380.1,2134
53561,NP_001260381.1,2186
53561,NP_001260382.1,2132
53561,NP_524993.3,2189
117464,NP_001285920.1,156
117464,NP_652734.2,156
19893539,YP_009047270.1,224
19893558,YP_009047278.1,312
246648,NP_001286304.1,521
246648,NP_610635.4,521
2768720,NP_995812.1,521
31106,NP_001284785.1,270
31106,NP_476750.1,270
31106,NP_726744.1,270
31106,NP_726745.3,270
31268,NP_477105.2,982
31268,NP_726829.1,982
31342,NP_570080.1,350
31358,NP_476901.1,325
31381,NP_001162664.2,1160
31381,NP_001259239.1,1160
31381,NP_525071.2,1160
31647,NP_001259302.1,415
31647,NP_788873.1,415
31767,NP_001285015.1,795
31767,NP_525079.3,795
318011,NP_729161.1,417
318206,NP_001096873.1,1463
318206,NP_001138152.1,1266
318206,NP_001138153.1,1489
318206,NP_001138154.1,1266
318206,NP_001138155.1,1242
318206,NP_001162655.1,1266
318206,NP_001259220.1,1265
318206,NP_001259221.1,1011
318206,NP_001259222.1,1242
318206,NP_001284843.1,1242
318206,NP_001368971.1,1276
318206,NP_001401053.1,1412
318206,NP_570073.3,1254
318206,NP_996343.5,1255
318841,NP_001260224.1,266
318841,NP_723338.1,265
318841,NP_723339.1,265
318841,NP_723340.1,265
318841,NP_723341.1,265
318841,NP_723342.1,265
318841,NP_723343.1,265
318841,NP_723344.1,265
318841,NP_723345.1,265
318841,NP_723346.2,648
32130,NP_511130.2,699
32351,NP_001188586.1,718
32351,NP_001188587.1,723
32351,NP_001285232.1,718
32351,NP_572930.3,728
32367,NP_511151.2,1937
32367,NP_996433.1,1984
32480,NP_573032.1,724
326115,NP_001138124.2,612
326115,NP_733311.2,419
326115,NP_733312.2,445
326115,NP_733313.2,604
326160,NP_001188836.1,415
326160,NP_724087.1,513
326237,NP_001284937.1,534
326237,NP_727078.1,534
32624,NP_001245715.1,570
32624,NP_001245716.1,570
32624,NP_523373.2,570
32777,NP_001285396.1,442
32777,NP_573258.1,442
32820,NP_523400.1,964
32858,NP_523403.2,538
32858,NP_728191.1,538
32977,NP_001285457.1,547
32977,NP_608344.1,547
33139,NP_001259779.1,911
33139,NP_523437.2,911
33172,NP_001162839.1,399
33172,NP_476570.1,399
33172,NP_722606.1,399
33194,NP_608511.1,539
33212,NP_477329.1,700
33324,NP_001259867.1,245
33324,NP_001285560.1,224
33324,NP_787960.1,224
3346202,NP_001246496.1,72
3355164,NP_001036316.1,850
3355164,NP_001036317.1,850
3355164,NP_001285537.1,850
3355164,NP_001285538.1,850
3355181,NP_001015505.5,4459
33602,NP_001245861.1,744
33602,NP_001245862.1,744
33602,NP_001245863.1,744
33602,NP_476883.1,744
33602,NP_722939.1,744
33602,NP_722940.1,744
33602,NP_722941.1,744
33621,NP_001285599.1,629
33621,NP_477102.1,629
33654,NP_001188689.2,149
33654,NP_001285601.1,149
33654,NP_476963.1,149
33705,NP_001036332.1,313
33705,NP_608880.2,319
33819,NP_608968.2,3489
33944,NP_001036341.2,531
33944,NP_001260150.1,394
33944,NP_001260151.1,400
33944,NP_001260152.1,397
33944,NP_477396.1,394
33944,NP_723207.1,397
34032,NP_001014478.1,850
34032,NP_001014479.1,876
34032,NP_001097114.2,959
34032,NP_001260208.1,933
34032,NP_652556.2,933
34060,NP_476779.1,352
34102,NP_476939.1,224
34170,NP_001285751.1,753
34170,NP_001285752.1,372
34170,NP_001285753.1,837
34170,NP_477459.1,372
34170,NP_477460.1,753
34170,NP_723395.1,372
34170,NP_787998.1,837
34481,NP_609446.1,845
34652,NP_001033901.1,155
34652,NP_001246003.1,155
34652,NP_001246004.2,234
34652,NP_001260412.1,423
34652,NP_723746.1,431
34652,NP_723747.1,431
34652,NP_995688.1,234
34826,NP_001246027.1,808
34826,NP_001356885.1,837
34826,NP_995707.2,808
34826,NP_995708.1,808
34883,NP_001260457.1,313
34883,NP_476967.1,313
34967,NP_001260495.1,144
34967,NP_477068.1,144
34967,NP_723959.1,144
34997,NP_001260510.1,468
34997,NP_523585.2,468
34997,NP_723992.1,542
34997,NP_723993.1,441
35188,NP_476592.1,510
35188,NP_724162.1,510
35266,NP_477350.2,429
35266,NP_995728.2,429
35293,NP_476817.1,1121
35418,NP_001027388.1,183
35418,NP_523614.1,183
35418,NP_724350.1,183
35422,NP_525105.2,844
35422,NP_724357.2,844
35422,NP_724358.2,844
35445,NP_001014498.1,566
35445,NP_610137.1,561
35644,NP_523647.2,376
35694,NP_001163073.2,644
35694,NP_001163074.1,637
35694,NP_724580.1,644
35788,NP_476902.1,224
35788,NP_724648.1,224
35790,NP_001097228.1,1035
35790,NP_001188874.1,1034
35790,NP_001188875.1,1088
35790,NP_001188876.1,1045
35790,NP_001188878.1,1016
35790,NP_001188879.1,1043
35790,NP_001188881.1,962
35790,NP_001188882.1,1035
35790,NP_001188883.1,992
35790,NP_001188884.1,1089
35790,NP_610359.2,1089
35878,NP_001286216.1,419
35878,NP_610415.1,420
36017,NP_477319.1,257
36071,NP_001137631.1,683
36071,NP_001137632.1,774
36071,NP_001260848.1,805
36071,NP_001260849.1,823
36071,NP_001260850.1,839
36071,NP_001260851.1,827
36071,NP_001260852.1,781
36071,NP_788299.3,808
36071,NP_788300.3,993
36283,NP_001286325.1,1019
36283,NP_523705.2,1033
36527,NP_001246305.1,412
36527,NP_001246306.1,412
36527,NP_523732.2,536
36527,NP_725327.1,412
36543,NP_610916.1,217
36638,NP_001246325.1,422
36638,NP_477474.1,422
36638,NP_725412.2,439
36694,NP_001036548.1,1131
36694,NP_001036549.1,1921
36694,NP_001036550.2,1996
36694,NP_001097320.1,2023
36694,NP_001137672.2,1939
36694,NP_001137673.1,1928
36694,NP_001286446.1,1968
36694,NP_001286447.1,1953
36694,NP_001286448.1,1856
36694,NP_001401006.1,1937
36694,NP_001401007.1,2056
36697,NP_001246336.1,330
36697,NP_476861.1,1293
36697,NP_725451.1,1294
36809,NP_477184.1,610
36809,NP_725552.1,605
36855,NP_523764.1,113
36952,NP_001286524.1,1557
36952,NP_725671.1,1557
37149,NP_523786.2,177
37187,NP_725841.1,346
37254,NP_001027439.2,480
37254,NP_001027440.1,475
37254,NP_001036561.1,260
37254,NP_001246423.1,535
37254,NP_001246424.1,464
37254,NP_001246425.1,492
37254,NP_001246426.1,497
37254,NP_001246427.1,494
37254,NP_001246428.1,552
37254,NP_001246429.1,515
37254,NP_001246430.1,540
37254,NP_001246431.1,260
37254,NP_001246432.1,260
37254,NP_001246433.1,491
37254,NP_001246434.1,508
37254,NP_001261093.1,509
37254,NP_001261094.1,301
37254,NP_476731.1,475
37254,NP_725913.2,434
37254,NP_725914.1,404
37254,NP_725915.2,420
37269,NP_523796.2,419
37468,NP_001286686.1,197
37468,NP_611598.1,197
3772232,NP_001027179.1,157
3772232,NP_001027180.1,130
3772232,NP_001027181.1,117
37769,NP_001286783.1,48
37769,NP_611833.1,133
37893,NP_001014549.1,1342
37893,NP_001137752.1,1635
37893,NP_611908.2,1300
37893,NP_726441.1,1703
37893,NP_995935.1,1703
37893,NP_995936.2,1365
37894,NP_001261167.1,358
37894,NP_001261168.1,338
37894,NP_523845.2,338
37929,NP_001163295.1,462
37929,NP_001286849.1,462
37929,NP_611938.2,156
37929,NP_726461.1,462
37961,NP_001246502.1,792
37961,NP_611965.2,1253
37961,NP_726481.1,1106
37961,NP_726482.1,1232
38232,NP_477006.1,389
38340,NP_523892.1,115
38469,NP_001261390.1,653
38469,NP_523911.2,653
38541,NP_001261414.1,346
38541,NP_523926.1,301
38605,NP_001163350.1,379
38605,NP_001246636.1,590
38605,NP_001261438.1,379
38605,NP_001261439.1,371
38605,NP_729054.3,578
38605,NP_729055.1,499
38605,NP_729056.1,499
38605,NP_729057.3,377
38726,NP_476831.1,1302
38798,NP_001261503.1,900
38798,NP_648093.2,900
38976,NP_001261584.1,706
38976,NP_001261585.1,706
38976,NP_001286985.1,706
38976,NP_523974.3,706
39020,NP_523986.2,490
39036,NP_648280.1,424
39048,NP_001163393.2,2379
39048,NP_648288.2,2792
39048,NP_729451.1,1450
39048,NP_729452.1,563
39076,NP_523998.1,445
39089,NP_001097560.1,1006
39089,NP_001097561.1,570
39089,NP_001097562.1,570
39089,NP_001287002.1,822
39089,NP_001287003.1,570
39089,NP_648311.2,791
39089,NP_729491.1,570
39377,NP_001246730.1,340
39377,NP_524033.2,352
39866,NP_001163455.2,2360
39866,NP_001246800.1,2047
39866,NP_001246801.1,2200
39866,NP_001246802.1,2071
39866,NP_001261967.1,2336
39866,NP_001261968.1,2146
39866,NP_001261969.1,2149
39866,NP_524119.2,2224
40030,NP_001287106.1,496
40030,NP_001401041.1,703
40030,NP_524140.2,496
40152,NP_649145.1,652
40233,NP_524180.1,292
40248,NP_524182.3,990
40378,NP_001189151.1,601
40378,NP_001189152.1,601
40378,NP_524203.2,599
40378,NP_730636.1,601
40378,NP_730637.1,601
40378,NP_996137.1,601
40436,NP_001036619.1,539
40436,NP_001163493.1,557
40436,NP_001246873.1,557
40436,NP_001246874.1,539
40436,NP_001246875.1,573
40436,NP_001246876.1,433
40436,NP_001262197.1,359
40436,NP_001262198.1,368
40436,NP_001303375.1,415
40436,NP_524208.1,386
40436,NP_730700.2,359
40436,NP_996145.1,364
40451,NP_001262202.1,317
40451,NP_524211.1,317
40679,NP_001287182.1,226
40679,NP_524237.1,226
40679,NP_730957.1,226
40683,NP_001287183.1,579
40683,NP_524239.2,579
40683,NP_730966.1,585
40827,NP_001138017.1,232
40827,NP_476794.1,252
40831,NP_476579.1,333
40831,NP_731114.2,341
40831,NP_788589.1,333
40876,NP_477464.1,474
40966,NP_001027151.1,555
40966,NP_001262367.1,418
40966,NP_649773.1,418
40972,NP_524274.1,603
40987,NP_649788.2,399
40991,NP_524277.1,397
41025,NP_001303455.1,826
41025,NP_001303456.1,826
41025,NP_649810.1,826
41169,NP_524294.2,286
41294,NP_524307.1,135
41294,NP_731510.1,144
41643,NP_477331.1,394
41678,NP_650307.2,620
41715,NP_524348.2,401
41801,NP_476848.1,267
42065,NP_650597.2,979
42101,NP_001262668.1,97
42101,NP_524386.1,97
42414,NP_001287422.2,386
42414,NP_650880.3,386
42499,NP_650942.1,766
42742,NP_001097884.1,555
42742,NP_001163697.1,526
42742,NP_001189270.1,540
42742,NP_001262861.1,652
42742,NP_001262862.1,652
42742,NP_001262863.1,526
42742,NP_651131.2,532
42791,NP_651168.1,400
42828,NP_001287493.1,439
42828,NP_524469.2,439
42964,NP_001163713.1,695
42964,NP_001262932.1,699
42964,NP_651297.2,695
42964,NP_996291.2,692
43159,NP_524512.2,70
43215,NP_477318.1,654
43354,NP_651601.1,787
43404,NP_001138118.2,2002
43404,NP_001263047.1,2008
43404,NP_001263048.1,2008
43404,NP_001263049.1,2002
43404,NP_733258.4,2187
43428,NP_001163767.1,554
43428,NP_001287576.1,738
43428,NP_001287577.1,739
43428,NP_524545.2,739
43453,NP_001097962.1,469
43453,NP_001097963.1,509
43453,NP_001263059.1,472
43453,NP_001263060.1,506
43497,NP_001263078.1,149
43497,NP_651713.1,149
43654,NP_001263124.1,848
43654,NP_001263125.1,692
43654,NP_001263126.1,694
43654,NP_001263127.1,537
43654,NP_001263128.1,537
43654,NP_001263129.1,941
43654,NP_651827.1,537
43654,NP_733405.2,882
43654,NP_733406.1,545
43654,NP_733407.2,635
43670,NP_001247377.1,596
43670,NP_001247378.2,622
43670,NP_524600.3,622
43787,NP_001014687.3,1120
43787,NP_001014688.3,1183
43787,NP_001014689.3,1255
43787,NP_001033803.3,1255
43787,NP_001188514.1,1206
43787,NP_001188515.1,1194
43787,NP_001188516.1,1187
43787,NP_001188517.1,1210
43787,NP_001188518.1,1255
43787,NP_726564.5,1206
43787,NP_726565.5,1206
43788,NP_001245420.1,1484
43788,NP_524621.2,1500
43788,NP_726566.1,1500
43788,NP_726567.2,1448
43788,NP_995595.1,1500
43950,NP_001286976.1,447
43950,NP_524661.1,447
44014,NP_001162813.1,1593
44014,NP_476737.3,395
44014,NP_476738.3,1594
44014,NP_996524.2,1515
44029,NP_651968.1,266
44259,NP_001246702.1,816
44259,NP_651973.4,818
45012,NP_001246015.1,614
45012,NP_001260424.1,614
45012,NP_001260425.1,614
45012,NP_652004.2,614
45012,NP_723775.1,614
45012,NP_723776.1,614
45031,NP_001285489.1,307
45031,NP_001285490.1,307
45031,NP_001303570.1,307
45031,NP_524803.1,307
45031,NP_728342.1,307
45280,NP_524809.2,751
45339,NP_001259789.1,360
45339,NP_524820.2,360
47198,NP_476718.1,74
47249,NP_001097946.1,1703
47249,NP_001247326.1,712
47249,NP_001263009.1,1687
47249,NP_001263010.1,1702
47249,NP_524886.2,1688
48552,NP_001245814.1,115
48552,NP_001259791.1,138
48552,NP_524923.1,408
48552,NP_722593.1,408
48552,NP_722594.1,408
48552,NP_722595.1,408
48552,NP_722596.1,408
48552,NP_722597.1,408
48552,NP_722598.1,408
48552,NP_722599.1,200
48552,NP_722600.1,381
48552,NP_995602.1,408
53439,NP_652608.1,456
5740633,NP_001097670.1,429
64877,NP_001014602.1,83
64877,NP_001014603.1,83
64877,NP_001097673.1,128
64877,NP_001097674.1,139
64877,NP_001097676.1,139
64877,NP_001097677.1,139
64877,NP_001097678.3,125
64877,NP_001163499.1,146
64877,NP_001163500.1,143
64877,NP_001163501.1,142
64877,NP_001163502.1,139
64877,NP_001163503.1,142
64877,NP_001163504.1,143
64877,NP_001262247.1,98
64877,NP_001262248.1,157
64877,NP_525019.2,138
64877,NP_730800.1,142
64877,NP_730801.1,142
64877,NP_730802.1,142
64877,NP_730803.1,139
64877,NP_730804.2,142
117353,NP_001261264.1,526
117353,NP_001286898.1,526
117353,NP_647621.1,526
117353,NP_728626.1,526
117353,NP_728627.1,526
117353,NP_728628.1,526
117462,NP_536779.2,129
250710,NP_001285728.1,140
250710,NP_609158.2,140
2768728,NP_995793.1,384
2768728,NP_995794.1,381
30973,NP_477030.1,601
30973,NP_726659.1,601
31014,NP_001138143.2,136
31014,NP_001284754.1,108
31014,NP_569852.1,108
31084,NP_477492.1,291
31101,NP_001033820.1,136
31101,NP_569919.2,256
31101,NP_726742.1,256
31187,NP_001284804.1,1741
31187,NP_525042.2,1741
31187,NP_726796.2,1092
31263,NP_477493.2,696
31329,NP_001245511.1,723
31329,NP_477321.2,723
31331,NP_001162651.1,790
31331,NP_001162652.1,582
31331,NP_001162653.1,789
31331,NP_001162654.1,581
31331,NP_001245512.1,790
31331,NP_001245513.1,583
31331,NP_001284842.1,716
31331,NP_570071.3,790
31331,NP_726879.1,582
31331,NP_726880.1,582
31339,NP_001096877.1,1765
31339,NP_570078.2,1746
31339,NP_726893.2,1712
31456,NP_001096885.2,685
31456,NP_001259251.1,960
31456,NP_001259252.1,979
31456,NP_001259253.1,928
31456,NP_001284886.1,719
31456,NP_001284887.1,1174
31456,NP_001284888.1,771
31456,NP_001284889.1,1122
31456,NP_525078.3,576
31456,NP_726986.3,927
31456,NP_726987.2,522
31456,NP_726988.3,812
31456,NP_726989.3,524
31456,NP_996354.2,927
31788,NP_001162703.1,306
31788,NP_511088.1,306
318778,NP_730794.1,385
32057,NP_572694.1,493
32057,NP_727501.1,493
32057,NP_727503.1,398
32086,NP_511122.1,406
32316,NP_572902.1,675
32604,NP_001162773.1,586
32604,NP_001162774.1,1655
32604,NP_523368.2,1679
32604,NP_727963.1,1682
32604,NP_727964.1,1682
32604,NP_727965.1,1682
32604,NP_727966.1,1679
32604,NP_727967.1,1679
32604,NP_996486.1,1679
326122,NP_001262849.1,316
326122,NP_651095.1,411
32631,NP_523375.2,639
33019,NP_001162804.1,321
33019,NP_476615.1,320
33105,NP_608447.1,405
33202,NP_477354.1,490
33229,NP_001097047.1,305
33229,NP_001285547.1,475
33229,NP_001285548.1,475
33229,NP_523445.1,475
33253,NP_477213.1,768
3354971,NP_001015221.1,1641
3354971,NP_001015222.1,1641
3354971,NP_001104406.1,1641
3354971,NP_001163846.1,1641
3354971,NP_001163847.1,1641
3354971,NP_001163848.1,1641
3354971,NP_001163849.1,1641
3354971,NP_001163850.1,1641
3354971,NP_001163851.1,1641
3355124,NP_001036387.1,299
3355124,NP_001036388.1,299
3355124,NP_001036390.2,299
3355124,NP_001036391.2,299
33692,NP_001260057.1,431
33692,NP_001350854.1,537
33692,NP_523474.1,510
33692,NP_787977.2,482
33692,NP_787978.1,482
33692,NP_787979.1,482
33823,NP_001260109.1,691
33823,NP_477140.1,691
33827,NP_001285648.1,168
33827,NP_476784.1,168
33863,NP_001245912.1,381
33863,NP_001260122.1,302
33863,NP_723156.1,257
33863,NP_723157.1,302
33863,NP_723158.1,250
33937,NP_001260144.1,483
33937,NP_523494.1,483
33991,NP_001036342.1,763
33991,NP_523498.2,763
33991,NP_723252.2,530
34010,NP_001260188.1,420
34010,NP_609108.3,420
34182,NP_001285756.1,372
34182,NP_609235.1,372
34281,NP_523526.1,106
34281,NP_723475.1,106
34293,NP_723484.1,196
34385,NP_001260320.1,472
34385,NP_523535.2,472
34505,NP_477448.1,689
34527,NP_001285827.1,1365
34527,NP_477287.1,1365
34527,NP_477288.3,1365
34824,NP_609698.2,377
34844,NP_523566.4,553
34844,NP_995712.1,552
34866,NP_001285945.1,146
34866,NP_477050.1,146
34885,NP_523572.1,490
34885,NP_723896.1,490
34885,NP_723897.1,490
34885,NP_723898.1,490
34888,NP_001260460.1,1095
34888,NP_001260461.1,1102
34888,NP_476598.1,1099
34888,NP_476599.1,1106
34937,NP_523578.1,1354
34981,NP_001285982.1,441
34981,NP_477256.1,441
34981,NP_723966.1,441
34981,NP_723967.1,441
34991,NP_001137830.2,1188
34991,NP_609802.1,1128
34991,NP_723983.1,1128
35042,NP_001036366.2,328
35042,NP_001036367.2,365
35042,NP_001137833.2,456
35042,NP_001137834.2,1653
35042,NP_001162996.2,1668
35042,NP_001162997.1,1598
35042,NP_001260526.1,311
35042,NP_001260527.1,1601
35042,NP_001260528.1,306
35042,NP_001286013.1,327
35042,NP_001368962.1,1795
35042,NP_609835.2,1690
35042,NP_724047.2,1689
35042,NP_724048.1,1652
35042,NP_788072.4,1623
35073,NP_001036369.3,4236
35151,NP_001286070.1,84
35151,NP_609919.1,84
35170,NP_001260554.1,1049
35170,NP_001260555.1,1049
35170,NP_609933.1,1049
35322,NP_001260632.1,540
35322,NP_001260633.1,540
35322,NP_477188.1,540
35322,NP_724274.1,540
35343,NP_001260644.1,611
35343,NP_001260645.1,469
35343,NP_724288.3,636
35343,NP_724289.2,469
35343,NP_995733.2,615
35473,NP_001246139.1,154
35473,NP_523619.2,154
35594,NP_001260738.1,965
35594,NP_001260739.1,965
35594,NP_001260740.1,449
35594,NP_610240.4,881
35594,NP_724502.1,449
35594,NP_724503.2,365
35822,NP_001286196.1,526
35822,NP_477117.2,526
35913,NP_001163093.1,477
35913,NP_001286226.1,390
35913,NP_477038.1,474
35970,NP_001097240.1,422
35970,NP_001246224.1,413
35970,NP_001260825.1,415
35970,NP_477215.1,413
36086,NP_724916.1,766
36089,NP_610575.1,1350
36089,NP_995796.2,1350
36109,NP_001163111.1,782
36109,NP_001163112.1,782
36109,NP_523685.2,780
36109,NP_724940.1,780
36269,NP_610709.1,384
36301,NP_610732.1,391
36306,NP_725106.1,151
36363,NP_523713.2,359
36387,NP_610802.1,116
36440,NP_001163135.1,1299
36440,NP_995827.2,1351
36475,NP_001260950.1,431
36475,NP_001260951.1,604
36475,NP_725278.1,443
36571,NP_001097304.2,825
36571,NP_001097305.1,770
36571,NP_001097306.2,837
36571,NP_001137666.1,773
36571,NP_001286408.1,665
36571,NP_001286409.1,780
36571,NP_001303348.1,686
36571,NP_523738.2,671
36571,NP_725362.1,772
36571,NP_725363.1,671
36571,NP_725364.1,629
36587,NP_725374.1,398
36587,NP_725375.1,398
36678,NP_001036546.1,640
36678,NP_001036547.1,1214
36678,NP_001246330.1,1283
36678,NP_001246331.1,1286
36678,NP_001246332.1,1286
36678,NP_001246333.1,1217
36678,NP_001246334.1,572
36678,NP_611013.1,1108
36678,NP_995841.1,1108
37116,NP_001286573.1,1301
37116,NP_523781.2,1301
37116,NP_725785.1,1301
37116,NP_725786.1,1301
37116,NP_725787.1,1301
37116,NP_995885.1,1301
37116,NP_995886.1,1301
37142,NP_611351.1,738
37228,NP_477210.1,661
37228,NP_725881.1,661
37228,NP_725882.1,661
37235,NP_001286614.1,184
37235,NP_477054.1,184
37414,NP_726036.2,769
37521,NP_001097406.1,852
37521,NP_001163246.1,718
37521,NP_001163247.1,809
37521,NP_001163248.1,809
37521,NP_001163249.1,708
37521,NP_001286704.1,767
37521,NP_611640.3,761
37521,NP_726159.1,708
37521,NP_726160.1,751
37521,NP_726161.1,751
37521,NP_726162.1,751
37521,NP_726163.1,751
37730,NP_611806.3,683
37730,NP_726339.2,623
37823,NP_477225.1,365
37823,NP_726394.1,365
37886,NP_001261164.1,742
37886,NP_001261165.1,742
37886,NP_001261166.1,757
37886,NP_523841.3,743
37995,NP_476631.1,203
37995,NP_995941.1,203
38007,NP_001014554.1,1046
38007,NP_001286876.1,1046
38007,NP_523865.2,1046
38007,NP_611994.3,1143
38007,NP_665704.1,1046
38169,NP_788450.1,485
38169,NP_788451.1,330
38378,NP_647775.1,265
38648,NP_001246639.1,976
38648,NP_001246640.1,976
38648,NP_647986.3,906
38648,NP_729092.1,1038
38648,NP_729093.2,886
38648,NP_729094.1,948
38648,NP_729095.1,968
38742,NP_476855.1,991
3885573,NP_001034043.2,445
3885573,NP_001034046.3,456
3885573,NP_001034048.2,1256
3885573,NP_650210.2,1118
38983,NP_523975.1,166
39001,NP_523981.1,138
39052,NP_001246689.1,1000
39052,NP_001246690.1,821
39052,NP_001246691.1,1068
39052,NP_001246692.1,885
39052,NP_001286993.1,1006
39052,NP_001286994.1,1075
39052,NP_001286995.1,1056
39052,NP_001286996.1,1049
39052,NP_001286997.1,1031
39052,NP_648290.3,1068
39095,NP_001287005.1,669
39095,NP_648317.1,669
39106,NP_001261634.1,471
39106,NP_648327.1,471
39106,NP_729505.2,458
39120,NP_524007.2,421
39160,NP_648366.2,877
39160,NP_729565.2,887
39160,NP_729566.2,887
39160,NP_729567.2,887
39238,NP_788494.1,565
