Dsim,E_value,Score,query cover,identity,Dmel
XM_002103700.4,0.0,1327.0,92,92.667,NM_141923.2
XM_002103701.3,0.0,1886.0,99,97.22,NM_141922.2
XM_002103702.4,0.0,6010.0,98,94.763,NM_169461.3
XM_002103703.4,0.0,1415.0,99,93.743,NM_141920.3
XM_002103704.4,0.0,1735.0,99,95.892,NM_141919.4
XM_002103705.4,0.0,2161.0,100,91.656,NM_141918.2
XM_002103707.4,0.0,2327.0,89,90.441,NM_141917.1
XM_002103710.4,4.52e-171,599.0,95,95.467,NM_001170124.1
XM_002103711.4,4.21e-172,603.0,88,93.062,NM_141915.2
XM_002103712.4,0.0,3591.0,99,93.745,NM_141914.2
XM_002103716.4,0.0,1855.0,97,97.597,NM_143784.3
XM_002103718.4,0.0,1404.0,89,93.878,NM_141910.2
XM_002103719.4,0.0,1443.0,93,94.658,NM_141909.2
XM_002103721.4,0.0,2237.0,99,94.66,NM_141907.2
XM_002103722.4,0.0,2230.0,93,95.549,NM_141906.4
XM_002103724.4,0.0,857.0,98,96.731,NM_001260145.2
XM_002103726.4,0.0,2266.0,99,95.551,NM_169457.2
XM_002103728.4,0.0,3456.0,96,94.713,NM_169456.1
XM_002103740.4,0.0,3742.0,99,95.088,NM_141892.3
XM_002103743.4,0.0,1615.0,98,96.259,"NM_001170123.1, NM_001170122.1, NM_141890.3"
XM_002103744.4,0.0,2202.0,99,95.214,NM_141889.4
XM_002103746.4,0.0,6565.0,99,96.064,NM_001104285.2
XM_002103747.4,0.0,3037.0,86,96.465,NM_001275565.1
XM_002103751.4,0.0,1849.0,98,94.928,NM_141883.2
XM_002103753.4,0.0,1831.0,96,96.004,NM_141881.2
XM_002103758.4,0.0,1881.0,98,96.021,NM_057401.4
XM_002103759.4,0.0,2800.0,99,93.803,NM_141875.3
XM_002103763.4,0.0,3027.0,96,94.012,NM_141873.3
XM_002103765.4,0.0,1489.0,97,95.421,NM_141871.3
XM_002103768.4,0.0,3951.0,97,95.305,NM_141867.4
XM_002103769.4,0.0,3055.0,99,97.748,NM_141866.2
XM_002103782.4,0.0,2926.0,98,96.752,NM_141854.4
XM_002103784.4,0.0,1810.0,99,95.656,NM_141853.3
XM_002103787.4,0.0,1181.0,70,97.27,NM_141851.3
XM_002103788.4,0.0,808.0,90,90.909,NM_079599.4
XM_002103789.4,0.0,3301.0,99,95.114,NM_141850.2
XM_002103790.4,0.0,1742.0,97,94.742,NM_001275552.1
XM_002103791.4,0.0,1158.0,90,92.848,NM_079598.3
XM_002103792.4,0.0,1790.0,99,92.736,NM_001104280.2
XM_002103794.4,0.0,4294.0,96,94.111,NM_141847.3
XM_002103796.4,0.0,1838.0,100,96.336,NM_079597.3
XM_002103799.4,0.0,966.0,91,96.88,NM_141844.4
XM_002103806.4,0.0,2146.0,96,94.676,NM_144455.4
XM_002103809.4,0.0,2082.0,98,95.22,NM_141837.2
XM_002103810.4,0.0,2139.0,100,92.833,NM_169411.2
XM_002103811.4,0.0,2089.0,98,93.147,NM_141835.5
XM_002103820.4,0.0,924.0,98,91.742,NM_141825.2
XM_002103829.4,0.0,2785.0,98,95.336,NM_141817.3
XM_002103830.4,0.0,1199.0,98,95.71,NM_141816.4
XM_002103831.4,0.0,852.0,88,95.992,NM_141815.2
XM_002103834.4,0.0,5400.0,99,96.346,NM_141811.2
XM_002103835.4,0.0,3264.0,98,94.369,NM_080512.5
XM_002103836.3,0.0,1474.0,98,94.671,NM_141810.4
XM_002103837.4,0.0,1168.0,89,96.089,NM_079594.5
XM_002103846.4,0.0,3118.0,97,97.633,NM_141807.2
XM_002103847.4,9.21e-131,466.0,98,91.268,NM_001260114.2
XM_002103850.4,0.0,2298.0,98,96.097,NM_141797.4
XM_002103851.4,0.0,3899.0,99,96.985,NM_141798.3
XM_002103853.4,0.0,708.0,100,98.039,NM_141800.2
XM_002103854.4,0.0,3073.0,97,94.45,NM_141801.3
XM_002103855.4,1.9e-38,159.0,23,82.418,NM_001260112.1
XM_002103856.4,0.0,1578.0,94,94.135,NM_169382.2
XM_002103857.4,0.0,2350.0,95,95.458,NM_141803.3
XM_002103858.3,0.0,1421.0,97,94.76,NM_001300353.1
XM_002103859.3,0.0,2398.0,95,97.977,NM_169378.2
XM_002103861.4,0.0,2961.0,97,94.734,NM_141794.2
XM_002103862.4,0.0,1938.0,98,96.209,NM_001104278.2
XM_002103863.4,0.0,915.0,79,99.213,NM_079591.6
XM_002103867.4,0.0,809.0,94,94.798,NM_141787.4
XM_002103868.4,0.0,2839.0,88,92.175,NM_001275541.1
XM_002103869.4,0.0,2374.0,93,93.794,NM_144362.2
XM_002103870.4,0.0,2658.0,90,93.977,NM_079590.3
XM_002103871.3,0.0,2531.0,51,93.426,NM_144366.4
XM_002103873.3,0.0,2340.0,93,93.38,NM_144365.3
XM_002103874.4,0.0,2684.0,99,94.118,NM_001275540.1
XM_002103876.4,0.0,2486.0,94,94.796,NM_144368.3
XM_002103877.4,0.0,4132.0,99,95.752,NM_141785.3
XM_002103879.4,0.0,2490.0,98,93.545,NM_001104274.2
XM_002103880.4,0.0,1319.0,91,92.275,NM_141784.2
XM_002103883.4,0.0,2078.0,96,94.51,NM_141781.2
XM_002103886.4,0.0,4843.0,98,95.613,NM_141780.4
XM_002103892.4,0.0,1953.0,97,96.604,NM_079587.3
XM_002103893.3,0.0,3792.0,87,95.847,NM_141774.4
XM_002103894.4,0.0,2156.0,97,95.877,NM_079586.4
XM_002103895.4,0.0,2811.0,86,94.967,NM_001275539.1
XM_002103898.3,0.0,2209.0,64,95.833,NM_141771.3
XM_002103899.4,0.0,1960.0,96,94.925,NM_141770.3
XM_002103909.4,0.0,2922.0,98,94.014,NM_001275538.1
XM_002103912.4,0.0,1120.0,96,94.34,NM_141761.2
XM_002103913.4,0.0,3903.0,98,95.475,NM_079584.4
XM_002103915.3,0.0,2143.0,97,92.961,NM_169364.3
XM_002103916.4,0.0,2207.0,98,96.026,NM_079582.5
XM_002103917.4,0.0,1572.0,66,95.03,NM_141759.4
XM_002103919.4,0.0,1832.0,99,96.333,NM_079581.4
XM_002103921.4,0.0,1471.0,98,96.317,NM_169357.2
XM_002103923.4,0.0,2772.0,98,95.918,NM_141755.3
XM_002103925.2,0.0,933.0,97,93.471,NM_141754.3
XM_002103926.4,0.0,1581.0,95,92.656,NM_141753.3
XM_002103927.3,0.0,2682.0,91,96.49,NM_141752.3
XM_002103928.4,0.0,1134.0,93,96.243,NM_169355.3
XM_002103930.4,0.0,725.0,99,95.228,NM_141750.2
XM_002103931.4,0.0,2290.0,99,95.232,NM_169353.3
XM_002103932.4,0.0,2617.0,87,95.599,NM_169352.3
XM_002103933.4,0.0,5251.0,99,96.393,NM_169350.3
XM_002103941.4,0.0,3742.0,99,99.136,NM_057228.5
XM_002103946.4,0.0,2929.0,98,95.719,NM_141745.4
XM_002103947.4,0.0,1253.0,97,94.505,NM_141744.3
XM_002103949.4,0.0,6019.0,98,96.944,NM_141743.3
XM_002103953.4,0.0,4606.0,99,95.716,NM_079578.3
XM_002103958.4,0.0,1498.0,82,93.59,NM_141739.2
XM_002103959.4,0.0,3853.0,99,97.033,NM_001275530.1
XM_002103962.4,0.0,2687.0,98,96.121,NM_144351.4
XM_002103967.2,0.0,926.0,93,94.435,NM_001043238.2
XM_002103978.4,0.0,4307.0,99,95.849,NM_141724.4
XM_002103980.4,0.0,1596.0,96,96.209,NM_141723.2
XM_002103981.4,0.0,2344.0,96,96.615,NM_001300339.1
XM_002103985.4,0.0,926.0,64,96.92,NM_001031998.1
XM_002103987.3,0.0,887.0,92,93.878,NM_001031996.1
XM_002103988.4,0.0,933.0,37,92.901,NM_001031995.1
XM_002103991.4,0.0,1064.0,91,95.77,NM_141718.2
XM_002103992.4,0.0,1094.0,71,96.657,NM_169323.3
XM_002103993.4,0.0,2067.0,87,96.554,NM_141717.3
XM_002103994.4,0.0,3310.0,97,96.026,NM_141716.3
XM_002103995.4,0.0,1509.0,98,93.665,NM_141715.3
XM_002103996.4,0.0,2396.0,99,95.257,NM_141714.4
XM_002103997.4,0.0,1286.0,99,96.993,NM_141713.4
XM_002103998.4,0.0,1690.0,90,95.314,NM_141712.4
XM_002103999.4,0.0,1011.0,82,94.915,NM_001300336.1
XM_002104004.3,0.0,1823.0,81,94.221,NM_169314.1
XM_002104007.4,0.0,5136.0,98,96.912,NM_001275516.1
XM_002104009.4,0.0,7035.0,99,94.853,NM_001275513.1
XM_002104012.4,0.0,1319.0,93,95.62,NM_169312.3
XM_002104013.4,0.0,1321.0,95,93.119,NM_141701.3
XM_002104014.4,0.0,1509.0,96,95.923,NM_141700.3
XM_002104016.4,0.0,1493.0,99,95.253,NM_141698.2
XM_002104018.4,0.0,3216.0,98,96.646,NM_141696.3
XM_002104019.3,3.86e-122,436.0,71,93.603,NM_001275509.1
XM_002104021.4,0.0,889.0,99,95.096,NM_169311.2
XM_002104027.4,0.0,2362.0,98,97.471,NM_141693.3
XM_002104032.4,0.0,5448.0,99,95.773,NM_141680.2
XM_002104033.4,0.0,3764.0,94,97.973,NM_080207.3
XM_002104034.4,0.0,2217.0,99,96.644,NM_001300334.1
XM_002104036.4,0.0,7179.0,93,95.952,NM_001275503.1
XM_002104037.4,0.0,2636.0,97,97.242,NM_079573.5
XM_002104041.4,0.0,4318.0,97,94.085,NM_079571.2
XM_002104043.4,0.0,2106.0,98,96.759,"NM_141671.4, NM_176441.2"
XM_002104044.4,0.0,1664.0,97,98.414,NM_176439.3
XM_002104046.4,0.0,2296.0,100,96.671,NM_141669.3
XM_002104048.4,0.0,3402.0,87,94.629,NM_141667.3
XM_002104054.4,0.0,2532.0,99,98.602,NM_001275501.1
XM_002104055.4,0.0,1919.0,92,93.436,NM_141663.4
XM_002104059.4,0.0,3718.0,98,96.937,NM_141659.4
XM_002104062.4,2.25e-127,455.0,57,93.729,NM_001031994.1
XM_002104063.4,0.0,3650.0,98,95.917,NM_141657.4
XM_002104065.4,0.0,1310.0,57,97.169,NM_141656.2
XM_002104067.4,0.0,1474.0,97,92.539,NM_141654.2
XM_002104069.4,0.0,3264.0,99,95.303,NM_141652.2
XM_002104070.4,0.0,2416.0,99,96.216,NM_141651.3
XM_002104072.4,0.0,2992.0,97,97.436,NM_141649.2
XM_002104073.4,0.0,2929.0,99,96.914,NM_141648.3
XM_002104080.4,0.0,1487.0,97,96.35,NM_176433.2
XM_002104081.3,0.0,2252.0,94,94.722,NM_057751.4
XM_002104085.4,0.0,3125.0,85,96.992,NM_141640.5
XM_002104088.4,0.0,1306.0,96,92.625,NM_141637.3
XM_002104091.4,0.0,2627.0,97,94.026,NM_141634.2
XM_002104092.4,0.0,2817.0,98,94.363,NM_079566.4
XM_002104093.4,2.72e-113,407.0,88,89.602,NM_001300322.1
XM_002104094.4,0.0,3626.0,99,95.9,"NM_001170097.2, NM_141633.2"
XM_002104095.4,0.0,776.0,92,93.69,"NM_001170097.2, NM_141633.2"
XM_002104096.4,0.0,2361.0,96,94.201,NM_141632.1
XM_002104097.4,0.0,1613.0,93,93.796,NM_141631.3
XM_002104107.4,0.0,2841.0,98,97.148,NM_169265.2
XM_002104108.4,0.0,1282.0,85,94.385,NM_141624.3
XM_002104109.4,0.0,1400.0,95,96.149,NM_141623.2
XM_002104111.4,0.0,739.0,79,89.626,NM_141621.2
XM_002104113.4,0.0,4558.0,99,96.68,NM_141620.3
XM_002104114.4,0.0,2820.0,98,96.91,NM_080087.3
XM_002104115.4,0.0,2176.0,77,94.171,NM_169263.2
XM_002104116.4,0.0,2555.0,98,98.093,NM_141619.3
XM_002104117.4,0.0,1459.0,95,94.295,NM_141618.4
XM_002104118.4,0.0,1214.0,92,97.599,NM_141617.3
XM_002104119.4,0.0,1478.0,99,97.248,NM_141616.2
XM_002104120.4,0.0,2161.0,96,94.688,NM_141615.2
XM_002104122.4,0.0,1483.0,94,93.896,NM_001300315.1
XM_002104123.4,0.0,3101.0,81,97.327,NM_141612.3
XM_002104124.3,0.0,7060.0,99,96.704,NM_141611.2
XM_002104129.4,0.0,2309.0,95,93.818,NM_141610.3
XM_002104132.4,0.0,4678.0,72,96.588,NM_001275474.1
XM_002104133.4,0.0,2961.0,100,96.687,NM_141608.3
XM_002104137.4,0.0,1908.0,99,94.793,NM_058128.5
XM_002104138.4,0.0,5153.0,99,93.759,NM_057746.4
XM_002104140.4,0.0,3435.0,99,94.556,NM_001170093.2
XM_002104144.4,6.139999999999999e-170,595.0,89,95.687,NM_143932.3
XM_002104147.4,0.0,2579.0,99,96.254,NM_141602.4
XM_002104148.4,0.0,1428.0,99,97.059,NM_141601.2
XM_002104152.4,0.0,2361.0,99,97.946,NM_001275465.1
XM_002104153.4,0.0,3216.0,97,94.243,NM_141595.3
XM_002104156.4,0.0,2281.0,97,95.898,NM_141593.4
XM_002104157.4,0.0,1834.0,95,97.403,NM_141592.3
XM_002104158.4,0.0,3033.0,97,96.856,NM_141590.4
XM_002104164.4,0.0,4104.0,99,96.898,NM_206463.3
XM_002104165.4,0.0,1568.0,74,94.038,NM_001275460.1
XM_002104166.4,0.0,1563.0,93,94.995,NM_141580.3
XM_002104174.4,0.0,1081.0,91,95.556,NM_176422.2
XM_002104177.4,0.0,2132.0,97,96.932,NM_141574.4
XM_002104178.4,0.0,2481.0,95,97.087,NM_141573.4
XM_002104184.4,0.0,1712.0,92,93.576,NM_141567.2
XM_002104185.4,0.0,2032.0,99,95.515,NM_141566.2
XM_002104186.4,0.0,1555.0,91,95.394,NM_141565.4
XM_002104189.4,0.0,1506.0,60,95.772,NM_141562.3
XM_002104195.4,0.0,1792.0,95,98.335,NM_141556.5
XM_002104196.4,0.0,1703.0,96,96.332,NM_079560.5
XM_002104198.4,0.0,4741.0,99,97.348,NM_001275451.2
XM_002104199.4,0.0,4700.0,99,96.549,NM_001316527.1
XM_002104202.4,0.0,1186.0,94,97.421,NM_141552.4
XM_002104203.2,0.0,2420.0,97,96.467,NM_134311.3
XM_002104204.4,2.5000000000000002e-164,577.0,86,92.457,NM_141551.2
XM_002104205.4,0.0,4922.0,98,95.893,NM_001275446.1
XM_002104207.3,0.0,2032.0,73,96.574,NM_001275445.1
XM_002104214.4,0.0,889.0,94,94.31,NM_169226.2
XM_002104215.4,0.0,2333.0,99,94.903,NM_001300306.1
XM_002104216.4,0.0,1967.0,63,95.319,NM_079557.3
XM_002104218.4,0.0,2471.0,100,96.582,NM_001300304.1
XM_002104219.4,0.0,2686.0,88,94.585,NM_169224.2
XM_002104221.4,0.0,1790.0,91,94.274,NM_079556.3
XM_002104222.3,0.0,1962.0,70,96.846,NM_079555.2
XM_002104231.4,0.0,2289.0,61,97.603,NM_169221.3
XM_002104232.4,0.0,4650.0,99,94.723,NM_141539.4
XM_002104235.3,0.0,885.0,90,94.048,NM_141536.3
XM_002104236.4,0.0,2832.0,98,94.276,NM_141535.4
XM_002104237.3,0.0,1027.0,99,94.962,NM_057538.3
XM_002104239.4,0.0,1234.0,91,91.968,NM_141530.2
XM_002104241.4,0.0,1803.0,96,97.272,NM_141527.3
XM_002104242.4,0.0,1480.0,94,93.6,NM_141526.4
XM_002104245.4,0.0,2172.0,91,97.412,NM_169215.2
XM_002104246.4,0.0,1214.0,99,96.221,NM_169214.3
XM_002104247.4,0.0,1677.0,91,96.467,NM_141522.2
XM_002104248.4,0.0,918.0,99,92.214,NM_141521.2
XM_002104252.4,0.0,4911.0,99,97.434,NM_057773.4
XM_002104254.4,0.0,3500.0,93,97.466,NM_079550.4
XM_002104257.4,0.0,2337.0,75,93.984,NM_143926.2
XM_002104258.4,0.0,2218.0,99,92.727,"NM_001300301.1, NM_001300299.1"
XM_002104260.4,0.0,4139.0,99,97.11,NM_141517.4
XM_002104261.4,0.0,3548.0,98,97.457,NM_001031980.2
XM_002104263.4,0.0,2567.0,91,93.699,NM_001170078.2
XM_002104264.4,0.0,2261.0,97,89.938,NM_141513.3
XM_002104266.4,0.0,846.0,98,93.092,NM_001031979.2
XM_002104271.4,0.0,1297.0,58,97.992,NM_001300297.1
XM_002104272.4,0.0,1432.0,89,95.923,NM_141511.3
XM_002104273.4,0.0,3459.0,93,92.934,NM_141510.4
XM_002104274.4,0.0,4848.0,97,96.513,NM_079549.3
XM_002104275.4,0.0,2588.0,93,95.125,NM_001104237.2
XM_002104276.4,0.0,3192.0,98,96.434,NM_141508.2
XM_002104280.4,0.0,4916.0,98,95.805,NM_142722.1
XM_002104281.3,0.0,4843.0,99,95.948,NM_169964.3
XM_002104284.4,0.0,4595.0,96,96.447,NM_169967.3
XM_002104285.4,0.0,1042.0,100,97.844,NM_142726.2
XM_002104287.4,0.0,1458.0,56,95.6,NM_142727.1
XM_002104288.4,0.0,817.0,96,94.382,NM_079715.3
XM_002104292.4,0.0,2218.0,73,94.483,NM_079718.3
XM_002104295.4,0.0,1803.0,91,93.96,NM_169973.1
XM_002104296.3,0.0,1668.0,95,92.932,NM_169974.1
XM_002104297.4,0.0,3140.0,69,94.499,NM_079719.3
XM_002104298.3,0.0,1515.0,97,96.216,NM_142730.3
XM_002104299.4,0.0,2298.0,98,95.789,NM_142731.3
XM_002104300.4,0.0,821.0,98,92.401,NM_142732.3
XM_002104301.4,0.0,1083.0,86,94.334,NM_169976.1
XM_002104306.4,1.6e-175,614.0,92,97.238,NM_176531.2
XM_002104309.4,0.0,4377.0,97,93.246,NM_169985.2
XM_002104310.4,0.0,708.0,95,91.149,NM_142736.3
XM_002104311.4,0.0,996.0,99,95.231,NM_142737.2
XM_002104312.4,0.0,1435.0,91,97.725,NM_142738.3
XM_002104313.4,0.0,1912.0,91,96.309,NM_142739.3
XM_002104315.4,0.0,2569.0,98,92.942,NM_142740.2
XM_002104316.4,0.0,2867.0,99,95.538,NM_142741.4
XM_002104321.4,0.0,2047.0,76,94.761,NM_142742.3
XM_002104322.4,0.0,3044.0,90,96.831,NM_142743.3
XM_002104325.4,0.0,1122.0,93,94.658,NM_142744.3
XM_002104326.4,0.0,1749.0,97,95.845,NM_142745.4
XM_002104329.3,0.0,3310.0,98,95.413,NM_142747.4
XM_002104330.4,0.0,3022.0,99,96.846,"NM_001300529.1, NM_142748.5"
XM_002104331.4,0.0,1103.0,76,89.931,NM_142749.3
XM_002104334.4,0.0,1413.0,95,96.292,NM_142750.2
XM_002104336.3,0.0,2200.0,37,96.554,NM_142752.1
XM_002104353.4,0.0,1881.0,97,95.431,NM_142762.4
XM_002104356.4,0.0,1315.0,62,97.059,NM_142764.3
XM_002104358.3,0.0,1447.0,95,97.203,NM_142766.2
XM_002104359.4,0.0,1430.0,87,95.254,NM_001275902.1
XM_002104361.4,0.0,2665.0,96,96.82,NM_001275903.2
XM_002104364.4,0.0,1999.0,99,97.841,NM_170003.3
XM_002104367.4,0.0,4285.0,97,95.473,NM_142773.1
XM_002104368.4,0.0,5827.0,96,95.484,NM_142774.3
XM_002104372.4,0.0,2200.0,91,96.547,NM_142777.2
XM_002104380.4,0.0,2968.0,98,97.365,NM_142783.2
XM_002104381.4,0.0,2974.0,99,97.909,NM_001275906.1
XM_002104382.4,0.0,1940.0,99,96.744,NM_001300537.1
XM_002104384.4,0.0,652.0,56,94.762,NM_001104400.2
XM_002104385.4,0.0,4133.0,96,95.961,NM_170013.3
XM_002104388.4,0.0,2337.0,99,96.981,NM_142791.3
XM_002104389.4,0.0,3487.0,99,97.777,NM_142792.5
XM_002104390.4,0.0,1397.0,94,95.056,NM_142793.3
XM_002104391.4,0.0,1157.0,95,99.068,NM_142794.3
XM_002104392.4,0.0,2025.0,96,95.784,NM_142795.4
XM_002104395.4,0.0,1282.0,99,96.516,NM_001170217.2
XM_002104396.4,0.0,1347.0,94,97.118,NM_142797.2
XM_002104397.3,0.0,3378.0,98,97.475,NM_079726.4
XM_002104398.4,3.3000000000000005e-110,398.0,59,84.235,NM_001170218.2
XM_002104401.4,0.0,2069.0,97,96.635,NM_176537.2
XM_002104408.4,0.0,3277.0,98,96.32,NM_176539.2
XM_002104409.4,0.0,2049.0,98,97.425,NM_079727.3
XM_002104410.4,0.0,2001.0,98,98.67,NM_079728.5
XM_002104411.4,0.0,1544.0,94,92.958,NM_176540.2
XM_002104412.4,0.0,2082.0,97,95.891,NM_142809.4
XM_002104416.3,0.0,1845.0,95,95.652,NM_142812.2
XM_002104417.4,0.0,2665.0,99,95.52,NM_170029.2
XM_002104423.4,0.0,2017.0,97,96.849,NM_001275916.1
XM_002104424.4,0.0,649.0,89,90.22,NM_142821.3
XM_002104425.4,0.0,4442.0,93,96.771,NM_142822.3
XM_002104428.4,0.0,4368.0,98,93.677,NM_142829.3
XM_002104432.3,0.0,2774.0,99,93.65,NM_142825.4
XM_002104433.4,0.0,1736.0,99,96.335,NM_142826.2
XM_002104435.4,0.0,4761.0,98,96.65,NM_058023.5
XM_002104436.4,0.0,2490.0,99,96.081,NM_142831.4
XM_002104440.4,0.0,11415.0,99,96.484,NM_079729.3
XM_002104442.4,0.0,2337.0,99,91.018,NM_142834.3
XM_002104443.4,0.0,3450.0,98,93.571,NM_142835.4
XM_002104444.4,0.0,1628.0,98,96.45,NM_142836.3
XM_002104445.4,0.0,1908.0,99,97.998,NM_142837.4
XM_002104446.4,0.0,1956.0,98,94.687,NM_170040.3
XM_002104447.4,0.0,2379.0,99,94.84,NM_142838.4
XM_002104449.4,0.0,3506.0,94,96.3,NM_142840.4
XM_002104450.4,0.0,3637.0,99,96.34,NM_142841.4
XM_002104451.4,0.0,891.0,87,97.328,NM_143984.3
XM_002104454.4,0.0,2935.0,96,96.182,NM_001300545.1
XM_002104457.4,0.0,1855.0,99,96.929,NM_142847.2
XM_002104460.2,0.0,1958.0,94,91.195,NM_170042.2
XM_002104461.4,0.0,922.0,98,92.736,NM_001300548.1
XM_002104462.4,0.0,1823.0,82,94.931,NM_079731.1
XM_002104463.3,0.0,1868.0,71,95.92,NM_079732.1
XM_002104469.4,0.0,1543.0,94,93.78,NM_142854.2
XM_002104471.4,0.0,2505.0,99,91.02,NM_206544.2
XM_002104472.4,0.0,1945.0,63,95.556,NM_170046.1
XM_002104478.3,0.0,2209.0,98,96.892,NM_001275930.1
XM_002104479.4,0.0,2097.0,98,95.972,NM_142866.3
XM_002104480.4,0.0,2039.0,99,95.194,NM_142867.3
XM_002104481.4,0.0,5816.0,98,96.924,NM_142869.5
XM_002104483.4,0.0,3832.0,99,96.28,NM_170050.2
XM_002104484.4,0.0,1676.0,91,92.523,NM_170051.2
XM_002104488.4,0.0,1735.0,99,92.11,NM_142871.1
XM_002104489.4,0.0,1024.0,93,92.49,NM_142872.3
XM_002104497.4,0.0,4573.0,99,95.513,NM_170061.3
XM_002104498.4,0.0,4008.0,99,95.932,NM_142879.3
XM_002104503.4,0.0,3109.0,98,96.069,NM_142882.2
XM_002104504.4,0.0,2830.0,99,95.209,NM_142883.2
XM_002104509.4,0.0,2167.0,99,95.335,NM_001300551.1
XM_002104510.4,0.0,1591.0,93,98.344,NM_001300552.1
XM_002104514.4,4.74e-177,619.0,84,91.704,NM_170073.2
XM_002104517.4,0.0,2909.0,69,95.261,NM_001104415.2
XM_002104521.3,0.0,2748.0,93,96.243,NM_170075.2
XM_002104524.4,0.0,1886.0,99,90.546,NM_142893.2
XM_002104526.4,0.0,2359.0,90,92.792,NM_142895.3
XM_002104527.4,0.0,2427.0,91,94.132,NM_142896.2
XM_002104531.3,0.0,3480.0,99,95.072,NM_142901.2
XM_002104534.4,0.0,3225.0,97,94.543,NM_142902.3
XM_002104538.4,0.0,1223.0,96,95.22,NM_142908.3
XM_002104539.4,0.0,1206.0,94,97.203,NM_142909.4
XM_002104540.3,0.0,3432.0,99,97.465,NM_079739.4
XM_002104541.4,0.0,1227.0,97,86.484,NM_142910.3
XM_002104544.3,0.0,856.0,93,79.464,NM_142911.4
XM_002104545.4,0.0,4506.0,99,91.937,NM_142913.2
XM_002104546.4,0.0,1325.0,91,95.752,NM_142914.3
XM_002104548.4,1.3500000000000002e-157,555.0,85,89.8,NM_001275950.1
XM_002104549.4,0.0,2787.0,91,95.882,NM_142915.3
XM_002104550.3,0.0,2555.0,94,93.033,NM_170084.3
XM_002104552.4,0.0,1598.0,41,95.5,NM_142916.3
XM_002104554.4,0.0,2193.0,98,92.658,NM_057302.3
XM_002104557.4,0.0,2154.0,92,97.985,NM_170088.2
XM_002104559.4,0.0,2833.0,100,97.304,NM_142921.4
XM_002104560.4,0.0,2383.0,100,98.378,NM_079740.4
XM_002104561.4,0.0,5040.0,94,96.79,NM_001275953.1
XM_002104562.4,0.0,1502.0,96,96.781,NM_142923.3
XM_002104563.3,0.0,1317.0,99,98.398,NM_142924.3
XM_002104564.3,0.0,3825.0,99,97.174,NM_142925.2
XM_002104566.4,0.0,1057.0,95,92.722,NM_142927.3
XM_002104567.4,0.0,1735.0,98,97.718,NM_142928.3
XM_002104568.4,0.0,7057.0,99,96.076,NM_079741.3
XM_002104579.4,0.0,909.0,94,93.093,NM_079743.4
XM_002104583.4,0.0,1467.0,87,96.309,NM_170095.3
XM_002104584.4,0.0,3144.0,98,95.349,NM_142934.4
XM_002104585.4,0.0,1869.0,98,97.534,NM_001275961.1
XM_002104589.4,0.0,961.0,100,95.23,NM_170097.3
XM_002104590.4,0.0,2645.0,98,97.542,NM_001300564.1
XM_002104591.4,0.0,1635.0,96,95.335,NM_142937.4
XM_002104593.4,0.0,2542.0,97,97.332,NM_142939.2
XM_002104594.4,0.0,3868.0,98,98.497,NM_079746.6
XM_002104605.4,0.0,854.0,98,96.0,NM_170107.4
XM_002104606.4,0.0,7788.0,99,96.384,NM_079749.6
XM_002104607.4,0.0,3312.0,96,97.005,NM_142947.4
XM_002104610.4,0.0,5559.0,99,96.852,NM_170115.3
XM_002104612.4,0.0,2318.0,99,97.099,NM_142952.3
XM_002104615.4,0.0,1155.0,93,96.434,NM_001300566.1
XM_002104620.4,0.0,1399.0,95,92.879,NM_142955.3
XM_002104621.4,0.0,1033.0,95,97.368,NM_142956.3
XM_002104623.3,0.0,3389.0,97,95.677,NM_001202349.1
XM_002104625.4,0.0,2911.0,100,96.583,NM_142960.4
XM_002104627.4,0.0,3975.0,98,96.807,NM_142961.5
XM_002104631.4,0.0,2399.0,98,94.974,NM_170125.3
XM_002104636.4,0.0,2289.0,99,96.795,NM_142966.3
XM_002104637.4,0.0,1020.0,78,97.333,NM_079752.3
XM_002104638.4,0.0,6102.0,99,97.77,NM_001347815.1
XM_002104639.4,0.0,2386.0,99,98.311,NM_142967.4
XM_002104642.4,0.0,2001.0,99,95.955,NM_142969.4
XM_002104650.4,0.0,5799.0,99,96.656,NM_001275973.1
XM_002104651.4,0.0,2172.0,95,92.857,NM_142976.5
XM_002104653.4,0.0,1188.0,97,96.149,NM_001260350.2
XM_002104658.4,0.0,3568.0,94,94.978,NM_001275978.2
XM_002104660.4,0.0,2453.0,99,96.316,NM_142982.3
XM_002104665.4,0.0,1559.0,69,96.41,NM_142985.4
XM_002104667.4,0.0,5077.0,98,95.06,NM_142986.4
XM_002104672.4,0.0,3659.0,99,95.771,NM_001300573.1
XM_002104677.4,0.0,2647.0,99,95.128,NM_142994.4
XM_002104678.4,0.0,1290.0,95,93.656,NM_142995.3
XM_002104680.3,0.0,1513.0,99,95.949,NM_206558.2
XM_002104682.4,0.0,1070.0,67,95.909,NM_001104430.2
XM_002104684.4,0.0,1437.0,99,94.08,NM_206559.2
XM_002104687.4,0.0,1086.0,84,96.364,NM_001104434.1
XM_002104693.4,0.0,1181.0,95,91.725,NM_170145.2
XM_002104694.3,0.0,4102.0,99,97.698,NM_079758.3
XM_002104696.4,0.0,3282.0,99,97.993,NM_079759.4
XM_002104697.3,0.0,3788.0,85,94.756,NM_143006.2
XM_002104698.4,0.0,3751.0,99,97.213,NM_001275990.1
