NCBI_GeneID,Symbol,Description,Gene_Type,Transcripts,Transcript_Accession,Nomenclature ID,Nomenclature ID2,Chromosomes,Transcript_Genomic_Accession,Transcript_Genomic_Start,Transcript_Genomic_Stop,Orientation,Proteins,Protein_Accession,Synonyms
LOC6724797,LOC6724797,RING-box protein 1A,PROTEIN_CODING,1.0,XM_002105802.2,LOC6724797,LOC6724797,X,NC_052525.2,500595,501557,plus,1.0,XP_002105838.1,"GD16520,GD16520-PA"
LOC6724798,LOC6724798,histone-lysine N-methyltransferase Suv4-20,PROTEIN_CODING,5.0,XM_016173169.3,LOC6724798,LOC6724798,X,NC_052525.2,501907,509461,minus,5.0,XP_016037580.1,"GD16466,GD16466-PB,GD16466-PC,GD16466-PD,GD16466-PE"
LOC6724800,LOC6724800,RNA-binding protein 28,PROTEIN_CODING,1.0,XM_002105806.4,LOC6724800,LOC6724800,X,NC_052525.2,528004,528895,minus,1.0,XP_002105842.1,"GD16464,GD16464-PA"
LOC6724803,LOC6724803,protein sidekick,PROTEIN_CODING,12.0,XM_039297088.1,LOC6724803,LOC6724803,X,NC_052525.2,541973,605269,plus,12.0,XP_039153022.1,"GD16523,GD16523-PB"
LOC6724804,LOC6724804,uncharacterized protein PB18E9.04c,PROTEIN_CODING,1.0,XM_002105809.4,LOC6724804,LOC6724804,X,NC_052525.2,604361,607098,minus,1.0,XP_002105845.1,"GD16462,GD16462-PA"
LOC6724805,LOC6724805,uncharacterized LOC6724805,PROTEIN_CODING,1.0,XM_002105810.4,LOC6724805,LOC6724805,X,NC_052525.2,607540,611788,minus,1.0,XP_002105846.2,"GD16461,GD16461-PA"
LOC6724806,LOC6724806,mitochondrial 2-oxodicarboxylate carrier,PROTEIN_CODING,2.0,XM_039297123.2,LOC6724806,LOC6724806,X,NC_052525.2,606591,614545,plus,2.0,XP_039153057.1,"GD16525,GD16525-PB"
LOC6724808,LOC6724808,uncharacterized LOC6724808,PROTEIN_CODING,1.0,XM_002105813.4,LOC6724808,LOC6724808,X,NC_052525.2,633940,634790,plus,1.0,XP_002105849.1,"GD16527,GD16527-PA"
LOC6724809,LOC6724809,frizzled-3,PROTEIN_CODING,1.0,XM_016173279.3,LOC6724809,LOC6724809,X,NC_052525.2,626105,639569,plus,1.0,XP_016037590.1,"GD16528,GD16528-PB"
LOC6724810,LOC6724810,protein O-mannosyl-transferase 2,PROTEIN_CODING,1.0,XM_016173280.3,LOC6724810,LOC6724810,X,NC_052525.2,640941,644352,plus,1.0,XP_016037591.1,"GD16529,GD16529-PB,GD16529-PC"
LOC6724811,LOC6724811,uncharacterized LOC6724811,PROTEIN_CODING,1.0,XM_016173165.3,LOC6724811,LOC6724811,X,NC_052525.2,644198,646393,minus,1.0,XP_016037593.1,"GD16460,GD16460-PB"
LOC6724812,LOC6724812,retinoblastoma family protein,PROTEIN_CODING,1.0,XM_002105817.4,LOC6724812,LOC6724812,X,NC_052525.2,653390,657925,minus,1.0,XP_002105853.1,"GD16459,GD16459-PA"
LOC6724813,LOC6724813,uncharacterized LOC6724813,PROTEIN_CODING,1.0,XM_016173164.3,LOC6724813,LOC6724813,X,NC_052525.2,658065,659874,minus,1.0,XP_016037595.1,"GD16457,GD16457-PB"
LOC6724815,LOC6724815,vesicle-trafficking protein SEC22b-B,PROTEIN_CODING,1.0,XM_002105820.4,LOC6724815,LOC6724815,X,NC_052525.2,662402,664503,plus,1.0,XP_002105856.1,"GD16531,GD16531-PA"
LOC6724817,LOC6724817,uncharacterized LOC6724817,PROTEIN_CODING,1.0,XM_002105822.4,LOC6724817,LOC6724817,X,NC_052525.2,687946,688411,plus,1.0,XP_002105858.1,"GD16532,GD16532-PA"
LOC6724819,LOC6724819,uncharacterized protein CG43867,PROTEIN_CODING,1.0,XM_016173162.3,LOC6724819,LOC6724819,X,NC_052525.2,664511,749520,minus,1.0,XP_016037598.1,"GD16453,GD16453-PB"
LOC6724822,LOC6724822,nucleoplasmin-like protein ANO39,PROTEIN_CODING,1.0,XM_002105827.4,LOC6724822,LOC6724822,X,NC_052525.2,761080,762109,plus,1.0,XP_002105863.1,"GD16533,GD16533-PA"
LOC6724823,LOC6724823,leucine-zipper-like transcriptional regulator 1 homolog,PROTEIN_CODING,1.0,XM_016173161.3,LOC6724823,LOC6724823,X,NC_052525.2,764774,769561,minus,1.0,XP_016037606.2,"GD16450,GD16450-PA"
LOC6724824,LOC6724824,translocating chain-associated membrane protein 1,PROTEIN_CODING,1.0,XM_016173282.3,LOC6724824,LOC6724824,X,NC_052525.2,777840,780206,plus,1.0,XP_016037610.1,"GD16534,GD16534-PA"
LOC6724825,LOC6724825,GPN-loop GTPase 1,PROTEIN_CODING,1.0,XM_016173160.3,LOC6724825,LOC6724825,X,NC_052525.2,781441,783160,minus,1.0,XP_016037611.1,"GD16449,GD16449-PB"
LOC6724826,LOC6724826,crossover junction endonuclease MUS81,PROTEIN_CODING,1.0,XM_002105831.4,LOC6724826,LOC6724826,X,NC_052525.2,783327,785553,plus,1.0,XP_002105867.1,"GD16537,GD16537-PA"
LOC6724828,LOC6724828,RUN domain-containing protein 1,PROTEIN_CODING,1.0,XM_016173158.3,LOC6724828,LOC6724828,X,NC_052525.2,784806,788031,minus,1.0,XP_016037612.1,"GD16446,GD16446-PA"
LOC6724829,LOC6724829,3-oxoacyl-[acyl-carrier-protein] reductase FabG,PROTEIN_CODING,1.0,XM_002105834.4,LOC6724829,LOC6724829,X,NC_052525.2,788921,789788,minus,1.0,XP_002105870.1,"GD16445,GD16445-PA"
LOC6724830,LOC6724830,synaptic vesicle glycoprotein 2B,PROTEIN_CODING,1.0,XM_016173157.3,LOC6724830,LOC6724830,X,NC_052525.2,791209,794211,minus,1.0,XP_016037613.1,"GD16444,GD16444-PB"
LOC6724833,LOC6724833,probable calcium-binding protein CML12,PROTEIN_CODING,2.0,XM_039297118.2,LOC6724833,LOC6724833,X,NC_052525.2,857928,870892,minus,2.0,XP_039153052.1,"GD16441,GD16441-PB"
LOC6724834,LOC6724834,uncharacterized LOC6724834,PROTEIN_CODING,1.0,XM_002105838.4,LOC6724834,LOC6724834,X,NC_052525.2,833541,834728,plus,1.0,XP_002105874.1,"GD16538,GD16538-PA"
LOC6724836,LOC6724836,mitochondrial tRNA-specific 2-thiouridylase 1,PROTEIN_CODING,1.0,XM_002105840.4,LOC6724836,LOC6724836,X,NC_052525.2,871074,872481,plus,1.0,XP_002105876.1,"GD16539,GD16539-PA"
LOC6724837,LOC6724837,cell division control protein 45 homolog,PROTEIN_CODING,1.0,XM_002105841.4,LOC6724837,LOC6724837,X,NC_052525.2,872881,875153,minus,1.0,XP_002105877.1,"GD16439,GD16439-PA"
LOC6724838,LOC6724838,uncharacterized LOC6724838,PROTEIN_CODING,1.0,XM_002105842.4,LOC6724838,LOC6724838,X,NC_052525.2,875324,876143,plus,1.0,XP_002105878.1,"GD16540,GD16540-PA"
LOC6724839,LOC6724839,gamma-butyrobetaine dioxygenase,PROTEIN_CODING,1.0,XM_002105843.4,LOC6724839,LOC6724839,X,NC_052525.2,876220,877903,plus,1.0,XP_002105879.2,"GD16541,GD16541-PA"
LOC6724840,LOC6724840,27 kDa hemolymph protein,PROTEIN_CODING,1.0,XM_002105844.4,LOC6724840,LOC6724840,X,NC_052525.2,888393,889512,plus,1.0,XP_002105880.1,"GD16543,GD16543-PA"
LOC6724841,LOC6724841,uncharacterized LOC6724841,PROTEIN_CODING,1.0,XM_039297112.2,LOC6724841,LOC6724841,X,NC_052525.2,902215,918069,minus,1.0,XP_039153046.1,"GD16438,GD16438-PB"
LOC6724843,LOC6724843,uncharacterized LOC6724843,PROTEIN_CODING,1.0,XM_016173150.3,LOC6724843,LOC6724843,X,NC_052525.2,988296,992185,minus,1.0,XP_016037625.1,"GD16435,eIF4E-7,GD16435-PA"
LOC6724844,LOC6724844,uncharacterized LOC6724844,PROTEIN_CODING,1.0,XM_002105848.4,LOC6724844,LOC6724844,X,NC_052525.2,993394,995597,minus,1.0,XP_002105884.1,"GD16434,GD16434-PA"
LOC6724845,LOC6724845,27 kDa hemolymph protein,PROTEIN_CODING,1.0,XM_002105849.4,LOC6724845,LOC6724845,X,NC_052525.2,1001882,1003231,plus,1.0,XP_002105885.1,"GD16544,GD16544-PA"
LOC6724847,LOC6724847,putative mediator of RNA polymerase II transcription subunit 26,PROTEIN_CODING,1.0,XM_016173283.3,LOC6724847,LOC6724847,X,NC_052525.2,1023636,1028754,plus,1.0,XP_016037630.1,"GD16545,GD16545-PB"
LOC6724848,LOC6724848,uncharacterized protein DDB_G0284459,PROTEIN_CODING,1.0,XM_002105852.4,LOC6724848,LOC6724848,X,NC_052525.2,1031592,1035292,plus,1.0,XP_002105888.3,"GD16547,GD28781,GD16547-PB,GD28781-PA"
LOC6724849,LOC6724849,GATA zinc finger domain-containing protein 10,PROTEIN_CODING,1.0,XM_002105853.3,LOC6724849,LOC6724849,X,NC_052525.2,1035895,1037553,plus,1.0,XP_002105889.1,"GD16548,GD16548-PA"
LOC6724850,LOC6724850,ATP-dependent RNA helicase DHH1,PROTEIN_CODING,1.0,XM_002105854.4,LOC6724850,LOC6724850,X,NC_052525.2,1038274,1039751,plus,1.0,XP_002105890.1,"GD16549,GD16549-PA"
LOC6724851,LOC6724851,ATP-dependent DNA helicase DDX11,PROTEIN_CODING,1.0,XM_016173148.3,LOC6724851,LOC6724851,X,NC_052525.2,1068793,1071739,minus,1.0,XP_016037634.1,"CG11403,GD16432,GD16432-PB"
LOC6724852,LOC6724852,activating transcription factor 3,PROTEIN_CODING,1.0,XM_016173147.3,LOC6724852,LOC6724852,X,NC_052525.2,1074517,1107111,minus,1.0,XP_016037635.2,"GD16430,GD16430-PA"
LOC6724854,LOC6724854,mucin-5AC,PROTEIN_CODING,1.0,XM_016173146.3,LOC6724854,LOC6724854,X,NC_052525.2,1160722,1164928,minus,1.0,XP_016037643.1,"GD16427,GD16427-PB,GD16427-PC"
LOC6724855,LOC6724855,uncharacterized LOC6724855,PROTEIN_CODING,1.0,XM_039297139.2,LOC6724855,LOC6724855,X,NC_052525.2,1153657,1160634,plus,1.0,XP_039153073.1,"GD16550,GD16550-PB"
LOC6724856,LOC6724856,pre-rRNA-processing protein esf1,PROTEIN_CODING,1.0,XM_002105859.4,LOC6724856,LOC6724856,X,NC_052525.2,1185331,1187710,plus,1.0,XP_002105895.2,"GD16551,GD16551-PA"
LOC6724857,LOC6724857,CBL-interacting protein kinase 25,PROTEIN_CODING,1.0,XM_002105860.4,LOC6724857,LOC6724857,X,NC_052525.2,1187790,1189030,minus,1.0,XP_002105896.1,"GD16426,GD16426-PA"
LOC6724858,LOC6724858,histidine-rich glycoprotein,PROTEIN_CODING,1.0,XM_002105861.4,LOC6724858,LOC6724858,X,NC_052525.2,1190333,1191271,plus,1.0,XP_002105897.1,"GD16552,GD16552-PA"
LOC6724859,LOC6724859,sex-lethal homolog,PROTEIN_CODING,5.0,XM_016173285.3,LOC6724859,LOC6724859,X,NC_052525.2,1191555,1195946,plus,5.0,XP_016037649.1,"GD16553,GD16553-PB,GD16553-PC,GD16553-PD,GD16553-PE"
LOC6724860,LOC6724860,5'-AMP-activated protein kinase catalytic subunit alpha-2,PROTEIN_CODING,1.0,XM_016173289.3,LOC6724860,LOC6724860,X,NC_052525.2,1196523,1199937,plus,1.0,XP_016037653.1,"GD16554,GD16554-PA"
LOC6724861,LOC6724861,"thioredoxin, mitochondrial",PROTEIN_CODING,1.0,XM_002105864.4,LOC6724861,LOC6724861,X,NC_052525.2,1199960,1201627,minus,1.0,XP_002105900.1,"GD16424,GD16424-PA"
LOC6724865,LOC6724865,microtubule-associated protein futsch,PROTEIN_CODING,4.0,XM_039297135.2,LOC6724865,LOC6724865,X,NC_052525.2,1218535,1273467,plus,4.0,XP_039153069.1,"GD16559,GD16559-PB"
LOC6724866,LOC6724866,putative gustatory receptor 2a,PROTEIN_CODING,1.0,XM_039297186.2,LOC6724866,LOC6724866,X,NC_052525.2,1273613,1276169,plus,1.0,XP_039153120.1,"GD16560,GD16560-PB"
LOC6724867,LOC6724867,"leucine-rich PPR motif-containing protein, mitochondrial",PROTEIN_CODING,1.0,XM_016173144.3,LOC6724867,LOC6724867,X,NC_052525.2,1278336,1281848,minus,1.0,XP_016037660.1,"GD16422,GD16422-PB"
LOC6724868,LOC6724868,chromodomain Y-like protein 2,PROTEIN_CODING,1.0,XM_002105871.4,LOC6724868,LOC6724868,X,NC_052525.2,1281974,1283007,minus,1.0,XP_002105907.2,"GD16421,GD16421-PA"
LOC6724869,LOC6724869,40S ribosomal protein SA,PROTEIN_CODING,1.0,XM_016173143.2,LOC6724869,LOC6724869,X,NC_052525.2,1303177,1304807,minus,1.0,XP_016037676.1,"sta,sta-PB,GD16420,Dsim\sta,GD16420-PB,stubarista"
LOC6724871,LOC6724871,"glutamate receptor ionotropic, NMDA 2B",PROTEIN_CODING,3.0,XM_016173141.3,LOC6724871,LOC6724871,X,NC_052525.2,1305022,1329342,minus,3.0,XP_016037681.1,"GD16419,GD16419-PB,GD16419-PD,GD16419-PE,GD16419-PF,GD16419-PG,GD16419-PH"
LOC6724873,LOC6724873,mucin-5AC,PROTEIN_CODING,4.0,XM_039297140.2,LOC6724873,LOC6724873,X,NC_052525.2,1339392,1433974,minus,4.0,XP_039153074.1,"GD16418,GD16418-PB"
LOC6724879,LOC6724879,delta-sarcoglycan,PROTEIN_CODING,2.0,XM_016173135.3,LOC6724879,LOC6724879,X,NC_052525.2,1544444,1553697,minus,2.0,XP_016037710.1,"GD16416,GD16416-PB,GD16416-PC"
LOC6724883,LOC6724883,uncharacterized LOC6724883,PROTEIN_CODING,1.0,XM_016173131.3,LOC6724883,LOC6724883,X,NC_052525.2,1619079,1620281,minus,1.0,XP_016037715.1,"GD16413,GD16413-PB"
LOC6724884,LOC6724884,uncharacterized LOC6724884,PROTEIN_CODING,1.0,XM_002105886.4,LOC6724884,LOC6724884,X,NC_052525.2,1620679,1621682,minus,1.0,XP_002105922.1,"GD16412,GD16412-PA"
LOC6724886,LOC6724886,uncharacterized LOC6724886,PROTEIN_CODING,6.0,XM_039296754.2,LOC6724886,LOC6724886,X,NC_052525.2,1623948,1652652,plus,5.0,XP_039152688.1,"GD16572,GD16572-PB,GD16572-PC,GD16572-PE"
LOC6724887,LOC6724887,protein MMS22-like,PROTEIN_CODING,1.0,XM_016173301.3,LOC6724887,LOC6724887,X,NC_052525.2,1667849,1671513,plus,1.0,XP_016037724.1,"GD16573,GD16573-PB,GD16573-PC"
LOC6724888,LOC6724888,"serine/threonine-protein phosphatase Pgam5, mitochondrial",PROTEIN_CODING,2.0,XM_002105890.4,LOC6724888,LOC6724888,X,NC_052525.2,1671324,1672523,minus,2.0,XP_002105926.1,"Pgam5,GD16411,GD16411-PA,GD16411-PB"
LOC6724889,LOC6724889,WD repeat-containing protein 18,PROTEIN_CODING,1.0,XM_016173303.3,LOC6724889,LOC6724889,X,NC_052525.2,1676205,1678025,plus,1.0,XP_016037728.1,"GD16574,GD16574-PB"
LOC6724890,LOC6724890,uncharacterized LOC6724890,PROTEIN_CODING,1.0,XM_002105892.4,LOC6724890,LOC6724890,X,NC_052525.2,1675576,1676171,minus,1.0,XP_002105928.1,"GD16410,GD16410-PA"
LOC6724891,LOC6724891,UPF0184 protein CG14818,PROTEIN_CODING,1.0,XM_002105893.4,LOC6724891,LOC6724891,X,NC_052525.2,1677936,1678532,minus,1.0,XP_002105929.1,"GD16409,GD16409-PA"
LOC6724892,LOC6724892,"COA8 family protein CG14806, mitochondrial",PROTEIN_CODING,1.0,XM_002105894.4,LOC6724892,LOC6724892,X,NC_052525.2,1679420,1680402,plus,1.0,XP_002105930.2,"GD16575,GD16575-PA"
LOC6724893,LOC6724893,histone-lysine N-methyltransferase trr,PROTEIN_CODING,2.0,XM_039296740.2,LOC6724893,LOC6724893,X,NC_052525.2,1680270,1688914,minus,2.0,XP_039152674.1,"GD16408,GD16408-PB"
LOC6724896,LOC6724896,"39S ribosomal protein L16, mitochondrial",PROTEIN_CODING,1.0,XM_016173304.3,LOC6724896,LOC6724896,X,NC_052525.2,1689147,1690201,plus,1.0,XP_016037730.1,"GD16576,GD16576-PB"
LOC6724897,LOC6724897,armadillo segment polarity protein,PROTEIN_CODING,4.0,XM_016173127.3,LOC6724897,LOC6724897,X,NC_052525.2,1690321,1699614,minus,4.0,XP_016037735.1,"GD16405,GD16405-PB,GD16405-PC,GD16405-PD,GD16405-PE,GD16405-PF,GD16405-PG"
LOC6724898,LOC6724898,uncharacterized LOC6724898,PROTEIN_CODING,2.0,XM_016173122.3,LOC6724898,LOC6724898,X,NC_052525.2,1699639,1700941,minus,2.0,XP_016037737.1,"GD16404,GD16404-PA,GD16404-PB"
LOC6724899,LOC6724899,uncharacterized LOC6724899,PROTEIN_CODING,1.0,XM_002105901.3,LOC6724899,LOC6724899,X,NC_052525.2,1700994,1702571,minus,1.0,XP_002105937.1,"GD16402,GD16402-PA,GD16402-PB,GD16402-PC,GD16402-PD"
LOC6724900,LOC6724900,ER degradation-enhancing alpha-mannosidase-like protein 2,PROTEIN_CODING,1.0,XM_002105902.4,LOC6724900,LOC6724900,X,NC_052525.2,1702693,1706896,minus,1.0,XP_002105938.2,"GD16401,GD16401-PA"
LOC6724901,LOC6724901,carnosine N-methyltransferase,PROTEIN_CODING,2.0,XM_002105903.4,LOC6724901,LOC6724901,X,NC_052525.2,1726817,1729664,plus,2.0,XP_002105939.1,"GD16577,GD16577-PA,GD16577-PB"
LOC6724902,LOC6724902,protein SMG9,PROTEIN_CODING,1.0,XM_016173118.3,LOC6724902,LOC6724902,X,NC_052525.2,1729661,1731693,minus,1.0,XP_016037746.1,"GD16400,GD16400-PA"
LOC6724903,LOC6724903,protein KTI12 homolog,PROTEIN_CODING,1.0,XM_002105905.4,LOC6724903,LOC6724903,X,NC_052525.2,1731897,1733158,plus,1.0,XP_002105941.1,"GD16579,GD16579-PA"
LOC6724904,LOC6724904,uncharacterized LOC6724904,ncRNA,4.0,XR_001599830.3,LOC6724904,LOC6724904,X,NC_052525.2,1741048,1748368,minus,-,-,-
LOC6724905,LOC6724905,hormone receptor 4,PROTEIN_CODING,1.0,XM_039296742.2,LOC6724905,LOC6724905,X,NC_052525.2,1775760,1791112,plus,1.0,XP_039152676.1,-
LOC6724908,LOC6724908,putative GPI-anchor transamidase,PROTEIN_CODING,1.0,XM_016173117.3,LOC6724908,LOC6724908,X,NC_052525.2,1791206,1792659,minus,1.0,XP_016037749.1,"GD16397,GD16397-PB"
LOC6724909,LOC6724909,uncharacterized LOC6724909,PROTEIN_CODING,1.0,XM_039296743.2,LOC6724909,LOC6724909,X,NC_052525.2,1795359,1807836,plus,1.0,XP_039152677.1,"GD16582,GD16582-PB"
LOC6724910,LOC6724910,G-protein coupled receptor 84,PROTEIN_CODING,2.0,XM_016173308.3,LOC6724910,LOC6724910,X,NC_052525.2,1825334,1838479,plus,2.0,XP_016037761.1,"GD16583,GD16583-PB,GD16583-PC"
LOC6724912,LOC6724912,RNA 3'-terminal phosphate cyclase,PROTEIN_CODING,1.0,XM_016173310.3,LOC6724912,LOC6724912,X,NC_052525.2,1856576,1857982,plus,1.0,XP_016037771.1,"GD16584,GD16584-PA"
LOC6724913,LOC6724913,tRNA (guanine-N(7)-)-methyltransferase,PROTEIN_CODING,1.0,XM_002105915.4,LOC6724913,LOC6724913,X,NC_052525.2,1857876,1858997,minus,1.0,XP_002105951.2,"GD16394,GD16394-PA"
LOC6724914,LOC6724914,DNA damage-regulated autophagy modulator protein 1,PROTEIN_CODING,2.0,XM_002105916.4,LOC6724914,LOC6724914,X,NC_052525.2,1859969,1861481,plus,2.0,XP_002105952.1,"GD16585,GD16585-PA"
LOC6724915,LOC6724915,cyclin-L1,PROTEIN_CODING,1.0,XM_002105917.4,LOC6724915,LOC6724915,X,NC_052525.2,1861370,1863442,minus,1.0,XP_002105953.1,"GD16393,GD16393-PA"
LOC6724919,LOC6724919,"D-2-hydroxyglutarate dehydrogenase, mitochondrial",PROTEIN_CODING,2.0,XM_039296596.1,LOC6724919,LOC6724919,X,NC_052525.2,1923030,1926488,plus,2.0,XP_039152530.1,"GD16587,GD16587-PB"
LOC6724920,LOC6724920,"6-phosphogluconate dehydrogenase, decarboxylating",PROTEIN_CODING,1.0,XM_016173312.3,LOC6724920,LOC6724920,X,NC_052525.2,1926762,1930072,plus,1.0,XP_016037778.1,"pgd,6PGD,6pgdh,Pgd-PB,GD16588,Dsim\Pgd,GD16588-PB"
LOC6724921,LOC6724921,protein bcn92,PROTEIN_CODING,1.0,XM_002105922.4,LOC6724921,LOC6724921,X,NC_052525.2,1929946,1931175,minus,1.0,XP_002105958.1,"GD16390,GD16390-PA"
LOC6724922,LOC6724922,protein wings apart-like,PROTEIN_CODING,1.0,XM_039296580.1,LOC6724922,LOC6724922,X,NC_052525.2,1931614,1940443,minus,1.0,XP_039152514.1,"wapl,GD16389,wapl-PB,Dsim\wapl,GD16389-PB"
LOC6724923,LOC6724923,cytochrome P450 4d1,PROTEIN_CODING,2.0,XM_016173113.3,LOC6724923,LOC6724923,X,NC_052525.2,1940568,1943634,minus,2.0,XP_016037782.1,"CYP4D1,GD16388,Cyp4d1-PB,Cyp4d1-PC,Cyp4d1-PD,GD16388-PB,GD16388-PC,GD16388-PD"
LOC6724924,LOC6724924,GATA type zinc finger protein asd-4,PROTEIN_CODING,2.0,XM_016173315.3,LOC6724924,LOC6724924,X,NC_052525.2,1948186,1953642,plus,2.0,XP_016037784.1,"GD16590,GD16590-PA,GD16590-PB"
LOC6724925,LOC6724925,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,PROTEIN_CODING,1.0,XM_002105926.4,LOC6724925,LOC6724925,X,NC_052525.2,1953915,1954531,plus,1.0,XP_002105962.1,"GD16591,GD16591-PA"
LOC6724926,LOC6724926,probable cytochrome P450 4d14,PROTEIN_CODING,1.0,XM_039296597.2,LOC6724926,LOC6724926,X,NC_052525.2,1954645,1958188,minus,1.0,XP_039152531.1,"GD16387,GD16387-PA"
LOC6724927,LOC6724927,cytochrome P450 4d2,PROTEIN_CODING,1.0,XM_002105928.4,LOC6724927,LOC6724927,X,NC_052525.2,1958219,1960040,plus,1.0,XP_002105964.2,"Cyp4d2,GD16592,Cyp4d2-PA,GD16592-PA"
LOC6724929,LOC6724929,cytochrome P450 4ae1,PROTEIN_CODING,1.0,XM_016173316.3,LOC6724929,LOC6724929,X,NC_052525.2,1960408,1962281,plus,1.0,XP_016037785.1,"GD16594,GD16594-PA"
LOC6724930,LOC6724930,exopolyphosphatase PRUNE1,PROTEIN_CODING,1.0,XM_002105931.4,LOC6724930,LOC6724930,X,NC_052525.2,1962479,1964240,plus,1.0,XP_002105967.2,"GD16595,GD16595-PA"
LOC6724931,LOC6724931,uncharacterized LOC6724931,PROTEIN_CODING,2.0,XM_016173110.3,LOC6724931,LOC6724931,X,NC_052525.2,1973154,1975558,minus,2.0,XP_016037793.2,"GD16386,GD16386-PA,GD16386-PB"
LOC6724932,LOC6724932,monocarboxylate transporter 12,PROTEIN_CODING,2.0,XM_016173318.3,LOC6724932,LOC6724932,X,NC_052525.2,1970462,1986538,plus,2.0,XP_016037791.1,"GD16596,Mct1-PB,Mct1-PC,Dsim\Mct1,GD16596-PB,GD16596-PC"
LOC6724933,LOC6724933,uncharacterized histidine-rich protein DDB_G0274557,PROTEIN_CODING,2.0,XM_002105934.3,LOC6724933,LOC6724933,X,NC_052525.2,2006734,2008035,plus,2.0,XP_002105970.1,"GD16597,GD16597-PA,GD16597-PB"
LOC6724934,LOC6724934,protein pecanex,PROTEIN_CODING,1.0,XM_016173320.3,LOC6724934,LOC6724934,X,NC_052525.2,2008168,2020266,plus,1.0,XP_016037799.1,"GD16598,GD16598-PB"
LOC6724938,LOC6724938,probable ATP-dependent RNA helicase kurz,PROTEIN_CODING,1.0,XM_016173108.3,LOC6724938,LOC6724938,X,NC_052525.2,2020881,2025031,minus,1.0,XP_016037800.1,"GD16383,GD16383-PB"
LOC6724940,LOC6724940,DNA-binding protein K10,PROTEIN_CODING,1.0,XM_016173321.3,LOC6724940,LOC6724940,X,NC_052525.2,2025126,2029069,plus,1.0,XP_016037801.1,"GD16603,GD16603-PB"
LOC6724941,LOC6724941,alpha-tocopherol transfer protein-like,PROTEIN_CODING,1.0,XM_002105942.4,LOC6724941,LOC6724941,X,NC_052525.2,2035246,2037070,minus,1.0,XP_002105978.1,"GD16379,GD16379-PA"
LOC6724942,LOC6724942,UNC93-like protein,PROTEIN_CODING,2.0,XM_016173107.2,LOC6724942,LOC6724942,X,NC_052525.2,2037297,2042704,minus,2.0,XP_016037807.1,"30B8.6,GD16378,30B8.6-PA,30B8.6-PB,GD16378-PA,GD16378-PB"
LOC6724943,LOC6724943,protein prenyltransferase alpha subunit repeat-containing protein 1,PROTEIN_CODING,1.0,XM_002105944.3,LOC6724943,LOC6724943,X,NC_052525.2,2043038,2045312,minus,1.0,XP_002105980.1,"GD16377,GD16377-PA"
LOC6724944,LOC6724944,U3 small nucleolar RNA-associated protein 15 homolog,PROTEIN_CODING,1.0,XM_002105945.4,LOC6724944,LOC6724944,X,NC_052525.2,2045546,2047397,plus,1.0,XP_002105981.1,"25E8.3,GD16604,GD16604-PA"
LOC6724945,LOC6724945,ubiquitin-conjugating enzyme E2 Q2,PROTEIN_CODING,2.0,XM_016173104.3,LOC6724945,LOC6724945,X,NC_052525.2,2047446,2051846,minus,2.0,XP_016037809.1,"GD16376,GD16376-PA,GD16376-PB,GD16376-PC,GD16376-PD"
LOC6724946,LOC6724946,hypoxia up-regulated protein 1,PROTEIN_CODING,2.0,XM_016173102.3,LOC6724946,LOC6724946,X,NC_052525.2,2053787,2057866,minus,2.0,XP_016037811.1,"GD16375,GD16375-PA"
LOC6724950,LOC6724950,uncharacterized LOC6724950,PROTEIN_CODING,2.0,XM_016173101.3,LOC6724950,LOC6724950,X,NC_052525.2,2061894,2075597,minus,2.0,XP_016037812.1,"GD16372,GD16372-PB"
LOC6724952,LOC6724952,uncharacterized LOC6724952,PROTEIN_CODING,1.0,XM_016173100.3,LOC6724952,LOC6724952,X,NC_052525.2,2107843,2109500,minus,1.0,XP_016037814.1,"GD16371,GD16371-PB"
LOC6724953,LOC6724953,"T-cell activation inhibitor, mitochondrial",PROTEIN_CODING,1.0,XM_016173322.3,LOC6724953,LOC6724953,X,NC_052525.2,2110109,2111926,plus,1.0,XP_016037815.1,"GD16606,GD16606-PB"
LOC6724954,LOC6724954,raf homolog serine/threonine-protein kinase Raf,PROTEIN_CODING,1.0,XM_016173323.3,LOC6724954,LOC6724954,X,NC_052525.2,2122805,2126508,plus,1.0,XP_016037813.1,"phl,phl-PA,GD16607,Dsim\phl,GD16607-PA"
LOC6724957,LOC6724957,nucleolar protein dao-5,PROTEIN_CODING,3.0,XM_039296584.2,LOC6724957,LOC6724957,X,NC_052525.2,2128048,2148791,minus,3.0,XP_039152518.1,"GD16367,GD16367-PB,GD16367-PC,GD16367-PD"
LOC6724959,LOC6724959,uncharacterized LOC6724959,PROTEIN_CODING,1.0,XM_002105959.4,LOC6724959,LOC6724959,X,NC_052525.2,2183249,2184873,minus,1.0,XP_002105995.1,"GD16365,GD16365-PA"
LOC6724960,LOC6724960,"40S ribosomal protein S12, mitochondrial",PROTEIN_CODING,1.0,XM_002105960.4,LOC6724960,LOC6724960,X,NC_052525.2,2212493,2214143,minus,1.0,XP_002105996.1,"GD16364,GD16364-PA"
