NCBI_GeneID,Symbol,Description,Gene_Type,Transcripts,Transcript_Accession,Nomenclature ID,Nomenclature ID2,Chromosomes,Transcript_Genomic_Accession,Transcript_Genomic_Start,Transcript_Genomic_Stop,Orientation,Proteins,Protein_Accession,Synonyms
LOC318949,CG31802,uncharacterized protein,PROTEIN_CODING,1.0,NM_165246.2,FBgn0051802,Dmel_CG31802,2L,NT_033779.5,18208415,18209237,minus,1.0,NP_724103.1,"BcDNA:AT22559,CG15158,Dmel\CG31802"
LOC318950,Rsph9,Radial spoke head protein 9,PROTEIN_CODING,1.0,NM_165215.1,FBgn0051803,Dmel_CG31803,2L,NT_033779.5,17411649,17412633,minus,1.0,NP_724049.1,"BcDNA:AT29119,CG31803,Dmel\CG31803,dRSPH9"
LOC318951,CG31804,uncharacterized protein,PROTEIN_CODING,1.0,NM_165211.2,FBgn0051804,Dmel_CG31804,2L,NT_033779.5,17363496,17364351,plus,1.0,NP_724045.1,"Dmel\CG31804,NEST:bs12c10,NEST:bs13h04,NEST:bs27h11,NEST:bs34f07"
LOC318952,CG31805,uncharacterized protein,PROTEIN_CODING,3.0,NM_001259123.2,FBgn0051805,Dmel_CG31805,2L,NT_033779.5,16898175,16900473,minus,3.0,NP_001246052.1,Dmel\CG31805
LOC318953,CG31807,uncharacterized protein,PROTEIN_CODING,2.0,NM_165170.3,FBgn0051807,Dmel_CG31807,2L,NT_033779.5,16681819,16684008,minus,2.0,NP_723984.1,Dmel\CG31807
LOC318954,CG31809,uncharacterized protein,PROTEIN_CODING,2.0,NM_001103698.2,FBgn0051809,Dmel_CG31809,2L,NT_033779.5,16853620,16858714,minus,2.0,NP_001097168.1,Dmel\CG31809
LOC318955,CG31810,uncharacterized protein,PROTEIN_CODING,1.0,NM_165198.2,FBgn0051810,Dmel_CG31810,2L,NT_033779.5,16849018,16852368,minus,1.0,NP_724023.1,"BcDNA:RE06583,Dmel\CG31810"
LOC318956,Tsen2,tRNA splicing endonuclease subunit 2,PROTEIN_CODING,1.0,NM_165179.4,FBgn0051812,Dmel_CG31812,2L,NT_033779.5,16729777,16731199,plus,1.0,NP_723994.2,"CG31812,Dmel\CG31812,TSEN2"
LOC318957,nur,nemuri,PROTEIN_CODING,2.0,NM_001298977.1,FBgn0051813,Dmel_CG31813,2L,NT_033779.5,13736138,13737030,plus,2.0,NP_001285906.1,"BcDNA:RE62259,BG:DS08249.4,CG31813,Dmel\CG31813"
LOC318958,DIP-kappa,Dpr-interacting protein kappa,PROTEIN_CODING,2.0,NM_165049.2,FBgn0051814,Dmel_CG31814,2L,NT_033779.5,13676860,13717320,minus,2.0,NP_723828.1,"31814,BG:DS08249.1,CG31814,Dmel\CG31814"
LOC318959,CG31815,uncharacterized protein,PROTEIN_CODING,1.0,NM_165167.3,FBgn0051815,Dmel_CG31815,2L,NT_033779.5,16605822,16607321,plus,1.0,NP_723979.1,Dmel\CG31815
LOC31896,CG32700,uncharacterized protein,PROTEIN_CODING,2.0,NM_167192.2,FBgn0267253,Dmel_CG32700,X,NC_004354.4,9502826,9550838,minus,2.0,NP_727345.1,"BcDNA:GH19985,CG12651,CG12652,CG18429,CG2994,CR43497,Dmel\CG32700,Tes89"
LOC318960,CG31816,uncharacterized protein,PROTEIN_CODING,1.0,NM_165166.2,FBgn0051816,Dmel_CG31816,2L,NT_033779.5,16542546,16543263,plus,1.0,NP_723977.1,"Dmel\CG31816,NEST:bs11b11,NEST:bs19f07,NEST:bs34h07"
LOC318961,CG31820,uncharacterized protein,PROTEIN_CODING,2.0,NM_165143.2,FBgn0051820,Dmel_CG31820,2L,NT_033779.5,16005789,16006279,minus,2.0,NP_723947.1,"Dmel\CG31820,NEST:bs10d03,NEST:bs36g10"
LOC318965,CG31827,uncharacterized protein,PROTEIN_CODING,1.0,NM_165122.2,FBgn0051827,Dmel_CG31827,2L,NT_033779.5,15705171,15706220,plus,1.0,NP_723923.1,"Dmel\CG31827,SPH207"
LOC31897,RpS28b,Ribosomal protein S28b,PROTEIN_CODING,2.0,NM_001298130.1,FBgn0030136,Dmel_CG2998,X,NC_004354.4,9554623,9555661,plus,2.0,NP_001285059.1,"CG2998,Dmel\CG2998,RpS28,RS28_DROME,S28e"
LOC318970,CG31832,uncharacterized protein,PROTEIN_CODING,1.0,NM_165098.2,FBgn0051832,Dmel_CG31832,2L,NT_033779.5,15030928,15031750,minus,1.0,NP_723894.2,"AAF44911,BG:DS00929.7,Dmel\CG31832,DS00929.7,FBpp0080285"
LOC318972,CG31835,uncharacterized protein,PROTEIN_CODING,1.0,NM_165090.2,FBgn0051835,Dmel_CG31835,2L,NT_033779.5,14735843,14737067,plus,1.0,NP_723881.1,"BG:DS00810.1,Dmel\CG31835"
LOC318977,mRpS23,mitochondrial ribosomal protein S23,PROTEIN_CODING,1.0,NM_165065.4,FBgn0260407,Dmel_CG31842,2L,NT_033779.5,13834250,13835072,minus,1.0,NP_723847.1,"CG31842,Dmel\CG31842,l(2)SH0272,l(2)SH2 0272"
LOC31898,CG15317,uncharacterized protein,PROTEIN_CODING,1.0,NM_132341.3,FBgn0030137,Dmel_CG15317,X,NC_004354.4,9555607,9556544,minus,1.0,NP_572569.1,Dmel\CG15317
LOC318980,CG31848,uncharacterized protein,PROTEIN_CODING,1.0,NM_165036.2,FBgn0051848,Dmel_CG31848,2L,NT_033779.5,13264996,13265876,minus,1.0,NP_723803.2,Dmel\CG31848
LOC318981,Mgat3,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",PROTEIN_CODING,1.0,NM_165027.2,FBgn0051849,Dmel_CG31849,2L,NT_033779.5,13180398,13182596,minus,1.0,NP_723787.1,"BcDNA:LD34806,CG31849,Dmel\CG31849,dMGAT3,MGAT"
LOC318982,Naa20B,N(alpha)-acetyltransferase 20 B,PROTEIN_CODING,2.0,NM_001298956.1,FBgn0051851,Dmel_CG31851,2L,NT_033779.5,13257477,13258644,plus,2.0,NP_001285885.1,"CG16821,CG31851,Dmel\CG31851,Naa20,NAA20"
LOC318983,CG31855,uncharacterized protein,PROTEIN_CODING,2.0,NM_001144350.2,FBgn0051855,Dmel_CG31855,2L,NT_033779.5,13369204,13370329,plus,2.0,NP_001137822.1,"CG6537,Dmel\CG31855"
LOC318986,t-cup,tetleys-cup,PROTEIN_CODING,1.0,NM_165014.2,FBgn0051858,Dmel_CG31858,2L,NT_033779.5,12496616,12497333,minus,1.0,NP_723757.1,"CG31858,cup,Dmel\CG31858"
LOC318988,CG31861,uncharacterized protein,PROTEIN_CODING,1.0,NM_164997.4,FBgn0051861,Dmel_CG31861,2L,NT_033779.5,12161767,12162605,plus,1.0,NP_723731.1,"CG17215,Dmel\CG31861"
LOC318989,CG31862,uncharacterized protein,PROTEIN_CODING,1.0,NM_165006.2,FBgn0051862,Dmel_CG31862,2L,NT_033779.5,12338848,12339477,plus,1.0,NP_723741.1,Dmel\CG31862
LOC31899,LPCAT,Lysophosphatidylcholine acyltransferase,PROTEIN_CODING,1.0,NM_001042800.3,FBgn0052699,Dmel_CG32699,X,NC_004354.4,9571537,9579987,minus,1.0,NP_001036265.1,"CG15318,CG18535,CG2996,CG32699,CT7882,Dmel\CG32699,LPCAT1/2,tok-like"
LOC318990,Qtzl,Quetzalcoatl,PROTEIN_CODING,2.0,NM_001273472.2,FBgn0051864,Dmel_CG31864,2L,NT_033779.5,11995740,11996723,plus,2.0,NP_001260401.1,"CG17749,CG31864,CG31864-PA,Dmel\CG31864"
LOC318991,Ada1-1,transcriptional Adaptor 1-1,PROTEIN_CODING,2.0,NM_164984.3,FBgn0051865,Dmel_CG31865,2L,NT_033779.5,11996809,11997965,plus,2.0,NP_723707.1,"Ada1,ada1-1,BcDNA:RE30472,CG31865,dAda1,Dmel\CG31865"
LOC318992,Ada1-2,transcriptional Adaptor 1-2,PROTEIN_CODING,1.0,NM_164980.3,FBgn0051866,Dmel_CG31866,2L,NT_033779.5,11992902,11994054,plus,1.0,NP_723703.1,"Ada1,ada1-2,Ada2,CG31866,dAda1,Dmel\CG31866"
LOC318993,CG31870,uncharacterized protein,PROTEIN_CODING,4.0,NM_001298886.1,FBgn0051870,Dmel_CG31870,2L,NT_033779.5,10790222,10791450,plus,4.0,NP_001285815.1,"BcDNA:AT11120,bs19e04.y1,bs28a02.y1,Dmel\CG31870,NEST:bs19e04,NEST:bs28a02"
LOC318995,Fum4,Fumarase 4,PROTEIN_CODING,1.0,NM_164891.2,FBgn0051874,Dmel_CG31874,2L,NT_033779.5,10189820,10191496,minus,1.0,NP_723527.1,"CG31874,Dmel\CG31874,NEST:bs10e11"
LOC318996,CG31875,uncharacterized protein,PROTEIN_CODING,4.0,NM_001201837.2,FBgn0051875,Dmel_CG31875,2L,NT_033779.5,9995561,10002736,minus,4.0,NP_001188766.1,"BcDNA:AT29184,CG5831,Desr,Dmel\CG31875"
LOC318997,Cpr30F,Cuticular protein 30F,PROTEIN_CODING,1.0,NM_164879.3,FBgn0051876,Dmel_CG31876,2L,NT_033779.5,9932272,9933163,minus,1.0,NP_723504.1,"CG31876,CG5879,DmelCpr30F,Dmel\CG31876"
LOC318998,CG42367,uncharacterized protein,PROTEIN_CODING,1.0,NM_164877.2,FBgn0259713,Dmel_CG42367,2L,NT_033779.5,9930580,9931131,plus,1.0,NP_723502.2,"CG31878,CG4588,Dmel\CG42367"
LOC319000,CG31882,uncharacterized protein,PROTEIN_CODING,1.0,NM_164865.2,FBgn0051882,Dmel_CG31882,2L,NT_033779.5,9624452,9625285,minus,1.0,NP_723477.1,"bs35a07.y1,Dmel\CG31882,NEST:bs35a07"
LOC319011,CG31897,uncharacterized protein,PROTEIN_CODING,1.0,NM_164821.3,FBgn0051897,Dmel_CG31897,2L,NT_033779.5,8442447,8445815,plus,1.0,NP_723396.1,"Dmel\CG31897,NEST:bs30d08"
LOC319012,CG31898,uncharacterized protein,PROTEIN_CODING,1.0,NM_164817.2,FBgn0051898,Dmel_CG31898,2L,NT_033779.5,8400421,8401592,plus,1.0,NP_723390.1,"BcDNA:LD28680,Dmel\CG31898"
LOC319014,Mur29B,Mucin related 29B,PROTEIN_CODING,1.0,NM_164808.4,FBgn0051901,Dmel_CG31901,2L,NT_033779.5,8352187,8355172,plus,1.0,NP_723377.1,"BcDNA:LP08232,CG31901,Dmel\CG31901"
LOC319016,CG31904,uncharacterized protein,PROTEIN_CODING,2.0,NM_164768.2,FBgn0260479,Dmel_CG31904,2L,NT_033779.5,7734415,7738809,minus,2.0,NP_723310.1,"anon-WO0149848.5,CG31904-PD,Dmel\CG31904"
LOC319019,Mst27D,Male specific transcript 27D,PROTEIN_CODING,2.0,NM_001298776.1,FBgn0051907,Dmel_CG31907,2L,NT_033779.5,7059214,7060851,minus,2.0,NP_001285705.1,"CG31907,Dmel\CG31907,NEST:bs06f02,NEST:bs25f07,NEST:bs29b10"
LOC31902,Gga,"Golgi-localized, gamma-adaptin ear containing, ARF binding protein",PROTEIN_CODING,1.0,NM_132343.4,FBgn0030141,Dmel_CG3002,X,NC_004354.4,9601030,9604280,plus,1.0,NP_572571.1,"CG3002,dGGA,Dmel\CG3002,dmGGA,DmGGA1,GGA"
LOC319020,CG31909,uncharacterized protein,PROTEIN_CODING,2.0,NM_001169429.2,FBgn0051909,Dmel_CG31909,2L,NT_033779.5,7257512,7258198,plus,2.0,NP_001162900.1,"Dmel\CG31909,NEST:bs19e08"
LOC319021,CG31910,uncharacterized protein,PROTEIN_CODING,1.0,NM_164708.2,FBgn0051910,Dmel_CG31910,2L,NT_033779.5,6744663,6745622,minus,1.0,NP_723211.1,"BcDNA:AT21561,Dmel\CG31910,NEST:bs09e03"
LOC319023,CG31913,uncharacterized protein,PROTEIN_CODING,1.0,NM_164662.1,FBgn0051913,Dmel_CG31913,2L,NT_033779.5,5784031,5784893,plus,1.0,NP_723119.1,"Dmel\CG31913,NEST:bs09g05,NEST:bs14h07,NEST:bs23g06,NEST:bs28e01,NEST:bs35c08"
LOC319025,CG31915,uncharacterized protein,PROTEIN_CODING,1.0,NM_164645.3,FBgn0051915,Dmel_CG31915,2L,NT_033779.5,5528123,5530682,plus,1.0,NP_723087.1,"CG6922,Dmel\CG31915"
LOC319026,CG43755,uncharacterized protein,PROTEIN_CODING,2.0,NM_001272890.1,FBgn0264086,Dmel_CG43755,2L,NT_033779.5,325522,329761,minus,2.0,NP_001259819.1,"anon-WO0140519.62,BcDNA:GH10778,CG31920,CG33992,Dmel\CG43755,NEST:bs21f09,NEST:bs23f04"
LOC319027,CG31921,uncharacterized protein,PROTEIN_CODING,1.0,NM_164380.2,FBgn0051921,Dmel_CG31921,2L,NT_033779.5,329910,332335,minus,1.0,NP_722627.1,"Dmel\CG31921,NEST:bs08h12"
LOC319028,CG31922,uncharacterized protein,PROTEIN_CODING,1.0,NM_164408.2,FBgn0051922,Dmel_CG31922,2L,NT_033779.5,1170181,1170789,plus,1.0,NP_722687.1,"20K,anon-AE003587.1,Dmel\CG31922"
LOC31903,Lst8,Lst8,PROTEIN_CODING,1.0,NM_132344.4,FBgn0264691,Dmel_CG3004,X,NC_004354.4,9604154,9605969,minus,1.0,NP_572572.1,"CG3004,dGbetaL,dLST8,Dmel\CG3004,Gbl,lst8,LST8"
LOC319030,CG31924,uncharacterized protein,PROTEIN_CODING,1.0,NM_164414.3,FBgn0051924,Dmel_CG31924,2L,NT_033779.5,1354101,1354919,minus,1.0,NP_722701.2,"21064207,BcDNA:AT29272,CG5564,Dmel\CG31924"
LOC319033,Rrp40,Ribosomal RNA processing 40,PROTEIN_CODING,2.0,NM_001298636.1,FBgn0260648,Dmel_CG31938,2L,NT_033779.5,1728732,1729762,plus,2.0,NP_001285565.1,"CG31938,Dmel\CG31938,dRrp40"
LOC31904,LysRS,Lysyl-tRNA synthetase,PROTEIN_CODING,3.0,NM_167196.3,FBgn0027084,Dmel_CG12141,X,NC_004354.4,9606363,9608884,minus,3.0,NP_727353.1,"Aats-lys,CG12141,dKARS,Dmel\CG12141,KRS"
LOC319042,CG31949,uncharacterized protein,PROTEIN_CODING,2.0,NM_164474.2,FBgn0051949,Dmel_CG31949,2L,NT_033779.5,2300103,2300888,plus,2.0,NP_722791.1,Dmel\CG31949
LOC319043,Sbat,Sabbat,PROTEIN_CODING,2.0,NM_001273042.1,FBgn0051950,Dmel_CG31950,2L,NT_033779.5,2878344,2879001,plus,2.0,NP_001259971.1,"CG31950,Dmel\CG31950,Gem7"
LOC319045,CG31955,uncharacterized protein,PROTEIN_CODING,4.0,NM_001298669.1,FBgn0051955,Dmel_CG31955,2L,NT_033779.5,3711881,3713105,minus,4.0,NP_001285598.1,Dmel\CG31955
LOC319046,CG31957,uncharacterized protein,PROTEIN_CODING,2.0,NM_001273082.1,FBgn0051957,Dmel_CG31957,2L,NT_033779.5,3871271,3872458,minus,2.0,NP_001260011.1,Dmel\CG31957
LOC319047,CG31960,uncharacterized protein,PROTEIN_CODING,1.0,NM_164559.2,FBgn0051960,Dmel_CG31960,2L,NT_033779.5,3784947,3785622,plus,1.0,NP_722942.1,"CBP1,CG10022,Dmel\CG31960"
LOC319048,TBCC,Tubulin-binding cofactor C,PROTEIN_CODING,2.0,NM_164571.2,FBgn0051961,Dmel_CG31961,2L,NT_033779.5,4186250,4187793,minus,2.0,NP_722960.1,"BcDNA:LD34582,CG31961,CG3381,Dmel\CG31961"
LOC31905,Hecw,Hecw ubiquitin protein ligase,PROTEIN_CODING,4.0,NM_132346.3,FBgn0261931,Dmel_CG42797,X,NC_004354.4,9608946,9623243,plus,4.0,NP_572574.2,"BT058014.1,CG3003,CG3099,CG42797,Dmel\CG42797"
LOC319052,CG31975,uncharacterized protein,PROTEIN_CODING,2.0,NM_164369.3,FBgn0051975,Dmel_CG31975,2L,NT_033779.5,138384,140992,minus,2.0,NP_722608.2,"CG18501,Dmel\CG31975,Dro44-0"
LOC319064,CG31997,uncharacterized protein,PROTEIN_CODING,2.0,NM_001297780.1,FBgn0051997,Dmel_CG31997,4,NC_004353.4,154654,156060,minus,2.0,NP_001284709.1,"BcDNA:RE42475,BEST:GH25016,Dmel\CG31997"
LOC31907,Ptpmeg2,Protein tyrosine phosphatase Meg2,PROTEIN_CODING,9.0,NM_132348.3,FBgn0028341,Dmel_CG32697,X,NC_004354.4,9626294,9659145,minus,9.0,NP_572576.1,"CG3101,CG3102,CG32697,dMeg2,Dmel\CG32697,l(1)G0232,L(1)G0232,lG0232,MEG2,PTP-Meg2"
LOC31909,CG3106,uncharacterized protein,PROTEIN_CODING,2.0,NM_001298131.1,FBgn0030148,Dmel_CG3106,X,NC_004354.4,9659095,9662903,minus,2.0,NP_001285060.1,Dmel\CG3106
LOC31912,btd,buttonhead,PROTEIN_CODING,1.0,NM_078545.3,FBgn0000233,Dmel_CG12653,X,NC_004354.4,9694186,9697558,plus,1.0,NP_511100.1,"Btd,BTD,CG12653,Dmel\CG12653"
LOC31913,Sp1,Sp1,PROTEIN_CODING,4.0,NM_001272459.1,FBgn0020378,Dmel_CG1343,X,NC_004354.4,9729648,9756369,plus,4.0,NP_001259388.1,"CG1343,D-Sp1,D-Sp8,D.Sp1,Dmel\CG1343,dSp1,sp1,SP1"
LOC31914,CG1354,uncharacterized protein,PROTEIN_CODING,6.0,NM_001369969.1,FBgn0030151,Dmel_CG1354,X,NC_004354.4,9778742,9782094,plus,6.0,NP_001356937.1,Dmel\CG1354
LOC31915,CARPB,Carbonic anhydrase-related protein B,PROTEIN_CODING,4.0,NM_001272461.1,FBgn0052698,Dmel_CG32698,X,NC_004354.4,9783223,9855449,plus,4.0,NP_001259390.1,"CG32698,CG9678,CG9683,Dmel\CG32698"
LOC31917,Ser7,Ser7,PROTEIN_CODING,1.0,NM_132354.3,FBgn0019929,Dmel_CG2045,X,NC_004354.4,9865233,9867070,plus,1.0,NP_572582.1,"c-SP3,CG2045,cSP3,Dmel\CG2045,SP#2,SP2,SP3"
LOC31918,CG32695,uncharacterized protein,PROTEIN_CODING,3.0,NM_001298136.1,FBgn0052695,Dmel_CG32695,X,NC_004354.4,9872382,9874057,minus,3.0,NP_001285065.1,"BcDNA:RH68724,CG15246,Dmel\CG32695"
LOC31919,CG15247,uncharacterized protein,PROTEIN_CODING,1.0,NM_132356.3,FBgn0030156,Dmel_CG15247,X,NC_004354.4,9874493,9876672,minus,1.0,NP_572584.1,Dmel\CG15247
LOC31920,CG1468,uncharacterized protein,PROTEIN_CODING,1.0,NM_132357.3,FBgn0030157,Dmel_CG1468,X,NC_004354.4,9878422,9879279,plus,1.0,NP_572585.3,"BcDNA:GH18955,Dmel\CG1468"
LOC31921,CG9686,uncharacterized protein,PROTEIN_CODING,1.0,NM_132358.3,FBgn0030158,Dmel_CG9686,X,NC_004354.4,9879870,9880535,plus,1.0,NP_572586.2,"anon-EST:Posey3,BcDNA:RH74092,CT6802,Dmel\CG9686"
LOC31922,CG9689,uncharacterized protein,PROTEIN_CODING,2.0,NM_132359.2,FBgn0030159,Dmel_CG9689,X,NC_004354.4,9881953,9883670,plus,2.0,NP_572587.1,"BcDNA:GH05731,Dmel\CG9689,lincRNA.S9020"
LOC31923,CG9691,uncharacterized protein,PROTEIN_CODING,2.0,NM_167206.2,FBgn0030160,Dmel_CG9691,X,NC_004354.4,9884442,9885044,plus,2.0,NP_727371.1,"BcDNA:RH12290,CT27394,Dmel\CG9691"
LOC31924,CG15249,uncharacterized protein,PROTEIN_CODING,2.0,NM_001103459.2,FBgn0030161,Dmel_CG15249,X,NC_004354.4,9887972,9899585,minus,2.0,NP_001096929.2,Dmel\CG15249
LOC31925,CG1986,uncharacterized protein,PROTEIN_CODING,2.0,NM_001298138.1,FBgn0030162,Dmel_CG1986,X,NC_004354.4,9908663,9911126,minus,2.0,NP_001285067.1,Dmel\CG1986
LOC31926,Idgf4,Imaginal disc growth factor 4,PROTEIN_CODING,3.0,NM_001298139.1,FBgn0026415,Dmel_CG1780,X,NC_004354.4,9927973,9930948,minus,3.0,NP_001285068.1,"CG1780,Dmel\CG1780,DmIDGF4,IDGF,IDGF-4,idgf4,IDGF4,IGDF4"
LOC31927,CG1791,uncharacterized protein,PROTEIN_CODING,3.0,NM_132363.1,FBgn0030163,Dmel_CG1791,X,NC_004354.4,9963453,9964878,minus,3.0,NP_572591.1,"AAF46535,AAM52597,Dmel\CG1791,FBpp0071364"
LOC31928,CG1889,uncharacterized protein,PROTEIN_CODING,4.0,NM_167208.3,FBgn0030164,Dmel_CG1889,X,NC_004354.4,9965241,9966959,plus,4.0,NP_727376.2,"AAF46536,AAN09619,Dmel\CG1889,FBpp0071343,FBpp0071344"
LOC31929,CG43386,uncharacterized protein,PROTEIN_CODING,3.0,NM_001258666.2,FBgn0263216,Dmel_CG43386,X,NC_004354.4,9966615,9977405,minus,3.0,NP_001245595.1,"BcDNA:RE65233,CG15250,CG15251,Dmel\CG43386"
LOC31931,CG15252,uncharacterized protein,PROTEIN_CODING,2.0,NM_132367.3,FBgn0030167,Dmel_CG15252,X,NC_004354.4,9978153,9980564,minus,2.0,NP_572595.2,Dmel\CG15252
LOC31933,CG32694,uncharacterized protein,PROTEIN_CODING,7.0,NM_167212.2,FBgn0052694,Dmel_CG32694,X,NC_004354.4,9989690,10006882,plus,7.0,NP_727383.1,"BcDNA:RE02049,CG12634,CG12649,CG18512,Dmel\CG32694"
LOC31934,Dna2,DNA replication helicase/nuclease 2,PROTEIN_CODING,2.0,NM_167214.2,FBgn0288690,Dmel_CG2990,X,NC_004354.4,10010481,10014279,plus,2.0,NP_727386.1,"CG2990,DmDNA2,Dmel\CG2990,DNA2,l(1)19-65,l(1)9Aa,mus(1)107,mus(1)109,mus-109,mus107,mus109"
LOC31935,Cht6,Chitinase 6,PROTEIN_CODING,7.0,NM_001258669.2,FBgn0263132,Dmel_CG43374,X,NC_004354.4,10016845,10050803,plus,7.0,NP_001245598.1,"CG15313,CG15314,CG2989,CG43374,Cht,cht6,CT5624,DmCht6,Dmel\CG43374"
LOC31938,Yp2,Yolk protein 2,PROTEIN_CODING,2.0,NM_001298141.1,FBgn0005391,Dmel_CG2979,X,NC_004354.4,10050951,10052636,minus,2.0,NP_001285070.1,"CG2979,Dmel\CG2979,fs(1)A59,fs(1)K313,fs(1)m35,fs(1)M35,VG2,VIT2Dm,yp,YP,YP-2,yp2,YP2,YPII,YP[[2]]"
LOC31939,Yp1,Yolk protein 1,PROTEIN_CODING,2.0,NM_001298142.1,FBgn0004045,Dmel_CG2985,X,NC_004354.4,10053811,10055498,plus,2.0,NP_001285071.1,"CG2985,Dmel\CG2985,DmYP1,fs(1)1163,fs(1)A1163,VG1,VIT1Dm,yp,YP,yp-1,YP-1,yp1,YP1,YPI,YP[[1]]"
LOC31940,CG15312,uncharacterized protein,PROTEIN_CODING,6.0,NM_001258674.2,FBgn0030174,Dmel_CG15312,X,NC_004354.4,10055629,10070868,minus,6.0,NP_001245603.1,"CT35293,Dmel\CG15312"
LOC31942,ZAP3,ZAP3,PROTEIN_CODING,4.0,NM_001258678.2,FBgn0052685,Dmel_CG32685,X,NC_004354.4,10071858,10082492,minus,4.0,NP_001245607.1,"CG12646,CG12647,CG2971,CG32685,Dmel\CG32685"
LOC31943,CG2972,uncharacterized protein,PROTEIN_CODING,2.0,NM_001298143.1,FBgn0030177,Dmel_CG2972,X,NC_004354.4,10083154,10085050,plus,2.0,NP_001285072.1,"Dmel\CG2972,NOB1"
LOC31944,Naxe,NAD(P)HX epimerase,PROTEIN_CODING,1.0,NM_132376.2,FBgn0030178,Dmel_CG2974,X,NC_004354.4,10084914,10086171,minus,1.0,NP_572604.2,"CG2974,Dmel\CG2974"
LOC31945,RhoU,RhoU,PROTEIN_CODING,3.0,NM_001042801.2,FBgn0083940,Dmel_CG34104,X,NC_004354.4,10086527,10148876,plus,3.0,NP_001036266.1,"CG12094,CG12102,CG34104,Dmel\CG34104"
LOC31947,CG12645,uncharacterized protein,PROTEIN_CODING,2.0,NM_001103465.2,FBgn0030181,Dmel_CG12645,X,NC_004354.4,10153612,10155009,plus,2.0,NP_001096935.1,Dmel\CG12645
LOC31948,CG43902,uncharacterized protein,PROTEIN_CODING,1.0,NM_132380.2,FBgn0264503,Dmel_CG43902,X,NC_004354.4,10158434,10195337,plus,1.0,NP_572608.2,"CG12644,CG15311,Dmel\CG43902"
LOC31949,Ypel,Yippee-like,PROTEIN_CODING,5.0,NM_001272467.1,FBgn0030183,Dmel_CG15309,X,NC_004354.4,10205292,10212374,minus,5.0,NP_001259396.1,"BcDNA:GH10478,CG15309,Dmel\CG15309,dYPEL3,Ypel2"
LOC31950,ATPsyndelta,"ATP synthase, delta subunit",PROTEIN_CODING,3.0,NM_001298145.1,FBgn0028342,Dmel_CG2968,X,NC_004354.4,10212970,10217393,plus,3.0,NP_001285074.1,"anon-WO03040301.109,anon-WO03040301.110,ATP5D,ATPD,CG2968,Dmel\CG2968,l (1) G0230,l(1)G0230"
LOC31952,CG2962,uncharacterized protein,PROTEIN_CODING,1.0,NM_132384.4,FBgn0030186,Dmel_CG2962,X,NC_004354.4,10214858,10216642,minus,1.0,NP_572612.2,Dmel\CG2962
LOC31953,CG34408,uncharacterized protein,PROTEIN_CODING,10.0,NM_001298149.1,FBgn0085437,Dmel_CG34408,X,NC_004354.4,10220110,10230088,plus,10.0,NP_001285078.1,"BcDNA:GH09358,CG2967,CG32689,Dmel\CG34408,FBpp0111587"
LOC31954,CG2961,uncharacterized protein,PROTEIN_CODING,3.0,NM_001298153.1,FBgn0030187,Dmel_CG2961,X,NC_004354.4,10231002,10233080,minus,3.0,NP_001285082.1,"Dmel\CG2961,Ipod,IPOD"
LOC31955,Hk,Hyperkinetic,PROTEIN_CODING,9.0,NM_001272472.2,FBgn0263220,Dmel_CG43388,X,NC_004354.4,10233347,10263485,minus,9.0,NP_001259401.1,"CG17779,CG2287,CG32688,CG34319,CG43388,Dmel\CG43388,Dm_X:51771,hk,HK,lincRNA.975"
LOC31957,alpha-Man-Ia,alpha-Mannosidase class I a,PROTEIN_CODING,9.0,NM_167224.3,FBgn0259170,Dmel_CG42275,X,NC_004354.4,10266792,10325958,minus,9.0,NP_727408.2,"a-Man-Ia,alpha-Man-1,alpha-Man-I,alpha-Man-l,alpha-Man-la,alphaMan1a,CG17809,CG18799,CG32682,CG32684,CG42275,DM-GI,dManI,dMas-1,Dmel\CG42275,MA12,Man'ase,MAN-1,ManI,mas-1,mas1"
LOC31958,CG2909,uncharacterized protein,PROTEIN_CODING,1.0,NM_132388.4,FBgn0030189,Dmel_CG2909,X,NC_004354.4,10326464,10328946,plus,1.0,NP_572616.1,Dmel\CG2909
LOC31960,Gip,GIP-like,PROTEIN_CODING,1.0,NM_078551.4,FBgn0011770,Dmel_CG2227,X,NC_004354.4,10328877,10329872,minus,1.0,NP_511106.1,"CG2227,Dmel\CG2227,gene C,GIP,T15"
LOC31961,CG15306,uncharacterized protein,PROTEIN_CODING,2.0,NM_001272474.1,FBgn0030191,Dmel_CG15306,X,NC_004354.4,10330160,10331818,minus,2.0,NP_001259403.1,Dmel\CG15306
LOC31962,CG43740,uncharacterized protein,PROTEIN_CODING,3.0,NM_001272476.1,FBgn0263997,Dmel_CG43740,X,NC_004354.4,10333652,10347794,plus,3.0,NP_001259405.1,"CG12641,CG15307,Dmel\CG43740"
LOC31964,l(1)G0289,lethal (1) G0289,PROTEIN_CODING,4.0,NM_001414066.1,FBgn0028331,Dmel_CG2221,X,NC_004354.4,10348680,10366273,minus,4.0,NP_001401057.1,"CG2221,Dmel\CG2221,Mgn1457"
